bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,b0032b2a-e0e4-45ed-b9e4-34f9ae485aec,1633159682614,13.719573,52.4313017,6.9605913,0.60654014,1.260109,0.88342285,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,475f25a6-487e-402a-832d-e8518d5f9e7a,1633159682674,13.7196095,52.4313024,6.9448757,-0.9649421,0.84112835,0.87349415,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,e307b3c9-8169-4439-b598-585362a6648c,1633159682725,13.7196095,52.4313024,6.9448757,1.970314,-0.39050388,1.6420231,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,48f855bd-bd1d-464b-82bc-bf14d445fae1,1633159682792,13.7196095,52.4313024,6.9448757,-1.6921728,0.7921641,0.828187,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,fb837334-d41d-42ea-9a96-a7d548169949,1633159682858,13.7196095,52.4313024,6.9448757,-0.86831176,-3.2146602,0.57907677,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,b98ed175-21b3-46c8-87f3-10c790d88424,1633159682925,13.7196095,52.4313024,6.9448757,-0.36795354,1.9634156,-1.4875302,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,c1aeccc6-5c65-41eb-91dd-5d19e21ce304,1633159682992,13.7196095,52.4313024,6.9448757,2.632533,0.09167647,2.657648,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,7994ab93-6ea9-4e01-a9c5-e05f2e378a5c,1633159683059,13.7196095,52.4313024,6.9448757,2.58141,-4.465464,2.0162697,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,0b96da8d-30cc-4f5b-b50d-d2762b2b145a,1633159683109,13.7196095,52.4313024,6.9448757,0.15320045,-3.8485374,0.49380207,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,f3cc811e-82fb-4aed-9487-1e756cfcb383,1633159683175,13.7196095,52.4313024,6.9448757,0.27659333,0.4693551,0.48700428,on bike mount,cyclo cross,True,asphalt,excellent
ad6b8960-356d-40df-b594-e9ef53e88d2e,3b23ccc4-2b88-4854-9ea8-d29c0c679029,87e63a99-4b38-4de6-98a7-39da85641c6a,1633159683226,13.7196095,52.4313024,6.9448757,-1.4777918,0.8762851,-1.3689952,on bike mount,cyclo cross,True,asphalt,excellent
