bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,dbec64d7-9f72-4df9-81f1-65dd11ca7096,1626969031122,0.0,0.0,0.0,-1.6077855,0.17448463,4.45132,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,eabf082b-6ec8-48c2-be45-6856591726b8,1626969031176,13.623711,52.4706599,0.0,-0.11510134,-0.03694284,-0.42721844,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,84374c07-b94f-4bd6-996d-72f7ce47a228,1626969031243,13.623711,52.4706599,0.0,0.0032355785,-0.6510731,-0.7028265,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,85c38e30-2622-4ece-b108-ee663b1d3921,1626969031309,13.623711,52.4706599,0.0,0.6387043,0.10502456,-0.38787556,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,f139046b-ce62-476f-b4cd-a21798928ed2,1626969031360,13.623711,52.4706599,0.0,0.5335493,0.6278521,-0.03770733,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,e45093c4-1f30-409b-bb02-c77bec868edb,1626969031426,13.623711,52.4706599,0.0,0.18979216,1.506797,0.011109352,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,1bcedac9-8ae5-4817-aa65-846090ab1835,1626969031493,13.623711,52.4706599,0.0,0.18999505,0.7688784,-0.4124775,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,b059fcbe-35b4-4edf-9efd-e7fc95f7ca41,1626969031544,13.623711,52.4706599,0.0,-0.37606096,1.2309419,0.9104948,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,48567174-48f5-4ec2-bbb6-00d58032c1d7,1626969031609,13.623711,52.4706599,0.0,-0.55311537,1.0089159,1.1753416,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,3884f438-962b-48bc-935f-18b627cec7a2,1626969031677,13.623711,52.4706599,0.0,1.6735885,1.4510013,1.2951965,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,91d135b1-9259-478a-9ab3-b1c4c3698222,1626969031742,13.623711,52.4706599,0.0,-1.1104343,1.9180996,0.73264027,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,70670c59-1a4c-4df7-9150-f0c0006e74f7,1626969031793,13.623711,52.4706599,0.0,0.15847015,0.30161464,-0.93788624,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,a3a0be22-cdc0-43b4-8f6f-13e276829548,1626969031859,13.623711,52.4706599,0.0,1.398668,-0.5419018,-3.4455128,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,d4490266-3a05-41c0-b9d3-b22144c04092,1626969031926,13.623711,52.4706599,0.0,1.445718,3.698265,-0.54663277,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,c435315e-a29a-4e8e-a0b9-25d148624ee5,1626969031992,13.623711,52.4706599,0.0,0.1483432,2.1450384,2.724516,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,167aca1e-4ee8-4006-9d22-57ba12182440,1626969032059,13.623711,52.4706599,0.0,-1.7698925,-0.6830002,-2.4245229,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,1636e9de-5875-436b-984d-c9297d4b75b2,1626969032126,13.623711,52.4706599,0.0,8.276912,4.1901517,-2.316886,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,b572a813-3b81-46fa-9b4a-d153f7f943fd,1626969032192,13.623711,52.4706599,0.0,4.08342,-0.6018765,-3.215115,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,28f612ff-e185-413e-bcb8-8e26b66e82a5,1626969032259,13.623711,52.4706599,0.0,2.6998646,2.4903815,4.804819,on bike mount,road bicycle,earth,bad
ae562950-380e-4df1-9072-410f33f9dc64,a2ef1c92-82c7-4178-b51f-90dfd79a2790,ab63983c-1b09-4ad1-9184-c36539b9a440,1626969032325,13.623711,52.4706599,0.0,0.8375625,-4.3813934,-0.30459785,on bike mount,road bicycle,earth,bad
