bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,5f253172-32ff-4420-946d-5433f9086355,1633625064375,0.0,0.0,0.0,-0.36977673,1.1256623,-0.35736847,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,5b3b833d-11c3-49ee-99db-eab8b50f2088,1633625064441,13.4162691,52.4911054,4.6820216,2.430437,-1.4961836,3.4266615,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,9be06e4d-2989-423f-a604-eea81c755bc9,1633625064491,13.4162691,52.4911054,4.6820216,-0.81521416,-0.48799944,-2.3966126,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,9182e439-127d-4f1c-8669-6e5ac18f1f04,1633625064559,13.4162822,52.4911299,4.6711683,-11.92087,1.1312759,3.0390072,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,dd872701-1bf0-4f65-a711-c2d7f215f70c,1633625064624,13.4162822,52.4911299,4.6711683,3.8516338,7.6640463,-22.099112,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,acec80d2-8db2-4b5d-a4ab-1e6a33610cb0,1633625064674,13.4162822,52.4911299,4.6711683,3.488215,-1.7932935,-2.9389782,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,7ab435e3-c209-48fd-9560-2f632c051552,1633625064724,13.4162822,52.4911299,4.6711683,-1.4606594,-8.366347,5.7976875,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,ed8217b0-ace5-40d7-8d3e-7f8ea8b42221,1633625064775,13.4162822,52.4911299,4.6711683,0.65398836,13.03002,-8.30864,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,3c43e3cf-e8bc-4f10-94cb-d2a87ec655b7,1633625064842,13.4162822,52.4911299,4.6711683,10.083109,-28.493965,19.267311,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,e776b957-ee93-4e0d-976a-222842349479,1633625064907,13.4162822,52.4911299,4.6711683,-0.20464587,-2.4840226,-0.03474617,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,a2930e27-6ab8-40bd-9a2c-97b6d2aaef45,1633625064958,13.4162822,52.4911299,4.6711683,2.3166926,14.012743,-5.690305,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,5089c216-cfc2-4a11-8355-bd9c134a54cf,1633625065008,13.4162822,52.4911299,4.6711683,1.7641087,10.256535,-16.111843,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,46c3748e-75ec-4bcf-bca1-6c2241c9ed3c,1633625065059,13.4162822,52.4911299,4.6711683,-7.0479755,-8.131722,-7.0717206,on bike mount,cyclo cross,True,sett,intermediate
aec73f87-871e-407c-b499-b32400fdae9d,1ea8d805-2e3f-4e6b-bc94-2d06fbf80c3a,88bdd3d4-337f-493b-9c12-b3c04eb7408b,1633625065110,13.4162822,52.4911299,4.6711683,-4.7069426,-14.908222,-11.875508,on bike mount,cyclo cross,True,sett,intermediate
