bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,1274eef5-34ab-4d5e-bd7c-b9221dbd1ef2,1644073968475,0.0,0.0,0.0,4.641981,2.813131,1.945365,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,a72c82f5-3cf6-4fbd-81d0-b9eef2282d38,1644073968527,13.4327495,52.49469,3.0471673,-7.9036255,4.3411946,3.6544905,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,36bc2285-c085-440b-b257-9f2e357aaddb,1644073968582,13.4327657,52.4947028,2.6772988,1.39794,-10.112509,3.5962086,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,c19a051c-8355-4c01-b0ef-79f072e79d54,1644073968638,13.4327657,52.4947028,2.6772988,1.6819093,1.2472094,1.107955,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,067f8ef8-682c-45aa-ae00-d7b4942082cd,1644073968693,13.4327657,52.4947028,2.6772988,-1.7210648,3.1489296,-2.426443,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,fac02063-27c3-4c02-820f-1e3bd7c1496f,1644073968748,13.4327657,52.4947028,2.6772988,-2.403493,-4.6794615,2.9526777,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,276e7db9-ba62-4625-8ca4-eeb942e677a8,1644073968805,13.4327657,52.4947028,2.6772988,-1.5333333,0.31955433,-6.2739487,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,0a6aa442-9076-478f-b96a-7b76afdd9dbc,1644073968860,13.4327657,52.4947028,2.6772988,-1.2853612,-1.352279,-3.823547,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,c070a6b7-592f-4f93-a2fd-5e5372b11bb3,1644073968916,13.4327657,52.4947028,2.6772988,0.46443108,9.0125475,-1.6883774,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,b24633c5-4c1f-4ed4-af60-fc77ece210dc,1644073968972,13.4327657,52.4947028,2.6772988,0.85048234,5.163153,-2.8011417,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,223e5c9d-9242-4b48-b252-e15a8a1152b5,1644073969027,13.4327657,52.4947028,2.6772988,-1.6894588,-8.559288,6.2607517,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,b8c3bad0-f665-4944-9c6c-ebd1baa1b688,1644073969083,13.4327807,52.4947137,2.476501,3.4976206,0.29680157,0.66635704,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,b4d7b3b0-5ead-4637-936d-20617d8e98c8,1644073969137,13.4327807,52.4947137,2.476501,-0.43885213,2.0196347,-2.2174745,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,09fe3d5f-2013-4528-b31d-7175b0cc4e77,1644073969195,13.4327807,52.4947137,2.476501,-0.22644678,0.0012843609,5.3391256,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,fbac9cdb-8bc8-4760-aebf-5973244791b3,1644073969249,13.4327807,52.4947137,2.476501,-2.9748623,-3.765708,5.7219954,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,232b454a-bcd5-4c90-ae2f-b76722748abb,1644073969305,13.4327807,52.4947137,2.476501,0.76393986,3.5085993,-2.149767,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,94164ab9-bdb7-4d68-96ac-781f294dd327,1644073969360,13.4327807,52.4947137,2.476501,-1.9920821,-1.9678519,-1.510818,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,55577692-2925-437b-b1e8-062d7fc83330,1644073969415,13.4327807,52.4947137,2.476501,0.5620816,6.6184063,-8.606197,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,c85a5ec4-ab8e-4a1e-b40b-51abadf21fb9,1644073969471,13.4327807,52.4947137,2.476501,1.0819643,5.731903,-2.7490373,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,e97a030d-5b0c-4f0c-ac3a-04ca1fad54dc,1644073969527,13.4327807,52.4947137,2.476501,4.18138,-12.086805,-0.3446436,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,16b7bf27-55fe-46a1-add2-dcbf519820c8,1644073969584,13.4327807,52.4947137,2.476501,0.23355997,0.7153473,-0.44649315,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,f259625b-b733-4e10-ac1c-bf2fa2a9d200,1644073969638,13.4327807,52.4947137,2.476501,-2.1192722,-3.4470694,8.291723,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,acec70c2-2eb1-4903-acd2-d548f7bebdbd,1644073969694,13.4327807,52.4947137,2.476501,-1.5943868,-5.1855493,3.8588524,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,18b284b6-3edd-4365-869f-de327e67f6c6,1644073969749,13.4327807,52.4947137,2.476501,1.5251459,4.143873,-6.6690035,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,25e6af99-5b68-4b5d-a439-b3e46174d662,1644073969805,13.4327807,52.4947137,2.476501,2.3001347,-0.27977085,-9.62862,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,0b15f996-dc3a-40c6-856f-ece85a7b7bb4,1644073969860,13.4327807,52.4947137,2.476501,2.0595906,-4.8893337,0.9876709,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,b45972a8-d06c-4891-9888-4583eb7a3df5,1644073969915,13.4327807,52.4947137,2.476501,1.9368565,-7.629768,4.032098,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,62185263-546f-484d-b3ac-0c09547465ba,1644073969972,13.4327807,52.4947137,2.476501,0.45150685,4.431041,-5.787117,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,b76da296-b200-4ef2-b07d-fd0c67b0e181,1644073970027,13.4327807,52.4947137,2.476501,-1.6076345,-2.1108832,10.81725,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,7dde824d-4107-4525-a7f5-e997dd860e61,1644073970083,13.4327807,52.4947137,2.476501,2.9846125,-2.0051901,-2.7197275,on bike mount,cyclo cross,True,sett,intermediate
b7c63fb5-9d79-4464-8d4f-bd2e68a74bf9,9c4c3d79-70b5-4ec7-b9c9-b2604b9d6534,cf7142a8-2c80-4725-aa23-5d078eb75cf8,1644073970145,13.432815,52.4947368,2.372177,-0.5914824,0.7717743,9.285566,on bike mount,cyclo cross,True,sett,intermediate
