bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,2c68bd7e-3d34-4379-afcf-886ea7d88b63,1644232367761,0.0,0.0,0.0,0.13591233,2.0731416,6.018045,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,884acf6f-15d5-468c-bebb-7122f6b046e8,1644232367836,13.3661654,52.5096682,0.0,-0.3361219,-0.24303699,0.09919262,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,31ad9f1f-b952-49d9-9807-4135ba15b269,1644232367896,13.3661654,52.5096682,0.0,0.053318918,-0.33175874,0.11365509,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,a634dfe4-9d22-4fb0-b445-c7b44258c040,1644232367951,13.3661654,52.5096682,0.0,-0.18289836,0.33762884,0.018396378,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,e91c38a8-5858-4627-bc44-90e17a66dfd6,1644232368008,13.3661654,52.5096682,0.0,0.24821144,0.28739357,-0.09643364,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,4eab8e75-b17d-4b2d-9c43-2a97c555e1c9,1644232368063,13.3661654,52.5096682,0.0,-0.09127995,0.42975616,-0.08114147,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,66d07fd0-85ab-4431-8cb8-1637867e0109,1644232368118,13.3661654,52.5096682,0.0,0.25256395,0.35751033,0.002409935,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,2e0cba28-d56f-4490-8239-f6620e51c9ff,1644232368173,13.3661654,52.5096682,0.0,-0.26194668,0.78807044,-0.21930313,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,6f26817c-8825-4a3f-a613-f79020b611fe,1644232368230,13.3661654,52.5096682,0.0,-0.23563536,0.7297673,-0.24564648,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,076b366d-e02e-4c5c-890f-303ff24b3e96,1644232368285,13.3661654,52.5096682,0.0,-0.17859043,0.82995915,0.23920631,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,c82ee745-58dc-49e4-b662-629cfc1f4b6b,1644232368343,13.3661654,52.5096682,0.0,-0.19713408,1.5569243,-0.50042915,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,4895c07b-8761-4045-8c52-608e1b388766,1644232368396,13.3661654,52.5096682,0.0,0.49560803,1.6783562,-0.54494095,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,bc54c37a-2b1d-4420-8365-cd80352eda50,1644232368453,13.3661654,52.5096682,0.0,0.2520836,1.8722568,0.6626959,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,fdf83175-9333-4ed6-836b-f97ad1c59285,1644232368508,13.3661654,52.5096682,0.0,0.8219984,0.61441684,0.84762764,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,57065d84-8c8d-4a2e-9c4b-98caaf8b8d38,1644232368563,13.3661654,52.5096682,0.0,4.4021206,0.11169028,0.5394554,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,9c279413-ad5e-40ba-81e2-aea290f7782c,1644232368618,13.3661654,52.5096682,0.0,1.3427186,1.6289148,0.17286205,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,4eab2bea-fef8-48cc-8313-fc5b7c032d53,1644232368675,13.3661654,52.5096682,0.0,0.63798946,1.7117114,-0.37308216,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,dbc937a2-e149-4873-97bf-012e346fc15a,1644232368729,13.3661654,52.5096682,0.0,0.58316416,0.15269303,0.1650114,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,d4d0c8e4-6279-4f25-9225-d93767ae3194,1644232368785,13.3661654,52.5096682,0.0,1.1085273,-1.0225459,1.5357056,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,3e5e1e5b-8143-4a8d-858b-29354e3130b7,1644232368841,13.3661654,52.5096682,0.0,-0.32878795,0.80400777,-1.6533651,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,3d1472d8-d76d-4bfe-b395-16f118bd6be9,1644232368896,13.3661654,52.5096682,0.0,-0.05393219,1.3428221,0.99537945,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,dc588b26-aabf-452d-820e-35ad28b2d3eb,1644232368952,13.3661654,52.5096682,0.0,-0.51169336,-0.13041306,1.4931602,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,1e70d4f0-7863-4d25-9442-cbfa4b9fdabe,1644232369007,13.3661654,52.5096682,0.0,-0.4625162,1.2890675,-1.238544,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,a63dbe02-0445-4cab-a688-505284050868,1644232369063,13.3661654,52.5096682,0.0,-0.20695174,0.045686007,0.010583878,on bike mount,cyclo cross,True,fine gravel,good
b8aa6b37-45de-464c-8851-02dfbbf9ea4d,5f38f24e-f1d2-4400-990c-4cf7d61c5b1c,6a34c9d2-09e1-43db-8ca4-b9ca131a5998,1644232369118,13.3661654,52.5096682,0.0,-0.92496896,1.6104426,-1.2958798,on bike mount,cyclo cross,True,fine gravel,good
