bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,7460bc2d-7174-4377-b52e-33653233c1be,1633162567263,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,82a08250-4631-4578-b28f-9fcadd54b44a,1633162567320,13.9310704,52.3958621,6.204846,0.821456,-0.09604025,-0.85506344,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,a39ce783-d0e8-49b0-a508-cd2a97d29649,1633162567370,13.9311605,52.3958351,6.1559343,0.5705439,0.61625075,0.35676765,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,32dbbf9e-e929-4528-822e-46bb66e54795,1633162567420,13.9311605,52.3958351,6.1559343,-1.9506953,-0.68252945,-0.627861,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,7378da30-3b37-4d60-892c-a3a4eef68e4c,1633162567470,13.9311605,52.3958351,6.1559343,-2.490431,1.976651,-0.7801113,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,cf0d7cd1-8dbd-4375-8a7d-a5159d61e107,1633162567521,13.9311605,52.3958351,6.1559343,-2.8796883,3.6614177,-0.6730156,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,47023f1f-c4c7-4b3a-9e4c-f84d4360bb48,1633162567571,13.9311605,52.3958351,6.1559343,-1.6031005,-1.1760548,-1.2842517,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,a1aaac86-ce50-4dc2-bf33-9d58ef675e61,1633162567621,13.9311605,52.3958351,6.1559343,-0.25961936,-0.58193994,-0.31769466,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,9843f2d8-2058-4762-a6c4-27e2ee6fb535,1633162567671,13.9311605,52.3958351,6.1559343,-0.45439458,1.0295808,0.2841797,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,b04c906c-21a2-40a5-939f-d912d7e79847,1633162567721,13.9311605,52.3958351,6.1559343,-1.8919288,-0.19796419,0.67921257,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,6faf531c-313a-4201-89a3-118b9d67e002,1633162567771,13.9311605,52.3958351,6.1559343,-1.3998977,1.924995,-1.272152,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,308f45cf-8000-4f9f-9f82-256c9f8f4ba7,1633162567821,13.9311605,52.3958351,6.1559343,-1.0796566,2.9949045,-1.9445786,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,9e67fb06-a77b-4577-a0f5-78c9c050b086,1633162567872,13.9311605,52.3958351,6.1559343,-2.0387967,-1.3351634,0.4111395,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,a18188e2-0ee7-4422-8439-b02369bab948,1633162567923,13.9311605,52.3958351,6.1559343,0.11546731,1.3142395,-1.1550174,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,df2dd84a-8894-4e02-8c27-8f1b4b137a32,1633162567974,13.9311605,52.3958351,6.1559343,0.03610587,0.36349654,-1.3914146,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,e8294eb4-657e-4f9c-b9b8-ff5dd0f5e653,1633162568025,13.9311605,52.3958351,6.1559343,-0.12854677,0.15581131,0.13715267,on bike mount,cyclo cross,True,asphalt,excellent
be0312cd-89ed-446d-936d-19e028e3cd45,c787f52a-17cc-4ad3-9594-e8e23c761d62,28eb2901-bbb9-4ddc-b571-a5b719aa762d,1633162568075,13.9311605,52.3958351,6.1559343,0.09874159,0.76844263,-1.6649003,on bike mount,cyclo cross,True,asphalt,excellent
