bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
cda86829-42ad-4860-974d-351d9b13e3af,a8734a41-6cb4-4f20-b078-3c89fdbb5632,cac8271b-4f5d-4041-9705-faf30fcb3a3e,1633158876619,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,a8734a41-6cb4-4f20-b078-3c89fdbb5632,daf759a3-ee47-4b07-95fb-a5c7d6c9eebf,1633158876678,13.6448073,52.4554646,6.6216035,-2.5244431,-2.0437627,-2.6788874,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,a8734a41-6cb4-4f20-b078-3c89fdbb5632,a2b769e8-f0b8-41a7-96d1-7e80048a4346,1633158876728,13.6448753,52.4554344,6.5783744,1.578985,3.7419443,-1.7154021,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,a8734a41-6cb4-4f20-b078-3c89fdbb5632,de2a8116-44e5-4fba-bd58-4d31b11e51bd,1633158876779,13.6448753,52.4554344,6.5783744,-0.7890721,-0.24042296,-1.4996767,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,a8734a41-6cb4-4f20-b078-3c89fdbb5632,7279df8c-4066-4684-a588-d84a7da7f2ee,1633158876830,13.6448753,52.4554344,6.5783744,-2.0341725,-2.2776234,1.959281,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,a8734a41-6cb4-4f20-b078-3c89fdbb5632,3d8f7a05-8014-4084-8f7d-02778649b6c2,1633158876879,13.6448753,52.4554344,6.5783744,-1.0020069,-0.018029451,0.33168602,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,a8734a41-6cb4-4f20-b078-3c89fdbb5632,b075e778-6c8e-49cf-9a44-3d629d0b0e79,1633158876930,13.6448753,52.4554344,6.5783744,-0.7688464,-0.6453538,2.1057434,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,a8734a41-6cb4-4f20-b078-3c89fdbb5632,09ce9b0c-9f1f-48a9-abea-055e8c41809b,1633158876980,13.6448753,52.4554344,6.5783744,0.28411126,-1.0091853,1.9350595,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,a8734a41-6cb4-4f20-b078-3c89fdbb5632,0ca9b5ef-56c0-41e2-a217-7892e9c32a7c,1633158877029,13.6448753,52.4554344,6.5783744,0.7489972,0.1727686,-0.88738537,on bike mount,cyclo cross,True,asphalt,excellent
cda86829-42ad-4860-974d-351d9b13e3af,a8734a41-6cb4-4f20-b078-3c89fdbb5632,2c700aeb-7992-4ac7-81a6-adbf0e9b4748,1633158877078,13.6448753,52.4554344,6.5783744,2.85629,7.7888217,-13.376385,on bike mount,cyclo cross,True,asphalt,excellent
