bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,7c4b48d9-ca4d-4ed9-a520-72aebedf34e5,1634109121872,0.0,0.0,0.0,0.83877593,1.3897743,-0.49698257,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,91f932a0-b51d-40f5-b196-44a4c83653bb,1634109121927,13.4162419,52.4909901,4.809408,-0.51716006,0.25487447,-2.208376,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,d51bfe14-e052-4875-8caa-44f813ca07ed,1634109121977,13.4162419,52.4909901,4.809408,0.9849177,-0.891644,0.23723125,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,91ef3b24-5bf8-43c0-b892-951ee07b9c43,1634109122027,13.4162419,52.4909901,4.809408,-0.4673612,-0.06486392,0.9023056,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,e0f3be8a-cbc5-4843-9690-ab270c51598f,1634109122078,13.4162419,52.4909901,4.809408,1.1061177,0.30943203,-0.5438795,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,5013efa9-cc0a-45a6-ab6b-5f2856750a82,1634109122128,13.4162419,52.4909901,4.809408,-0.858847,0.21508169,0.23997116,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,320deed7-1bf7-4e85-9522-f038ffa98e51,1634109122178,13.4162419,52.4909901,4.809408,0.5126574,-1.3251289,0.26223564,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,a0b0f068-b86b-4e7c-8215-9b8ab88362c9,1634109122228,13.4162419,52.4909901,4.809408,-0.4943148,-0.06669998,0.74151516,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,79384859-cd4f-4fa5-be81-9ccfd08a39df,1634109122278,13.4162419,52.4909901,4.809408,0.10917872,0.31638765,2.0955229,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,9400b6c0-6085-449c-becb-6c203ee3c00e,1634109122328,13.4162419,52.4909901,4.809408,-1.1164861,-0.7135606,1.2023802,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,7f71bbcd-6729-411f-954f-ed414f935049,1634109122379,13.4162419,52.4909901,4.809408,-0.021307081,0.28411913,-0.6430788,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,528b2d5c-1a4b-464c-9b04-046a7b3ca090,1634109122430,13.4162095,52.490954,4.3463683,-0.51932955,-0.38437963,0.018823624,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,1665ae72-4633-4a3c-adae-cc14eb38f1c8,1634109122495,13.4162095,52.490954,4.3463683,-0.71542084,-0.21506524,-1.4359913,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,0a6f70f5-9d87-4a76-8bca-b07d52502c17,1634109122546,13.4162095,52.490954,4.3463683,-0.87293386,0.4684229,0.34104824,on bike mount,cyclo cross,True,asphalt,excellent
d0b715e0-17d7-4c57-84c1-14e9a6d888c7,b54b4218-b80a-412d-a5e5-06e45e713671,c3c0827a-049b-4cb5-9574-1ecf685a1030,1634109122597,13.4162095,52.490954,4.3463683,1.1605661,0.52705526,-0.91782284,on bike mount,cyclo cross,True,asphalt,excellent
