bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,75761306-8b52-4ffe-9561-7d6de3f8e576,1626116567833,0.0,0.0,0.0,-0.36634344,1.0447049,4.343095,in backpack,cyclo cross,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,9fae5b37-448f-46b4-8f4e-468c54078c2d,1626116567943,13.386147,52.4717468,0.0,-0.46132588,0.7381475,-0.7491274,in backpack,cyclo cross,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,a1d9ad00-0487-4b30-a6a4-3beb69aa79d1,1626116568018,13.386147,52.4717468,0.0,0.4104454,1.3708045,0.36733913,in backpack,cyclo cross,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,138bea6c-1f5a-484a-94b8-ff5aec5bd6ff,1626116568084,13.386147,52.4717468,0.0,-0.19870335,1.1294823,-0.10966015,in backpack,cyclo cross,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,93b7e5ee-9ef5-46ed-9634-4be4fe670f14,1626116568134,13.386147,52.4717468,0.0,-0.25189012,0.775095,-0.71820354,in backpack,cyclo cross,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,f2f321ec-2786-4f9c-a636-2983b3bcdbc8,1626116568185,13.386147,52.4717468,0.0,-0.38581157,1.1414886,-0.41697407,in backpack,cyclo cross,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,bf52fe50-e6f8-448f-b8b9-30341e31c98c,1626116568235,13.386147,52.4717468,0.0,-0.1227535,0.4527154,-0.196002,in backpack,cyclo cross,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,f02c3734-7b66-4a7b-a0f4-7bec18d5ecd3,1626116568285,13.386147,52.4717468,0.0,-0.49191535,0.8479221,-0.4929409,in backpack,cyclo cross,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,50fc3a76-c999-4f4f-9acd-e15e08d6df0f,1626116568351,13.386147,52.4717468,0.0,-0.35380983,0.8988466,-0.30652714,in backpack,cyclo cross,asphalt,good
d4efb84d-c733-4167-91a0-ed76ed83f2c5,6d47213d-106c-4038-9b39-b2b4cd3a6510,0a07f0a0-1180-4156-97a8-ed327cecaf4d,1626116568402,13.386147,52.4717468,0.0,-0.27998966,0.63571644,-0.26689816,in backpack,cyclo cross,asphalt,good
