bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,63e5caba-ed28-4da0-93d0-1ca631abbdeb,1629265257323,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,bfde0f14-61dc-4b03-a373-edb72ce1f36b,1629265257383,0.0,0.0,0.0,-1.2895267,0.8989773,-0.76707363,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,86041411-8af7-4934-bb02-d9282e0c0959,1629265257442,0.0,0.0,0.0,2.0346467,7.4412956,-2.46504,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,4dda2798-79cf-4c08-92bb-b2fd120bc20e,1629265257492,0.0,0.0,0.0,-0.21291506,-2.3917942,3.7393646,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,cadd4f8c-210e-4e75-9486-60700e2ed7bc,1629265257543,0.0,0.0,0.0,-4.612481,-12.264841,5.091469,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,08fafdb2-e3ca-4926-aa3a-2db7b1c80b8e,1629265257609,0.0,0.0,0.0,4.9431276,9.490523,-0.76918507,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,fd1321c0-34fe-4f0a-8339-af8d60ecd220,1629265257659,0.0,0.0,0.0,-4.74368,-8.95033,8.873919,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,e4780987-4563-416e-99ee-77d046a6d99c,1629265257709,0.0,0.0,0.0,-3.247994,-4.479254,5.923605,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,65262baa-6309-4d6b-84a6-31b446bb803b,1629265257760,0.0,0.0,0.0,1.5615578,0.18864727,-1.4422369,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,6a808154-0a4c-4ec8-bfd6-a3e264f51a2a,1629265257827,0.0,0.0,0.0,-4.548965,-2.4175708,-0.03452015,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,0f0b5404-9ccd-4cc6-99d2-11cbe3e0c6a7,1629265257893,0.0,0.0,0.0,-1.5274396,-7.0355825,5.207074,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,f9ea9cd9-cc79-452c-acee-8b631893296b,1629265257960,0.0,0.0,0.0,0.29084182,7.4239864,0.8314123,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,0565ab82-27b9-444b-996a-a00f7a21453f,1629265258010,0.0,0.0,0.0,-5.2904177,-8.845085,9.466576,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,d57b8fe0-e47c-4fc8-a32e-794a9e6ad11a,1629265258077,0.0,0.0,0.0,0.8590009,2.868431,-6.941417,on bike mount,cyclo cross,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,337877b7-060a-43ad-a011-695b38ae1fbc,b2f03598-b949-49b8-ab6a-7f85e4d9b33c,1629265258144,0.0,0.0,0.0,0.5208211,0.46657515,-2.1422982,on bike mount,cyclo cross,paving stones,good
