bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
d9114489-29fa-4677-a225-b74f9b14aa61,10ba1d38-98fe-47a1-abda-9cb22a1af477,e33b810b-3275-47df-be87-5c035d63a7d3,1636130669623,0.0,0.0,0.0,-1.8598496,4.348752,5.8602986,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,10ba1d38-98fe-47a1-abda-9cb22a1af477,58cf9e21-6142-477e-bf1b-757804277f03,1636130669685,13.4206557,52.4751856,0.0,0.043023348,-0.1415987,0.063370705,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,10ba1d38-98fe-47a1-abda-9cb22a1af477,385fbcc3-ec3d-44a7-951e-2166d87b09d8,1636130669741,13.4206557,52.4751856,0.0,-0.017493248,-0.1180377,-0.0826025,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,10ba1d38-98fe-47a1-abda-9cb22a1af477,e4298029-2d12-4541-91f0-2520c0fdfda1,1636130669796,13.4206557,52.4751856,0.0,-0.121912956,-0.12853909,-0.15537548,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,10ba1d38-98fe-47a1-abda-9cb22a1af477,8890fee6-f1b7-44ee-a51c-70a39907514d,1636130669846,13.4206557,52.4751856,0.0,0.026212454,-0.15633678,-0.069987774,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,10ba1d38-98fe-47a1-abda-9cb22a1af477,27ec141d-31ce-43ac-b85d-52e2485b0b74,1636130669913,13.4206557,52.4751856,0.0,0.26119804,-0.14456367,-0.55540943,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,10ba1d38-98fe-47a1-abda-9cb22a1af477,c4271b56-e558-4314-88e0-e6292aab6fca,1636130669980,13.4206557,52.4751856,0.0,0.42936134,-0.09710407,-0.79515934,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,10ba1d38-98fe-47a1-abda-9cb22a1af477,39673b21-78da-4593-8f03-1b4436c6bc40,1636130670046,13.4206557,52.4751856,0.0,1.0577765,-0.45838785,0.7707081,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,10ba1d38-98fe-47a1-abda-9cb22a1af477,6d3b7253-f678-44eb-98d4-7200ba3f9128,1636130670113,13.4206557,52.4751856,0.0,-1.2661195,-1.3573627,0.15517902,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,10ba1d38-98fe-47a1-abda-9cb22a1af477,65f371bd-be25-4c22-b14f-8996a696e838,1636130670180,13.4206557,52.4751856,0.0,0.17421961,1.4979696,-1.8804746,on bike mount,cyclo cross,False,mixed,mixed
