bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,a35c1062-00ab-4001-8c9a-dfcb0038c324,1632096375356,0.0,0.0,0.0,-0.8017187,5.22176,3.708201,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,d049f6f3-9e22-4e3f-bbdb-621ab005059f,1632096375608,13.4245838,52.4963326,0.0,0.088356376,0.075894356,0.11043882,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,3a5cab99-d700-44e0-b576-22e3d20e2a21,1632096375669,13.4245838,52.4963326,0.0,-0.001093626,0.06944084,-0.051705837,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,6fbad48f-5d34-4d4c-b890-e5cdaee5c7a6,1632096375736,13.4245838,52.4963326,0.0,0.011348963,0.06861973,0.0112781525,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,07c25d10-1e94-4aac-87f4-364d07140a59,1632096375802,13.4245838,52.4963326,0.0,0.08042288,0.07752323,-0.04262209,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,437e9565-fb87-4e16-a0fc-32615158608c,1632096375869,13.4245838,52.4963326,0.0,0.054413915,0.065299034,0.035666943,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,a363fd90-ef67-4039-9649-ea332b0fb923,1632096375919,13.4245838,52.4963326,0.0,0.035477877,0.06655598,0.051014423,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,148bbdad-da7f-4e18-aa71-96c005ab4ffb,1632096375969,13.4245838,52.4963326,0.0,0.05204165,0.039304733,0.014962673,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,f077fbd0-afa8-4f29-b67d-ddf406745589,1632096376019,13.4245838,52.4963326,0.0,0.06531286,0.06784248,0.06503391,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,8a852fc2-5f20-44b0-9f7d-4b88b24e19ce,1632096376069,13.4245838,52.4963326,0.0,0.048930407,0.06754303,0.010070801,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,0c138516-16ea-4193-b699-48d40b522da9,1632096376119,13.4245838,52.4963326,0.0,0.078026175,0.0826416,0.050777435,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,94bdcd01-9285-4d7c-91b7-b0b3fcb7128f,1632096376169,13.4245838,52.4963326,0.0,0.10311997,0.086476326,0.025877476,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,d401219e-1c2b-4ae8-9f0e-af910d407f90,1632096376220,13.4245838,52.4963326,0.0,0.06585491,0.070456505,0.012227058,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,48bf2e0b-d518-49c3-a607-83cbebb9accc,1632096376286,13.4245838,52.4963326,0.0,0.062139988,0.07445431,-0.029753208,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,74217fd4-9b50-4bde-a560-24d0e534eec2,1632096376353,13.4245838,52.4963326,0.0,0.11018491,0.06574726,0.05454874,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,49b295cb-5f1a-445e-b751-96596d2f6985,1632096376420,13.4245838,52.4963326,0.0,0.048443913,0.04821682,-0.045386314,in pants pocket,electric bicycle,True,concrete lanes,intermediate
d95eaf52-a88d-4c5f-83b5-56f7d2de86dd,757f0092-5815-4015-b0ea-41682a263404,7d45869f-2e4a-44da-879f-f74219a4ee8c,1632096376486,13.4245404,52.4964178,0.29658952,0.053900123,0.05624199,0.03844595,in pants pocket,electric bicycle,True,concrete lanes,intermediate
