bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,6ba8c053-6eab-459f-a9dd-082ac7234cb9,1634556641081,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,c5daba22-05cf-4546-912e-130578a1cec1,1634556641180,13.4972664,52.4653298,5.0956974,5.7763195,-2.8941555,5.064843,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,63256062-f5be-42f1-9447-557b71ae4b41,1634556641230,13.4972664,52.4653298,5.0956974,-0.9434178,-0.28509235,-7.0360346,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,973fc134-b785-4bdb-a4f9-53c4ecdeee5c,1634556641281,13.4972664,52.4653298,5.0956974,-1.0030522,-0.84870243,4.9311914,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,e84b031e-e8ff-4e5f-a431-3d3bb7ea7541,1634556641331,13.4972664,52.4653298,5.0956974,4.1423445,6.226287,-1.8494573,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,fcb05747-0ca1-4091-bcaa-d6085f70abec,1634556641381,13.4972664,52.4653298,5.0956974,-1.0694864,-6.2902937,10.89427,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,a8c92fdc-c7e8-4e5f-a9e9-6523c6b8b235,1634556641431,13.4972664,52.4653298,5.0956974,0.4811552,-12.9643,9.337786,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,b1dcc73d-0584-4793-b26a-55d2d3996c78,1634556641481,13.4972664,52.4653298,5.0956974,3.9215946,2.466621,6.159747,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,fd469abe-5af0-42cc-8814-e6a561c96f4e,1634556641531,13.4972664,52.4653298,5.0956974,1.3645867,0.00807476,-2.7734652,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,792baf37-8224-4cec-a3d4-8b0ddd4ceea6,1634556641580,13.4972664,52.4653298,5.0956974,-2.7165542,-9.783125,-0.48135567,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,540e111b-6f96-47b2-af27-af70516f6b35,1634556641630,13.4972664,52.4653298,5.0956974,-1.0784199,-10.7138195,7.2129354,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,c5825c5c-2775-4f72-ab03-06cd39f184e3,1634556641681,13.4972664,52.4653298,5.0956974,0.3053717,10.342365,-1.9187584,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,8eee0346-7295-473d-8b35-8dfeb092bd12,78abb3b1-23bd-490d-87d3-e70c40e5be49,1634556641732,13.4972664,52.4653298,5.0956974,0.07122874,2.0337377,-4.705811,on bike mount,cyclo cross,True,paving stones,good
