bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,adf4775c-c94f-4f40-9c28-934151d466cb,1633256599356,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,9dbeb632-fee2-4aa2-a4e6-8eb6a7c535fd,1633256599419,14.3924233,52.2693371,7.9073,1.7460066,0.48815012,-0.16751575,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,20a857b7-827c-459a-a75b-47fb5780554a,1633256599483,14.3924233,52.2693371,7.9073,-0.9085269,-1.8778347,1.0521135,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,7885b28a-c59c-4b97-a749-af8c26c760ec,1633256599549,14.3924233,52.2693371,7.9073,-0.18311413,0.14349055,0.42774487,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,ad78a6ab-a91d-46d3-9581-ac360de89831,1633256599599,14.3924233,52.2693371,7.9073,0.86374944,1.4862814,-0.31608486,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,663c412b-1e01-4d1c-814d-09bd57fb6734,1633256599649,14.3923981,52.2693633,7.8961177,-1.4682508,1.3054986,-1.0250664,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,4e240eed-de38-443e-8a7d-e3a2cfab2e8e,1633256599700,14.3923981,52.2693633,7.8961177,0.17704165,-3.556256,0.47087193,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,7b6831de-ffaa-4d87-970e-ce17518e8a76,1633256599750,14.3923981,52.2693633,7.8961177,-0.66414404,-1.6042581,0.2674904,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,67862dde-0cc0-4777-8baa-676c7a9b153b,1633256599817,14.3923981,52.2693633,7.8961177,0.52836496,0.4113028,-1.2595344,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,95315ce7-c8cf-4af6-94f0-3a408ddd3cdf,1633256599883,14.3923981,52.2693633,7.8961177,-0.5112724,1.0874877,-0.19296741,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,3fd7c54b-2b3d-4fea-88d7-85fac59bd6a7,1633256599950,14.3923981,52.2693633,7.8961177,-3.1657085,-0.1341672,-0.14949894,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,9a041036-3832-4ab2-a5ee-7e66e5bccebc,1633256600017,14.3923981,52.2693633,7.8961177,0.8449135,-2.97236,0.24903011,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,6b2642dc-f24a-4b50-b7e5-796a9a51fc09,1633256600067,14.3923981,52.2693633,7.8961177,-1.3500525,0.25164747,0.7307205,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,a01d192d-c300-4674-8745-920e345cb334,1633256600134,14.3923981,52.2693633,7.8961177,-2.0808024,-1.3933421,-0.12303352,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,e6974eac-b4b6-4a13-a549-c00f539fa2bb,1633256600200,14.3923981,52.2693633,7.8961177,-0.44822437,-1.4115584,2.7794847,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,36d7564b-30db-4c9a-a58a-e825e78bf62d,23d74c2e-cffe-4f9d-9843-ec4773485aae,1633256600267,14.3923981,52.2693633,7.8961177,-2.2171106,-1.5769911,-0.14728832,on bike mount,cyclo cross,True,asphalt,excellent
