bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,5a4feab6-2cb4-46f8-b678-edfcf02c1005,3fe89e60-f135-40f7-a2c4-72b8ad5fb970,1633682520008,0.0,0.0,0.0,-0.76469874,-0.500314,1.1699934,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,5a4feab6-2cb4-46f8-b678-edfcf02c1005,451f20b0-4568-4d49-b177-1abd171bfdc8,1633682520063,13.4111665,52.472663,3.0122604,3.4252539,-1.8192003,1.3411541,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,5a4feab6-2cb4-46f8-b678-edfcf02c1005,7c66881b-6fb2-4ebb-bdfd-ea17973e54af,1633682520114,13.4111665,52.472663,3.0122604,0.6881427,-0.72493196,2.7639112,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,5a4feab6-2cb4-46f8-b678-edfcf02c1005,771f5276-d578-4251-8a13-7a492ae3642f,1633682520164,13.4111665,52.472663,3.0122604,-2.4229765,2.589342,2.0043354,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,5a4feab6-2cb4-46f8-b678-edfcf02c1005,1052a950-978e-40e5-8c3c-1a80f72fc91a,1633682520231,13.4111665,52.472663,3.0122604,1.4738562,-1.3027935,-3.1384459,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,5a4feab6-2cb4-46f8-b678-edfcf02c1005,45eb1238-23b4-4e2c-9d44-b2b3f8c2b3bd,1633682520298,13.4111665,52.472663,3.0122604,1.4868903,-1.6042614,-2.2554026,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,5a4feab6-2cb4-46f8-b678-edfcf02c1005,b21ff1ac-ea31-4d70-a15b-db0e4aa70376,1633682520347,13.4111665,52.472663,3.0122604,4.1635413,-4.898724,2.40139,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,5a4feab6-2cb4-46f8-b678-edfcf02c1005,1afce5a7-af91-434a-87f0-8cc4e2f4fa2b,1633682520398,13.4111665,52.472663,3.0122604,0.79898894,-1.6834908,-0.2670231,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,5a4feab6-2cb4-46f8-b678-edfcf02c1005,c9170ef0-9a6d-486f-b325-d6e7b7776d54,1633682520448,13.4111665,52.472663,3.0122604,-0.9981683,-3.028743,6.4721527,on bike mount,cyclo cross,True,paving stones,good
f3379a61-5fe1-4f04-aeed-1b9acfe5d631,5a4feab6-2cb4-46f8-b678-edfcf02c1005,fb9e5cd2-42b7-4760-b77d-5ec17d3386d2,1633682520497,13.411132,52.4726639,2.1072154,1.0727773,-4.596055,5.3418245,on bike mount,cyclo cross,True,paving stones,good
