bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,c03babad-2ed0-4a83-9c89-776dd66875b2,6a2f39e4-430d-4d6e-8422-4df176395c1e,1632123186472,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,c03babad-2ed0-4a83-9c89-776dd66875b2,5e0ce316-c685-4788-92b0-92542558a5f5,1632123186526,13.4055938,52.4798879,5.7187076,6.056416,4.8623333,0.21768093,on bike mount,cyclo cross,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,c03babad-2ed0-4a83-9c89-776dd66875b2,47acad10-6af7-4344-bd4b-a43c69d65ca2,1632123186577,13.4055938,52.4798879,5.7187076,-1.3178675,0.31911993,-5.686124,on bike mount,cyclo cross,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,c03babad-2ed0-4a83-9c89-776dd66875b2,e044bb66-98fd-4150-8590-148fc33ab096,1632123186643,13.4055938,52.4798879,5.7187076,-0.5829079,0.87447214,0.9580765,on bike mount,cyclo cross,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,c03babad-2ed0-4a83-9c89-776dd66875b2,0f6c8093-2eec-4907-a97a-6046f357bcb6,1632123186694,13.4055938,52.4798879,5.7187076,1.6743218,1.3312178,1.29105,on bike mount,cyclo cross,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,c03babad-2ed0-4a83-9c89-776dd66875b2,a6372286-9f2d-442e-ad59-4278e2103c63,1632123186760,13.4055938,52.4798879,5.7187076,2.1021638,-1.7927535,2.6644726,on bike mount,cyclo cross,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,c03babad-2ed0-4a83-9c89-776dd66875b2,7f09804b-85bf-43b9-849f-2d9442b80ffd,1632123186827,13.4055938,52.4798879,5.7187076,3.7468495,1.7534828,-0.6902232,on bike mount,cyclo cross,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,c03babad-2ed0-4a83-9c89-776dd66875b2,3fc1ac2b-252c-4d38-a55d-3ca4bbb626fc,1632123186877,13.4055938,52.4798879,5.7187076,2.525575,-0.83175516,3.861971,on bike mount,cyclo cross,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,c03babad-2ed0-4a83-9c89-776dd66875b2,ae16c548-0a6d-4d64-9715-77b6d1bcec97,1632123186944,13.4055797,52.4798577,5.710827,1.104823,1.0852842,-2.724852,on bike mount,cyclo cross,concrete plates,good
f55d38e9-03b4-4b89-b6c0-cfe4ecd5a8c6,c03babad-2ed0-4a83-9c89-776dd66875b2,1296995b-1d98-4682-8f97-a3008f7c1b35,1632123187011,13.4055797,52.4798577,5.710827,2.7547224,-0.6453166,1.395319,on bike mount,cyclo cross,concrete plates,good
