bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,9defd465-eef8-40b1-913e-0b6a64eedc28,1644073149379,0.0,0.0,0.0,-3.9485307,0.11351633,4.121958,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,ddb07db0-5d4f-4f29-beec-4209d9f7f484,1644073149433,13.4301112,52.4956084,1.1837589,1.8398894,-8.00118,-3.5000987,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,29ff41e5-bfd9-4361-9011-9233a937cdbc,1644073149488,13.4301112,52.4956084,1.1837589,-1.1214914,-2.2802215,7.5901394,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,ba71513a-d612-4c02-b4da-fa5593802a36,1644073149545,13.4301112,52.4956084,1.1837589,0.10933803,-3.8444095,-3.4282923,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,0ea08457-a286-4ece-8c21-74b8c1179db6,1644073149599,13.4301112,52.4956084,1.1837589,4.4777727,1.935936,1.1680813,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,eb775d8a-4269-46ea-80e1-4a76fd9ac3e0,1644073149660,13.4301112,52.4956084,1.1837589,-4.6372366,-6.755723,-2.8033977,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,934667af-c718-42de-a68b-9a5e08840741,1644073149711,13.4301112,52.4956084,1.1837589,-1.1001018,-0.50931764,-0.82420015,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,44c1a9ef-d34c-45d3-9c69-07757b4b5b3d,1644073149766,13.4301112,52.4956084,1.1837589,-1.7794307,-5.690136,-3.8781505,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,8b75667c-5c64-4425-8c8d-7149db34d2cc,1644073149824,13.4301112,52.4956084,1.1837589,0.046911836,-1.673617,0.1635189,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,9c6df9d7-ac46-4942-88db-9788a0711cc7,1644073149878,13.4301112,52.4956084,1.1837589,-0.9047924,7.093919,-6.1459293,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,efafac12-8270-479a-b957-95d36b85442d,1644073149934,13.4301112,52.4956084,1.1837589,0.84693956,-8.204054,0.62155247,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,6e087cd2-de5b-4653-928e-afae4183cbd2,1644073149989,13.4301112,52.4956084,1.1837589,0.659956,-3.9060245,1.9148121,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,84cd74a3-fb9f-4d78-bf69-63503e61cba8,1644073150045,13.4301112,52.4956084,1.1837589,-1.3272306,2.267943,-3.9802716,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,3a730f8b-7f47-4451-944f-0b1f58f5b321,1644073150100,13.4301112,52.4956084,1.1837589,0.9502897,2.4824286,-3.6698132,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,cdb47154-5665-492d-8ced-4ad81d325dbb,1644073150155,13.4301112,52.4956084,1.1837589,-0.52966243,2.4209352,-0.105828285,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,037bc40b-b189-4d40-a0bf-cbdd7cfaf178,1644073150210,13.4301112,52.4956084,1.1837589,-1.5904272,-13.462204,1.6918278,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,dd80cc90-b4a7-40fc-a20c-72b3c670740a,1644073150265,13.4301112,52.4956084,1.1837589,3.8539333,0.38466477,-0.46238804,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,fcf34e1a-ab4f-46ad-8ea3-5c3a23e8af82,1644073150322,13.4301112,52.4956084,1.1837589,2.5175586,2.4266052,-4.127438,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,949c6a72-56b2-45d4-bdac-81687a32f158,1644073150378,13.4301112,52.4956084,1.1837589,-2.9661493,-4.85483,-0.92660856,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,d654709d-41d9-4e63-9a37-d2a57b8bed8c,1644073150433,13.4301112,52.4956084,1.1837589,1.1966623,1.2890148,-1.026473,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,b49afe5e-96f2-47d3-ae74-f6a821287a26,1644073150488,13.4301335,52.4956,2.3325274,-0.15120944,-7.120758,2.1791859,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,602dd80d-c9f0-4a6d-8a4c-0168b6ab7072,1644073150543,13.4301335,52.4956,2.3325274,-1.5067477,-3.6624699,9.838133,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,13ae6d53-ff57-4eee-ae50-02a04479eaa5,1644073150599,13.4301335,52.4956,2.3325274,0.14102808,4.9357686,0.22822094,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,5b0b5db0-d4ee-46bc-815c-3d2feb0c1888,1644073150655,13.4301335,52.4956,2.3325274,-0.25735003,0.52962065,5.807089,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,27ea2407-31fd-416d-bb88-42023208f0b7,1644073150711,13.4301335,52.4956,2.3325274,-0.30257177,2.6122093,0.56910515,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,4058625a-4dc0-453f-8874-df1f0bbcba72,1644073150767,13.4301335,52.4956,2.3325274,-0.4469689,2.7128243,-2.7083106,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,2199a43d-ad93-4bbb-943d-39aa6585e3b5,1644073150823,13.4301335,52.4956,2.3325274,-3.5421278,-9.032244,8.982115,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,ca2a3358-3e05-4704-a3cf-d30512084128,1644073150878,13.4301335,52.4956,2.3325274,-2.6010876,3.147359,-2.3523602,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,4d1fa0ac-c563-464d-83e3-05811aca82c2,1644073150933,13.4301335,52.4956,2.3325274,1.7227957,-1.643775,-6.013886,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,f0ea5525-91d2-48fa-8d7a-8e9f2a49a995,1644073150988,13.4301335,52.4956,2.3325274,-0.64952064,-0.59125257,-0.4335661,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,13f08c4f-812e-44f3-b8be-6cef7f2af5bf,1644073151045,13.4301335,52.4956,2.3325274,2.8990295,5.1383677,-7.968558,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,05fc7d38-0a64-49d3-9bca-97ee495065b6,1644073151100,13.4301335,52.4956,2.3325274,-0.15356192,4.112487,-10.854248,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,06fd2f5f-2401-4d13-bceb-9b77c4c79afa,1644073151155,13.4301335,52.4956,2.3325274,-4.098849,0.52678204,-5.3416424,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,03532a3c-6b94-4888-a16e-ebb930d5df7d,1644073151212,13.4301335,52.4956,2.3325274,1.0397868,5.4162655,-3.3957562,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,19a630c1-5350-409c-9652-dd73612ed19e,1644073151267,13.4301676,52.4955865,3.0852091,-0.9026906,-7.34402,-9.355439,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,6619b1bd-9d6e-4c53-964c-28b2ec4f0d6b,1644073151321,13.4301676,52.4955865,3.0852091,1.6837745,1.330122,8.4528675,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,f5896e3c-949b-4317-866b-724e0c9bc713,1644073151376,13.4301676,52.4955865,3.0852091,3.2862344,-6.332676,-2.987307,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,e045243b-af64-4d7e-a523-27f63bcb258f,1644073151432,13.4301676,52.4955865,3.0852091,-1.9203005,0.23641682,-3.2327867,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,ffb98b48-d908-4a2e-a382-db36de772651,1644073151488,13.4301676,52.4955865,3.0852091,-1.1847355,10.659357,-4.974386,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,35f54fab-9636-4c41-b571-fae9290e13a5,1644073151544,13.4301676,52.4955865,3.0852091,-4.0401397,2.984676,-1.3393173,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,ba3ee878-2943-476c-ac88-2e1cbf6d7a14,1644073151600,13.4301676,52.4955865,3.0852091,-0.7101508,0.20891976,-8.6205845,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,a6dc75c8-541a-4a00-99ab-9fff3690b9de,1644073151655,13.4301676,52.4955865,3.0852091,-0.27994895,6.4627256,-2.4591842,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,d3978f30-a0d4-413c-b2c9-7e005dadf432,1644073151710,13.4301676,52.4955865,3.0852091,0.5520946,2.7355704,1.8215866,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,c0e1afc3-62fc-42b5-9993-cf9eda26de9c,1644073151766,13.4301676,52.4955865,3.0852091,-2.0338624,-6.5448384,7.7392244,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,d57bdcbd-eff3-4ffa-b9e1-69c2e660af6d,1644073151821,13.4301676,52.4955865,3.0852091,-0.8662191,1.1054649,-0.21083641,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,78b31311-56dc-4b82-880b-869e680b32cc,1644073151878,13.4301966,52.4955759,3.1631444,-0.4270621,-0.68382597,7.476775,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,241abffd-01c9-4b28-b9a2-cf7b0c6a04f4,1644073151933,13.4301966,52.4955759,3.1631444,4.326811,-7.335922,26.585814,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,9befd3b3-f2bf-4d1c-b5f4-c98e0576d584,1644073151989,13.4301966,52.4955759,3.1631444,1.9318259,3.3402367,-8.52448,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,cda2c7e9-b1f3-438a-89d9-5e5253c9040e,1644073152043,13.4301966,52.4955759,3.1631444,0.23085535,-3.4306283,6.0371304,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,ab0b1247-6e37-4dbf-b942-e9bd5babaadc,1644073152099,13.4301966,52.4955759,3.1631444,-0.7479499,-3.7349625,5.5654736,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,2eff1fb3-4611-4c67-a638-707bee5b0d91,1644073152155,13.4301966,52.4955759,3.1631444,0.58026683,-2.4733727,2.5277863,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,064ec224-3b4c-4f8c-8a78-a94ca29f71cd,1644073152210,13.4301966,52.4955759,3.1631444,-2.529929,-5.170517,8.536764,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,abdfbf29-60c5-42da-8410-56accbd00a72,1644073152265,13.4301966,52.4955759,3.1631444,-1.4946189,4.3313065,4.368534,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,2373029d-c041-48de-bed0-bbfccc65cf75,1644073152321,13.4301966,52.4955759,3.1631444,2.1786542,1.8459883,-4.885311,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,80d8f8b7-4262-431a-bd1b-63b4576a459b,1644073152377,13.4301966,52.4955759,3.1631444,-2.0850115,2.615151,15.514261,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,d926f4f8-1ac7-476b-ae6e-87e1826d9d79,1644073152436,13.4301966,52.4955759,3.1631444,2.602431,-8.116194,31.166492,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,21a23bb7-7f99-46c9-8c15-a55bd8a03c1e,1644073152488,13.4302209,52.495567,3.1648076,1.1032807,-4.863184,4.939746,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,f25d8eb3-ee26-4afd-86f7-26c513e7101a,1644073152545,13.4302209,52.495567,3.1648076,-0.4390112,-4.6573915,0.7899189,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,7067fdaa-efba-4fa4-a64c-17c499e89ce6,1644073152599,13.4302209,52.495567,3.1648076,-0.38512704,0.36709166,3.9518728,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,c70a676c-94db-4c15-b797-dda242d7db5d,1644073152654,13.4302209,52.495567,3.1648076,-2.331584,-3.338699,2.8998241,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,df75fc18-b910-4e57-a3d6-a66c626bbd45,1644073152711,13.4302209,52.495567,3.1648076,0.66752565,-0.995281,4.599205,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,d777c5c6-8d94-4382-8ae7-12d54b10263b,1644073152767,13.4302209,52.495567,3.1648076,0.2698043,7.805816,-8.905122,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,d627bae0-02d3-4bc8-84c1-304862d699d3,1644073152824,13.4302209,52.495567,3.1648076,-2.0345018,0.82344913,-3.3998485,on bike mount,cyclo cross,True,sett,intermediate
fe478e2a-e696-42de-be00-ffed49fc66db,a3993e30-8aaf-4972-bbc2-b902df9e38a3,32d2a740-ed77-4a2d-b4c5-84283bab6cc7,1644073152877,13.4302209,52.495567,3.1648076,1.0885057,4.8131266,-2.7333674,on bike mount,cyclo cross,True,sett,intermediate
