bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,7ee57b18-c9fc-49f9-b376-79e8b8812417,1632392951710,13.3939866,52.4728521,5.610012,0.56590366,-5.910183,-4.693125,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,7e18a344-3c14-42b8-86a0-89fd04ff6f3f,1632392951777,13.3939866,52.4728521,5.610012,-3.5274382,1.216124,5.330063,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,a19bdb45-8247-45be-bbe8-d5ba10fad712,1632392951827,13.3939866,52.4728521,5.610012,-2.2578955,-1.31002,2.8649378,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,e01030ed-3c40-4714-b755-8d574cad34c9,1632392951894,13.3939866,52.4728521,5.610012,-2.3625174,6.890595,-1.9450827,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,69ddc196-a8b5-4f94-ab47-891515b34275,1632392951944,13.3939866,52.4728521,5.610012,0.033313155,4.1987686,-1.3024397,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,df298236-dee2-4477-847d-1048a02205b0,1632392952011,13.3939866,52.4728521,5.610012,-2.6608663,-3.0180626,0.3202219,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,231cca10-727e-442d-8160-2ee74c249427,1632392952060,13.3939866,52.4728521,5.610012,1.213759,1.0937691,-3.69659,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,794f4d58-51f6-4260-9582-f65d2b05eefd,1632392952127,13.3939866,52.4728521,5.610012,-1.8422198,2.9599657,-0.6230726,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,5d97b6df-8533-4b8a-8138-d355b540969e,1632392952178,13.3939866,52.4728521,5.610012,-4.601433,8.142014,-5.357903,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,c38eede4-708c-4967-b1bd-144286a2efd5,1632392952244,13.3939088,52.4728505,5.231602,-0.1651633,-2.4078734,-2.8977537,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,247192ed-2a73-41b9-98f7-505d8fa866b1,1632392952311,13.3939088,52.4728505,5.231602,-0.5630148,-6.263708,3.105464,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,bb4489a3-1f31-49b7-a0b3-ee2767e6cedf,1632392952378,13.3939088,52.4728505,5.231602,0.25576162,4.1970944,-0.59023476,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,9af86046-46db-4e8c-83ac-d45ab4dbd341,1632392952444,13.3939088,52.4728505,5.231602,-1.366746,-3.1122038,0.84239674,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,0dcddf28-5642-419e-9d7b-12b1d03a277f,1632392952495,13.3939088,52.4728505,5.231602,1.6655905,-3.5747638,1.1236563,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,40109294-2bc6-433f-9657-6266808126ce,1632392952562,13.3939088,52.4728505,5.231602,-1.4071472,9.083738,3.513854,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,e8e57b82-b984-4934-80a5-a35c8ac35b5f,1632392952628,13.3939088,52.4728505,5.231602,-0.14357132,-3.240986,-2.4521203,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,cc593345-90ed-4e2d-af48-b6cafda41a1b,1632392952695,13.3939088,52.4728505,5.231602,-0.22249588,-2.6204247,1.184041,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,0a44b9ad-0e70-4d2e-828c-6ec869d7988d,1632392952762,13.3939088,52.4728505,5.231602,1.1063113,2.7328057,-3.4229307,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,a740b9ce-d370-4ef6-b41d-18e9e7457785,1632392952829,13.3939088,52.4728505,5.231602,1.9689522,-3.9577503,-0.95629406,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,6ba9b418-8ca4-45b7-839c-8c94d4e92a29,1632392952895,13.3939088,52.4728505,5.231602,0.44532788,2.151538,-2.4009314,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,9e6d985b-d034-46e9-98e7-841a02ae947f,1632392952946,13.3939088,52.4728505,5.231602,-2.640888,1.7571259,1.6454744,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,1373d520-791f-4048-8f70-95b1b9be4b17,1632392952996,13.3939088,52.4728505,5.231602,0.5768356,-1.5900419,1.8449793,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,9fcc89a1-21bc-49a3-98c8-759a9ce011a1,1632392953063,13.3939088,52.4728505,5.231602,0.7884969,1.0083094,-0.2573614,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,c7fbb9bb-105e-467f-9c11-283363a40ad7,1632392953129,13.3939088,52.4728505,5.231602,-1.7905377,5.146633,-7.5588894,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,112ba5d0-07b1-49ce-b785-d14c002b5cf3,1632392953196,13.3938322,52.4728462,5.4689693,-0.6500861,6.655431,-4.3925753,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,ba16af12-431f-426a-94c8-f0e6c2cf64fa,1632392953246,13.3938322,52.4728462,5.4689693,0.02050972,-2.5367942,-7.7606597,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,13efce43-9fec-41cd-aa1c-323719c4c54d,1632392953312,13.3938322,52.4728462,5.4689693,0.4827887,-7.747676,-0.7989836,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,0491b59e-51f4-4a60-bf17-d3a58589ade3,1632392953362,13.3938322,52.4728462,5.4689693,1.8656046,-1.7630544,-2.0672808,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,477015f3-4cab-4bf7-84ab-0c80158f1f3b,1632392953413,13.3938322,52.4728462,5.4689693,1.6490427,-5.939188,-0.6342945,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,d34d707a-263c-4934-839f-590acb048af3,1632392953463,13.3938322,52.4728462,5.4689693,1.5221463,-1.7769389,1.3735418,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,91bf4dec-9f2a-4037-9fb6-3bd7a6fafc89,1632392953530,13.3938322,52.4728462,5.4689693,-1.6806486,7.987422,-2.1173625,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,3755bea9-f718-4002-b31d-601717851e62,1632392953580,13.3938322,52.4728462,5.4689693,0.5418233,1.8262825,-3.3987114,on bike mount,cyclo cross,True,paving stones,intermediate
0453e7cd-fd0c-4ffc-8d7a-d61514c31ba9,e51b02de-8c10-402c-aa50-e01f16f5bafd,05d87eed-286a-4f30-81f5-bb10fadd39e9,1632392953647,13.3938322,52.4728462,5.4689693,-0.34228897,-0.27708626,2.3127995,on bike mount,cyclo cross,True,paving stones,intermediate
