bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,3bcd7e94-a78c-4166-8eb1-159a08ac4045,1633860666547,13.4836644,52.4863251,5.940999,0.9212104,-2.2505846,-2.6689353,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,a5cae6c0-57f1-441d-8bd0-99b2626fbe23,1633860666597,13.4836644,52.4863251,5.940999,-0.6229429,1.7813451,-1.3090734,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,419370fd-9091-4848-9ecc-9af9fd6a248a,1633860666647,13.4836644,52.4863251,5.940999,-0.40082526,1.7487862,-0.009295464,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,31bd9bd1-7fc9-4f29-8d47-0ac2871f0d3a,1633860666697,13.4836644,52.4863251,5.940999,0.35486925,-1.5959721,-2.5882611,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,9830dcf0-431d-4367-8081-78c24c895b6f,1633860666748,13.4836644,52.4863251,5.940999,0.13651533,-1.6794312,3.0338163,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,7577a639-e4b7-41cd-8f3b-90305dc58c8c,1633860666797,13.4836644,52.4863251,5.940999,0.14852938,0.4921646,-3.0750766,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,83e03918-529a-4660-8407-8072c493edf9,1633860666848,13.4836644,52.4863251,5.940999,-0.33761504,0.30031872,0.49751472,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,9aab9b72-f979-4806-a228-f3328c9746b9,1633860666898,13.4836644,52.4863251,5.940999,1.4812336,1.3129411,-2.4113002,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,52bc6d8d-a26b-4101-989f-13146c88232c,1633860666949,13.483739,52.4863609,5.902244,2.3242202,3.4289293,2.0357113,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,079bdb39-02b2-4d90-85f8-8be54b41ab5d,1633860666999,13.483739,52.4863609,5.902244,0.9325311,-3.8862145,8.184052,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,41667a40-df39-490b-ae44-a7c19a3bddd2,1633860667050,13.483739,52.4863609,5.902244,-0.81127924,-6.16625,8.264262,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,f70e1415-1870-4d72-a193-8aa25ff87fc3,1633860667102,13.483739,52.4863609,5.902244,-0.23512125,-0.73400855,7.4331436,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,e6bb5b9b-c299-4de5-8f19-669a1445d20a,1633860667152,13.483739,52.4863609,5.902244,0.24287966,1.058718,-2.2078233,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,9d039427-d817-4f08-8cd3-8d6ea2a06952,1633860667203,13.483739,52.4863609,5.902244,-1.1194625,1.2399807,-0.37631035,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,12bab200-ed61-4c3d-bde3-cb47cb9698ba,1633860667253,13.483739,52.4863609,5.902244,-0.47913426,0.55226135,0.80954075,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,d4d4763e-921a-4831-8b9c-e56e77ddafe4,1633860667302,13.483739,52.4863609,5.902244,0.5390507,1.0971518,-5.3617926,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,2111416c-e122-49dc-ba12-dbdb53070aec,1633860667353,13.483739,52.4863609,5.902244,-1.2479345,-1.4593724,-3.0835762,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,9ce46c10-9e42-4791-a2e5-be47f4db936b,1633860667403,13.483739,52.4863609,5.902244,-0.07860191,-4.3413815,-0.09107971,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,2321e2db-0198-495d-80b8-3dc3ad920ed9,1633860667453,13.483739,52.4863609,5.902244,-1.0689155,-0.91419506,-1.2221942,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,ce4740a2-10b6-432c-92e5-07bc30de0639,1633860667503,13.483739,52.4863609,5.902244,-0.90993243,0.23398781,2.1550732,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,f2c66c1c-167c-4ded-b3a8-fffb2b72951d,1633860667553,13.483739,52.4863609,5.902244,-0.21944746,-3.8860238,1.4606743,on bike mount,cyclo cross,True,fine gravel,good
04637ac9-cd72-4d58-b97c-c1d2dedb6953,8deb182f-1ff9-46d5-98b5-c979c9508dc3,20ac3c74-e76d-42fc-9a51-ecf00ea49c1d,1633860667603,13.483739,52.4863609,5.902244,1.1106048,-1.2835493,-0.17856693,on bike mount,cyclo cross,True,fine gravel,good
