bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,219248ed-69ad-423c-a324-65f98a056cca,1644073575318,13.4296575,52.4957751,5.2018976,0.62795687,11.339949,-0.99835205,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,38d3aec9-38c6-4853-bb79-e1a9de986662,1644073575373,13.4296575,52.4957751,5.2018976,1.2805252,1.0814528,12.356174,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,94e5d4f4-02c0-46ed-ad2c-711479371864,1644073575429,13.4296575,52.4957751,5.2018976,2.346582,-1.633801,5.5698814,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,1c272610-7b87-4bfe-9254-a9a6fb3009cf,1644073575487,13.4295774,52.4957967,5.212042,-1.4433825,0.9918089,1.2668934,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,0c770afb-e3c9-4537-b68d-4d837e1fe3a5,1644073575541,13.4295774,52.4957967,5.212042,-0.42655337,0.5488243,-10.113651,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,6c88976d-588b-46f7-b306-065208a6be03,1644073575595,13.4295774,52.4957967,5.212042,-0.48003405,-5.4349546,-3.4873667,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,2a5f42f6-e95d-4af1-98ea-616237aac390,1644073575651,13.4295774,52.4957967,5.212042,-0.914362,-2.5380938,0.5890446,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,8d44cc8b-2566-4740-aec9-3aa5c68297ec,1644073575706,13.4295774,52.4957967,5.212042,1.7450347,-6.699543,6.274,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,ffdcfef5-96fb-4c28-b651-0903a68209e3,1644073575763,13.4295774,52.4957967,5.212042,0.7401732,2.0599527,-3.8588662,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,1426c216-dc1d-4cf9-b61c-9286e0ed6aee,1644073575818,13.4295774,52.4957967,5.212042,1.880656,2.5711298,11.526273,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,d431320d-768e-49a6-8de1-6d126620549d,1644073575874,13.4295774,52.4957967,5.212042,-0.98893285,-3.9197924,4.264573,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,2a4aeb0d-dfad-4095-8335-60f4c2f752a6,1644073575930,13.4295774,52.4957967,5.212042,2.9720745,-9.11813,16.907131,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,703d54c2-7b89-4cff-a22b-39515691aa12,1644073575984,13.4295774,52.4957967,5.212042,-0.39576572,-0.22151184,4.443761,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,b7086b4c-736c-445a-a732-fcd77d6e0571,1644073576040,13.4295774,52.4957967,5.212042,-4.443759,-2.0812392,2.5513258,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,5e2ded23-34e5-4006-9125-2973eb70cb41,1644073576095,13.4295774,52.4957967,5.212042,-1.1355522,-0.34481192,-7.2077327,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,64dafbe4-8a34-4391-9e73-7fef6a603a93,1644073576152,13.4295774,52.4957967,5.212042,-0.100302964,-5.971965,2.1298542,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,95f0bb2c-c01b-4baf-ba7f-bdc660edce08,1644073576206,13.4295774,52.4957967,5.212042,0.80879474,-1.561234,-10.049697,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,004eff36-df71-49bf-9d17-9d55a64ef530,1644073576262,13.4295774,52.4957967,5.212042,-1.2479786,-3.361176,6.86691,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,d113b6f9-3509-45b4-b67c-9aae5b3b7f25,1644073576318,13.4295774,52.4957967,5.212042,-1.3876096,-0.90061855,-2.662941,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,c110271a-6fee-44e7-9c6f-78446f8c9ee0,1644073576373,13.4295774,52.4957967,5.212042,-1.1986979,-15.845598,7.764658,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,32f68a8a-aaee-4414-ab40-a147159c266e,1644073576428,13.4295774,52.4957967,5.212042,1.1463126,1.2842765,0.7115164,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,82e8c762-1c5c-4fe9-85aa-6d39df6582b7,1644073576487,13.4294967,52.4958189,5.172683,-0.5847575,0.074944496,-14.424523,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,c02d5396-c63c-4d2c-b1bd-094aca31a3e1,1644073576541,13.4294967,52.4958189,5.172683,0.53846407,-5.164219,-0.70668507,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,229d63a5-2533-46e0-a893-193b1e8903ca,1644073576595,13.4294967,52.4958189,5.172683,1.9558969,-2.998938,-3.967548,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,ea223657-48e2-4a9c-a24e-288dee9d4c41,1644073576651,13.4294967,52.4958189,5.172683,-2.599979,-9.895948,16.576448,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,0c12e1af-4869-44a4-9f83-081479a601df,1644073576707,13.4294967,52.4958189,5.172683,2.1056986,4.1540365,-4.2789125,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,ce77b7be-c9ba-458b-996a-ed5b5927f07f,1644073576762,13.4294967,52.4958189,5.172683,-0.5478029,-6.1808343,1.3818369,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,c78e48db-25b9-4eb4-8e5c-6ba9d575a4a9,1644073576817,13.4294967,52.4958189,5.172683,4.867707,2.7180076,-13.961599,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,99df3d63-d1b0-4761-9ede-23e8fbf05b02,1644073576872,13.4294967,52.4958189,5.172683,1.1508088,2.4559464,11.578851,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,2ab12759-c4f3-4b6d-beb1-9e683dfa8a2b,1644073576928,13.4294967,52.4958189,5.172683,-1.3831761,-0.28605366,-9.074525,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,52807a1a-ca75-4adc-af64-6ee00605a1f6,1644073576983,13.4294967,52.4958189,5.172683,3.0178232,0.949316,-11.956387,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,de057b82-bc71-4d7d-98b9-8feca04805b8,1644073577039,13.4294967,52.4958189,5.172683,5.438878,-3.1581738,7.064904,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,6c4c5452-0860-42a8-bf35-1fb334a5e529,1644073577096,13.4294967,52.4958189,5.172683,-0.39006835,-4.1235275,10.050516,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,ea57350a-24fb-4eff-8242-806064d3e76e,1644073577151,13.4294967,52.4958189,5.172683,1.6652668,-5.462829,-0.37636757,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,4e4fdd1d-ddb2-4876-a719-9f847c76ecd6,1644073577207,13.4294967,52.4958189,5.172683,0.33730805,0.4240532,-13.235185,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,5bbe8b89-88cb-4429-a781-480c0b47c323,1644073577262,13.4294967,52.4958189,5.172683,-0.31950608,-7.6762767,-2.0223937,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,d25f352a-e15a-4e19-b387-c3e310d39cca,1644073577317,13.4294967,52.4958189,5.172683,0.38505846,-3.5644834,0.64557076,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,4b2908ef-3b59-48ed-9f1f-5fd2ca0d32e1,1644073577373,13.4294967,52.4958189,5.172683,2.5252278,-2.0214791,-2.5798502,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,59121eba-8ba6-4626-83a3-c1c4421ec623,1644073577429,13.4294967,52.4958189,5.172683,0.78392076,-0.03522396,-6.55346,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,053a5162-5617-4136-a5d2-2a06e9c9ca2a,1644073577484,13.4294967,52.4958189,5.172683,-1.4836131,-5.165357,5.596183,on bike mount,cyclo cross,True,sett,intermediate
05c8636e-cb90-4385-a145-6866ca249638,6e263c28-e77e-4f53-bbd7-78fa76f42976,11d05795-f4f9-4e19-a34d-05f51f5e1c58,1644073577540,13.4294178,52.4958411,5.2013187,-6.966267,11.8408985,-6.1509824,on bike mount,cyclo cross,True,sett,intermediate
