bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,0e716c94-a0e5-485f-a3fe-91bfd5f59aa4,1633530978518,13.4371799,52.4976733,5.6466727,4.694463,-45.17724,54.67238,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,fb01e9ae-e245-46a2-abcb-d915e43916d9,1633530978569,13.4371799,52.4976733,5.6466727,2.2056234,6.6981287,18.496788,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,c6fa73de-940d-4e5c-a140-28bff203c96d,1633530978636,13.4371799,52.4976733,5.6466727,8.549092,20.316708,-13.601881,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,748eaa9c-ab31-4017-aed0-d0b274dc64c0,1633530978686,13.4371799,52.4976733,5.6466727,5.7450695,13.077121,-10.908258,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,462a4f28-c7af-402e-85d3-67c6f6da3f3a,1633530978736,13.4371799,52.4976733,5.6466727,-4.0198336,19.490698,-17.12795,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,f2339c30-027d-4ef8-b26c-23db7efa7a7a,1633530978802,13.4371799,52.4976733,5.6466727,2.7587605,-4.315298,-4.8534336,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,07adb845-c498-48bc-b8a2-eff3599e8179,1633530978853,13.4371799,52.4976733,5.6466727,2.0351326,-9.512199,-16.276346,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,3b1a19e9-ce2e-4359-9ab2-dd4ea21f9a75,1633530978904,13.4371799,52.4976733,5.6466727,2.9033937,-1.9683433,-10.67009,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,4bb7d950-3631-4e6f-b76a-d65276050307,1633530978969,13.4371799,52.4976733,5.6466727,-1.7393512,-25.753038,21.630203,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,748b3b0c-3180-41bc-a6dc-af2d1da47be0,1633530979021,13.4371799,52.4976733,5.6466727,-3.1564443,-7.75776,-2.3110971,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,282592ee-6c22-4b9d-86e6-fc2ec8952e08,1633530979087,13.4371799,52.4976733,5.6466727,1.6361985,1.8465104,33.033432,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,0bebb225-b15b-478e-9c6f-ec53ac1a8ff1,1633530979152,13.4371799,52.4976733,5.6466727,7.285653,-10.901466,21.777779,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,f45a3d2b-8ad6-497b-adce-41c287a2725d,1633530979202,13.4371799,52.4976733,5.6466727,10.360653,-11.472748,49.473442,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,5897be4d-b89d-46bd-b186-66d51568f80d,1633530979253,13.4371799,52.4976733,5.6466727,-0.10462248,-23.99795,47.294235,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,9c05813f-cca7-4741-8f83-e1004a8aae7c,1633530979302,13.4371799,52.4976733,5.6466727,2.9465494,-6.466261,41.62269,on bike mount,cyclo cross,True,sett,intermediate
09f53162-c3f9-4405-986d-485206a5ff59,132c1a63-ab1b-4f34-a372-d11e591fecd3,a2c4ba83-ff99-4563-a3ee-be3513b7c037,1633530979353,13.4371799,52.4976733,5.6466727,-4.609899,-48.689606,42.5943,on bike mount,cyclo cross,True,sett,intermediate
