bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,1553ab3a-401b-4d90-bcc2-78a7aba07b11,1632422261126,13.4314368,52.4952141,4.918517,4.2674317,10.610815,22.696129,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,ca41ca5b-4d78-4745-b565-ac9550d3f033,1632422261193,13.4314368,52.4952141,4.918517,-1.1666856,6.4809303,-8.596767,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,89e7f74f-de3b-4fa4-b438-ceb1d66077d9,1632422261259,13.4313454,52.4952411,5.0580363,4.5881605,1.211524,-9.712687,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,9efb9ea6-6299-4b9c-9285-ecc90539c498,1632422261310,13.4313454,52.4952411,5.0580363,0.79530627,8.186567,-13.215048,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,ccc43b0b-8d55-4c98-8d95-38313365f71f,1632422261377,13.4313454,52.4952411,5.0580363,2.3276944,2.9710388,20.553131,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,a7aa827e-fc6c-4d91-ad35-2c25d1f18fd2,1632422261444,13.4313454,52.4952411,5.0580363,2.2415981,10.168552,7.6252613,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,2355fcad-9890-4088-aa97-3724801749d1,1632422261511,13.4313454,52.4952411,5.0580363,5.615303,-7.1421604,20.689865,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,ff28ecea-f228-4241-a587-c3c8c21c8795,1632422261577,13.4313454,52.4952411,5.0580363,-2.4946082,14.148187,11.818109,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,377e9ad0-6bec-485a-bbe5-87bebfdc563c,1632422261644,13.4313454,52.4952411,5.0580363,4.792759,-1.6489434,7.110319,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,8e0e4382-e532-41bb-849e-dd0faf64a40b,1632422261711,13.4313454,52.4952411,5.0580363,-8.97262,23.091875,-13.758926,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,f51d1885-c04b-4b8a-82a1-861c265c9078,ae41832e-9f61-45f6-876a-29d0b389c3eb,1632422261778,13.4313454,52.4952411,5.0580363,2.0529134,1.562151,-2.818695,on bike mount,cyclo cross,True,sett,intermediate
