bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,87d051c3-3769-40fa-b3f5-003c42a81385,1632238884329,13.400204,52.4723853,3.6788852,-0.6586991,0.9255519,0.6569519,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,01060202-4f86-4915-bb19-50026ba521fd,1632238884396,13.400204,52.4723853,3.6788852,-0.1837005,-2.5968397,-0.90781975,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,282e6198-372a-423d-a90c-a6a2950d87be,1632238884446,13.400204,52.4723853,3.6788852,-0.15146756,0.1562109,0.23029613,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,36e39bf3-a9ec-408a-b146-03f27808de76,1632238884513,13.400204,52.4723853,3.6788852,-0.8756068,-1.5998381,-1.3059149,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,099a1c32-e0a7-4e7f-b326-36d77736172c,1632238884563,13.400204,52.4723853,3.6788852,-0.3095346,-0.46101856,-1.2493544,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,022918fd-14df-4439-a594-73c9e414ad48,1632238884630,13.400204,52.4723853,3.6788852,1.0892622,0.5168953,-4.668498,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,bdf5d4e4-9679-47de-acaa-2576fd8e4c42,1632238884680,13.400204,52.4723853,3.6788852,-0.12085305,0.76344323,4.0948563,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,1dabc794-deb2-4a91-89c9-7bf7c8d6b889,1632238884747,13.400204,52.4723853,3.6788852,0.38548023,-0.6275072,0.14099026,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,62cbf7f9-715f-4a79-8b26-8730aa81492a,1632238884814,13.400204,52.4723853,3.6788852,0.83914113,0.91716194,-0.21188831,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,527d3e2f-fd24-4965-b2bc-f9a1a1adca62,1632238884864,13.4002633,52.4723888,3.628503,-0.2440299,-1.0684124,-7.000065,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,30615171-522c-48d1-b997-86b768544cac,1632238884931,13.4002633,52.4723888,3.628503,-0.31576252,1.7725208,-0.25371552,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,ee594bbb-1e11-4b23-b77d-56ee329aa5ba,1632238884997,13.4002633,52.4723888,3.628503,-0.57901305,-3.5726018,2.8870773,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,070461bd-ab53-416b-89a3-1abbbc4196a5,1632238885047,13.4002633,52.4723888,3.628503,0.66840756,2.35519,-0.065852165,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,a9597171-e35e-4eff-b8c3-33270036413e,1632238885097,13.4002633,52.4723888,3.628503,-0.50168574,0.7864702,6.0859184,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,1202659b-cf9e-41fb-86c9-72f0e2a6c274,1632238885164,13.4002633,52.4723888,3.628503,0.62813747,4.9970474,-2.9812913,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,7a7c99e7-244f-4d0c-b461-b6d43728fa3b,1632238885231,13.4002633,52.4723888,3.628503,0.38333502,-1.7222997,0.17562199,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,1d9c6580-9296-4691-939f-3411bcb7ef8a,1632238885281,13.4002633,52.4723888,3.628503,0.35388204,2.8512783,-4.781024,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,9ff1f04e-f841-47d2-8923-2059a84e8bb4,1632238885348,13.4002633,52.4723888,3.628503,1.6022859,0.33725786,-3.3344183,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,acd76f98-ee8b-4ec3-af0d-96b08796e0a8,1632238885398,13.4002633,52.4723888,3.628503,-0.20988476,1.0540254,-0.49784422,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,108c5e34-70f0-4123-a7fb-ef0694f2e701,1632238885465,13.4002633,52.4723888,3.628503,-0.46375525,2.016263,-1.2298055,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,ffa12614-3122-4261-9d68-406e96621b49,1632238885532,13.4002633,52.4723888,3.628503,0.16699493,0.8967593,-0.28130245,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,4ea53495-bb69-4669-9106-5f7cebac7717,1632238885599,13.4002633,52.4723888,3.628503,0.9700564,0.034962416,-0.21803856,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,25da7f5f-651e-43a8-9b10-a185919ffb9c,1632238885649,13.4002633,52.4723888,3.628503,-0.034204453,0.9450238,0.8535776,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,6293b529-aac4-4542-bc05-0d6f83ccb52f,1632238885716,13.4002774,52.4723893,2.3224807,0.22919619,-3.8181462,-0.050439835,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,37b9d1cf-cb20-4508-b6fe-bd6e41a29cdd,1632238885782,13.4002774,52.4723893,2.3224807,-0.8807782,-0.6266556,0.24717236,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,53b609ff-dd3c-4094-88a3-a92e9444187c,1632238885850,13.4002774,52.4723893,2.3224807,-0.06958318,1.0398464,0.1680212,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,51213003-9bb0-47d0-8d18-e9ab28224338,1632238885916,13.4002774,52.4723893,2.3224807,0.80266476,-0.2786777,-5.807165,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,181c2df1-5bf8-4161-94eb-b41eb0547db4,1632238885983,13.4002774,52.4723893,2.3224807,0.9010936,-2.4774303,0.9618635,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,d447def2-636a-4039-9965-7c4758a3b4e3,1632238886050,13.4002774,52.4723893,2.3224807,0.12706816,0.5619972,3.237585,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,2d058921-62c9-4ad4-8940-96c379bfa904,1632238886146,13.4002774,52.4723893,2.3224807,-1.3408561,2.3801703,0.5421629,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,9350491d-ce57-4532-b93a-21304915b087,1632238886200,13.4002774,52.4723893,2.3224807,1.6067388,1.1672974,1.3022633,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,93ece43a-bb2a-4992-bdb0-97463d0f95fb,1632238886267,13.4002774,52.4723893,2.3224807,-0.86959136,3.6853323,2.4812994,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,047dd47e-6b25-4daf-8e19-c4dd3cde6cc4,1632238886334,13.4002774,52.4723893,2.3224807,-0.22439402,4.005606,-0.089419365,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,44511ed1-80a0-4859-80a3-18d6062f9d40,1632238886401,13.4002774,52.4723893,2.3224807,1.3018012,1.7659807,-3.5494447,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,450de175-e358-4dd2-bd24-4be20fb4777d,1632238886467,13.4002774,52.4723893,2.3224807,0.55279326,-0.6021645,1.6675653,on bike mount,cyclo cross,True,paving stones,intermediate
0d1414f3-d959-41d8-8349-dbe3481ba149,1e292651-5ae2-4102-998b-41f29f5a0ebe,2e687575-6025-46c5-8aea-4b18cf616445,1632238886518,13.4002774,52.4723893,2.3224807,-0.79186535,-0.6504245,0.3379326,on bike mount,cyclo cross,True,paving stones,intermediate
