bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,4703cd0a-2862-408c-8868-b8665e2da6c5,1633161027577,13.8242778,52.418307,7.396902,-0.58727765,0.69415426,-0.96508884,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,83904644-b5e6-49d4-8882-1743673e2fdf,1633161027626,13.8242778,52.418307,7.396902,-2.4394517,0.032044172,-1.1617861,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,98f18e17-202e-4c58-975b-81e9c49bd5f0,1633161027676,13.8242993,52.4182405,6.8948812,-0.80716777,0.3063724,1.5185871,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,5bff2e12-80d4-4906-afb4-af4f7b949b4f,1633161027726,13.8242993,52.4182405,6.8948812,0.07878092,-1.3609718,1.2792072,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,7e033f51-5d90-4fc7-9a95-33de6ce9f580,1633161027777,13.8242993,52.4182405,6.8948812,-0.11948857,2.1631002,-1.1267548,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,b658c3fd-c532-4add-90fb-636818317a82,1633161027829,13.8242993,52.4182405,6.8948812,-0.5811075,-2.3710825,-0.5853863,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,e5b64618-fd18-4ae4-92f6-9b4ac6c64c05,1633161027880,13.8242993,52.4182405,6.8948812,-0.8700892,-0.462713,0.09250069,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,bd0aae7b-0823-492d-8fc3-798049470329,1633161027931,13.8242993,52.4182405,6.8948812,-0.40890688,0.5648334,-1.074091,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,be3a9f55-63f3-402b-8cab-6ea70ebb14fd,1633161027981,13.8242993,52.4182405,6.8948812,0.98033065,-0.31204486,-0.44405937,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,02088698-7cd8-48a0-99ce-71df9a1e8113,1633161028031,13.8242993,52.4182405,6.8948812,0.77398956,-0.94823456,0.60666466,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,e99c09ee-1fa9-4390-8de6-7fd3d1069f28,1633161028083,13.8242993,52.4182405,6.8948812,-1.2797304,2.0787866,-3.033464,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,451a73bb-a7b5-4287-9203-bc2a9677788d,1633161028134,13.8242993,52.4182405,6.8948812,-0.115870886,0.57469153,1.495101,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,4a86788c-297e-48c3-8646-bb6f0797790d,1633161028185,13.8242993,52.4182405,6.8948812,2.5067172,-5.557587,5.023122,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,fe10df56-0d38-4c6b-b15d-d4b1b7a3cc10,1633161028235,13.8242993,52.4182405,6.8948812,-1.1238375,1.0041392,-1.0703483,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,4a5d8f91-6bb9-4aa5-b83d-9cb9d25b3723,1633161028286,13.8242993,52.4182405,6.8948812,0.09875905,0.6521771,5.3257065,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,3404961c-b943-426d-a723-57aed3033392,1633161028337,13.8242993,52.4182405,6.8948812,-0.02538386,1.594346,-0.13976765,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,2dbbc7bb-7b2f-416a-bcd2-8c76949e41e2,1633161028386,13.8242993,52.4182405,6.8948812,0.041021716,-3.2307506,0.6564398,on bike mount,cyclo cross,True,asphalt,excellent
13559fde-a6e0-4490-ace9-0b66b8ef9008,d6bf2594-482e-4d02-bd41-e21b41f2b783,b4c74715-9e64-44ce-9c8c-a288ef0a20aa,1633161028437,13.8242993,52.4182405,6.8948812,-1.413957,6.449185,-6.5633297,on bike mount,cyclo cross,True,asphalt,excellent
