bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,8eabcc18-b5ec-419a-b2a7-848f66e3a116,1633167942829,14.2406301,52.3044708,5.754639,0.49480402,-0.90810454,-2.068448,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,016f7da1-cdc2-413c-bac8-72230a924e3e,1633167942879,14.2406301,52.3044708,5.754639,0.36865056,-1.2139547,2.5838575,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,cfdddc42-3a25-45cf-8091-9382afd0f7b3,1633167942945,14.2406301,52.3044708,5.754639,0.16426298,1.0910397,1.2468138,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,067fe903-dac4-465a-8b97-2ae76e12fcce,1633167942995,14.2407085,52.3044584,5.6603255,-0.29812855,0.9063978,-0.826252,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,d75d2b4f-b109-412b-b0b2-5ce5ba153690,1633167943044,14.2407085,52.3044584,5.6603255,-0.7986077,0.8049011,5.2794476,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,005d698f-7529-4d77-96c4-4fba03c1bd5e,1633167943094,14.2407085,52.3044584,5.6603255,-0.55220485,-1.4213011,-2.0505037,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,89f28f4d-f19e-470f-8b44-994327804f78,1633167943146,14.2407085,52.3044584,5.6603255,-0.43671304,3.4128804,1.9873066,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,0bdfd233-e07d-465e-8546-cc614349e89f,1633167943196,14.2407085,52.3044584,5.6603255,-0.40653294,-0.3687837,-1.1781769,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,70b90f21-0c2e-4379-81b1-7555ee13b9b5,1633167943262,14.2407085,52.3044584,5.6603255,-0.4952927,0.525754,-0.9907236,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,5bde3b6c-6b0f-4c03-a601-0a363a3a2ee3,1633167943313,14.2407085,52.3044584,5.6603255,-0.8803793,-0.5861256,0.5814104,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,5b01a1ab-a9d4-41e4-970d-b06c0f5cccc3,1633167943363,14.2407085,52.3044584,5.6603255,0.1111415,-0.1964953,-0.71473503,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,9625540a-a325-43fb-b193-1b36fd30374d,1633167943413,14.2407085,52.3044584,5.6603255,-0.15999925,1.9879856,-1.9610448,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,b6fc4c72-ac1c-4e4c-ae72-8443cd093fad,1633167943478,14.2407085,52.3044584,5.6603255,-1.2681226,-0.29064226,-0.6278353,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,af47363a-d93e-4e3e-b98d-6e8cc94ea555,1633167943529,14.2407085,52.3044584,5.6603255,-1.3172401,-0.20933175,6.6109133,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,e9c601af-b782-45bc-a9ee-5022a2e9c687,1633167943596,14.2407085,52.3044584,5.6603255,-0.33242768,0.20847964,-0.6105213,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,f53f1dbc-51fe-404e-bc09-733677c66083,1633167943646,14.2407085,52.3044584,5.6603255,-0.058685273,1.093118,-0.73505974,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,518d8b55-bccd-4257-b6ab-925f02e7315d,1633167943696,14.2407085,52.3044584,5.6603255,-0.7829058,0.065826654,0.5994835,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,f35f50b1-efc6-456b-b90f-8433fe9e35ed,1633167943762,14.2407085,52.3044584,5.6603255,-0.5941843,-0.9608394,0.12586689,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,a223eb72-26a2-4e61-9384-d19b0b6cc4b3,1633167943812,14.2407085,52.3044584,5.6603255,0.27195227,-0.1598146,-0.61903954,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,1e2fd6ca-259e-4b70-9f93-b42cf698f6b2,1633167943863,14.2407085,52.3044584,5.6603255,0.10370034,0.46306396,-1.4348316,on bike mount,cyclo cross,True,asphalt,excellent
140c11c4-cb2f-4c0d-91c1-3c5735ca16e5,1f6f9e9e-0cad-408b-a96e-57d03c882f28,94a1d58d-02c2-42d7-a4e6-6bfcc6556b61,1633167943914,14.2407085,52.3044584,5.6603255,-0.015636906,0.20011544,-2.5974035,on bike mount,cyclo cross,True,asphalt,excellent
