bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
159ca764-8e69-45a9-9fa3-39079fb69985,95e814a2-09f6-47ca-aab9-09bd5c3c0627,61835acb-0c45-478f-ae99-47f9bb222baf,1627403843108,13.3848,52.4528145,0.41599587,-0.004302591,0.007564783,0.0022068024,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,95e814a2-09f6-47ca-aab9-09bd5c3c0627,c39a2cd2-9329-4e2d-a4fc-a0413d80143b,1627403843158,13.3848,52.4528145,0.41599587,-0.006308466,-0.0040938854,0.028697968,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,95e814a2-09f6-47ca-aab9-09bd5c3c0627,3c4d5388-0b46-4410-819d-5d283c8d31ef,1627403843209,13.3848,52.4528145,0.41599587,0.018222183,0.05227232,-0.034003258,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,95e814a2-09f6-47ca-aab9-09bd5c3c0627,b4b5b279-fcfd-445d-9b0c-ca73ec6ea101,1627403843259,13.3848,52.4528145,0.41599587,0.016892254,-0.037022352,0.01749897,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,95e814a2-09f6-47ca-aab9-09bd5c3c0627,049a164e-6d62-43fd-8276-df91da80a9d4,1627403843310,13.3848,52.4528145,0.41599587,-0.047822714,-0.014173508,0.016029358,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,95e814a2-09f6-47ca-aab9-09bd5c3c0627,ced04176-ba42-47b0-9162-7e37d0078228,1627403843359,13.3848,52.4528145,0.41599587,-0.00039851665,0.0060157776,0.022051811,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,95e814a2-09f6-47ca-aab9-09bd5c3c0627,bdbad013-6d06-4b8a-a79d-8dee899d9707,1627403843409,13.3848,52.4528145,0.41599587,0.008084714,0.0109910965,0.011492729,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,95e814a2-09f6-47ca-aab9-09bd5c3c0627,ca4b3527-44ab-4a70-947e-c5fce331749a,1627403843459,13.3848,52.4528145,0.41599587,-0.032940984,0.014852285,-0.01610756,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,95e814a2-09f6-47ca-aab9-09bd5c3c0627,92acb3d1-cd1d-4535-ae89-2c3e2bcfde02,1627403843510,13.3848,52.4528145,0.41599587,0.014814824,-0.009149313,-0.050829887,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,95e814a2-09f6-47ca-aab9-09bd5c3c0627,17f2180a-5592-4ebe-83ae-0b316c5aa44b,1627403843561,13.3848,52.4528145,0.41599587,-0.028465152,0.059912205,-0.01643467,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,88a0ff99-ef17-4680-8a04-1df19cda99ec,a5e425f0-3f79-4e7f-a6e0-6ea63a1250df,1627403842553,13.3847945,52.4528177,0.34505042,0.016435772,0.05286026,-0.008340836,on bike mount,cyclo cross,False,mixed,mixed
159ca764-8e69-45a9-9fa3-39079fb69985,88a0ff99-ef17-4680-8a04-1df19cda99ec,36907eb0-588d-48a7-8bbb-a4dba42903cd,1627403842614,13.3847945,52.4528177,0.34505042,0.008622348,-0.0026795864,-0.002272606,on bike mount,cyclo cross,False,mixed,mixed
