bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,66a05d6a-794a-474c-abc8-6bca26a976c9,1626011365456,13.7218016,52.3932427,5.9183607,0.5359219,-0.6517147,-1.9640818,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,85adafc2-2a54-45d9-af62-d866d6442628,1626011365507,13.7218016,52.3932427,5.9183607,-1.9534795,-4.5601726,0.43618774,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,fcab03d9-6bf9-4514-b4a8-3237e1ab35e7,1626011365558,13.7218016,52.3932427,5.9183607,1.1607862,-2.075575,3.065732,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,9fb03523-3ffb-41dd-a3a5-a5eb8ba78608,1626011365608,13.7218016,52.3932427,5.9183607,-0.21086663,3.3151755,-12.680998,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,36de4016-b84d-4164-adda-2aa07d307cb9,1626011365658,13.7218016,52.3932427,5.9183607,-1.3657154,0.9751394,3.1850605,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,5ef76c23-b7d4-414b-ba4f-562d58c9f736,1626011365708,13.7218922,52.3932395,6.013994,0.6365675,-1.5076935,2.5805378,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,1bc59e6d-d37b-462d-8b73-238e3227f989,1626011365758,13.7218922,52.3932395,6.013994,-0.0074442327,0.6217551,1.5571423,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,c68a27ad-47cf-4214-a301-df4fd353b6d4,1626011365809,13.7218922,52.3932395,6.013994,-0.53027683,3.3031788,-5.0740166,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,a5727379-5254-4d5e-9d02-13c737772cde,1626011365860,13.7218922,52.3932395,6.013994,1.5183023,-2.0952015,0.7666998,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,52b0b62a-d97d-41e2-95ba-1818852fba10,1626011365909,13.7218922,52.3932395,6.013994,0.67452306,5.4189625,3.1265326,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,c7b35f88-158b-4361-a3a5-546c643b485a,1626011365958,13.7218922,52.3932395,6.013994,-0.09901509,-0.62846756,4.971652,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,8e634a38-19a9-45b6-80fa-38c756586d5d,1626011366008,13.7218922,52.3932395,6.013994,-2.1596527,-3.931456,5.8836985,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,c10cba90-912b-43e1-a48c-b4037354ca6b,1626011366058,13.7218922,52.3932395,6.013994,-1.1806023,7.9869137,-2.7814517,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,32f36a5a-6680-4762-95b1-6955fe51c3d7,1626011366108,13.7218922,52.3932395,6.013994,-2.6438737,0.86835337,3.8626318,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,d5143748-ea50-4d84-afc7-1e896e6ac149,1626011366159,13.7218922,52.3932395,6.013994,-0.07006228,-1.0993824,3.9370613,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,22b37bdb-209c-49f1-8212-1607c13e0d06,1626011366209,13.7218922,52.3932395,6.013994,-0.736357,-0.70445466,0.8158989,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,5171fa14-78bd-4cb0-9255-4507f6fe734e,1626011366259,13.7218922,52.3932395,6.013994,2.02073,-2.877666,5.851468,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,ae8fc29d-f9a7-4574-a06f-72511e66b77f,1626011366309,13.7218922,52.3932395,6.013994,-0.4462407,-2.173261,-1.3131022,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,23307c13-114c-40e9-8e5d-4858026b9eb6,1626011366359,13.7218922,52.3932395,6.013994,-1.7839525,0.24737501,1.7030478,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,b2bb052f-5302-4dfa-8f0e-5c7569f0e304,1626011366409,13.7218922,52.3932395,6.013994,0.4735908,0.9819622,-2.426764,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,cfc1b79a-c9b2-4742-8d0d-bccfbb839c96,1626011366458,13.7218922,52.3932395,6.013994,0.5872406,0.99247456,-8.999414,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,a20c3412-be6e-42ab-b8f7-5a6757923aa9,1626011366508,13.7218922,52.3932395,6.013994,-0.618542,5.4288936,-9.156826,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,36f854fb-3aed-4a5d-bdfb-845e0dfc6d6b,1626011366558,13.7218922,52.3932395,6.013994,0.9927025,-8.6276045,8.054325,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,ff312b63-6123-4755-b02f-956ca761ef83,1626011366610,13.7218922,52.3932395,6.013994,-1.506136,2.9412446,-1.6408057,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,4c6dc399-8c0f-479d-a76c-bd1f30234e79,1626011366660,13.7218922,52.3932395,6.013994,-1.6640973,-1.0578816,3.9342499,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,90f3ffa6-297f-49ae-9a89-4e2b252b8c6c,1626011366713,13.721985,52.3932327,6.0523934,0.7318512,3.8087654,-6.75483,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,2d37a260-1e1a-4a57-b2c3-30e16948551a,1626011366762,13.721985,52.3932327,6.0523934,0.032548547,6.9811735,-2.3470356,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,184f5aec-3019-4004-a4a6-515059114af5,1626011366812,13.721985,52.3932327,6.0523934,-0.667039,5.4025073,-4.6309705,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,2685ff17-71b9-468a-a189-6143c85518d7,1626011366863,13.721985,52.3932327,6.0523934,0.07046288,-4.1585875,8.995148,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,f38a2ae9-7dcc-438d-a2c1-0f98e119c48e,1626011366915,13.721985,52.3932327,6.0523934,-5.1902895,-2.8097813,7.2107744,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,7a33e722-dce8-47a3-bdbe-b7eb4eddff3e,1626011366965,13.721985,52.3932327,6.0523934,-1.0042672,10.125933,-10.431127,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,023eff48-cd9a-447f-beab-160ceb633cbf,1626011367016,13.721985,52.3932327,6.0523934,2.5374413,3.1083689,-8.148178,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,ad64455d-ae6e-492e-a55a-6a318d8ceb1a,1626011367066,13.721985,52.3932327,6.0523934,-1.0311713,-1.003335,1.4100714,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,faeef5b6-0671-45ff-ba5f-6cf034e33dec,1626011367117,13.721985,52.3932327,6.0523934,-0.45041668,2.1159081,-1.9377289,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,009e4af0-7bab-4aa3-a340-cff9ec176c9e,1626011367170,13.721985,52.3932327,6.0523934,-0.12280222,0.07687044,-4.2524357,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,18c867e2-a06b-4458-bf5a-875d0c12ddd3,1626011367219,13.721985,52.3932327,6.0523934,-1.8334006,-0.895684,6.1171904,on bike mount,road bicycle,False,asphalt,intermediate
15f5016a-c120-4b81-923d-38855d555615,e5412d4d-6572-4574-9c5e-e46b024522bb,e9f5e644-166a-408d-bbc6-3bea8c5aaa2b,1626011367267,13.721985,52.3932327,6.0523934,2.4911318,-1.0347522,-2.675315,on bike mount,road bicycle,False,asphalt,intermediate
