bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,9c955dae-369e-4636-99f0-7d094d9e9bc4,1635689825660,13.3965788,52.4802168,8.223194,0.6189982,-1.6527691,2.1970768,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,5ff68dc0-baf5-4f53-81df-15452d023092,1635689825723,13.3964553,52.4802202,8.265617,-0.9523791,3.745946,-0.6434965,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,592f7400-8e09-4c63-a58b-534a6166003a,1635689825774,13.3964553,52.4802202,8.265617,-0.38407186,0.10603881,4.25334,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,317c5cb5-ba37-48f0-a27f-7283a15c025e,1635689825826,13.3964553,52.4802202,8.265617,-1.614497,-5.94819,-0.28613758,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,c167d2fc-91ab-4333-b92f-33eb7c250e40,1635689825875,13.3964553,52.4802202,8.265617,1.0946867,-2.2691092,0.21828365,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,adef50c0-6746-4827-8f71-c91eb050e49c,1635689825925,13.3964553,52.4802202,8.265617,-0.6527486,-2.9964154,-4.4756255,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,bcf1a528-7db0-41dc-a7b5-c11aac4ddfc3,1635689825976,13.3964553,52.4802202,8.265617,2.268701,-4.796939,11.38748,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,82a6c479-f1c6-4512-8109-eec481d4e87e,1635689826026,13.3964553,52.4802202,8.265617,3.9802754,1.9079828,3.3163319,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,9b1259b0-65c9-41fd-ba1b-86393d405a8f,1635689826076,13.3964553,52.4802202,8.265617,-1.5969954,-1.9412285,-0.22340393,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,fe3f1277-d6fb-4b57-8daa-55f8cfd23288,1635689826127,13.3964553,52.4802202,8.265617,1.5541453,0.37978697,3.2902346,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,5e3eb4db-394a-4255-a81a-87175c238537,1635689826176,13.3964553,52.4802202,8.265617,2.0951223,-0.107019186,0.04933071,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,cfe8cdc3-e28c-4143-941f-75691f01c150,1635689826226,13.3964553,52.4802202,8.265617,0.017503858,4.8238173,-3.7768927,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,736405b9-ee8c-4092-99b9-6c78b3b8dd7c,1635689826277,13.3964553,52.4802202,8.265617,1.041599,2.692842,1.9894276,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,e5a48960-ef89-4d6c-ad2d-ac415979fa56,1635689826344,13.3964553,52.4802202,8.265617,3.063481,1.8360662,0.6917238,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,424321c3-3809-4deb-aa1b-2f3722c3ad20,1635689826410,13.3964553,52.4802202,8.265617,0.14205891,1.5141897,1.0646181,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,100a786c-a08c-489e-a62a-d0e25457c7af,1635689826460,13.3964553,52.4802202,8.265617,0.642779,1.4697323,-0.1872015,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,d0c5db50-38c3-4522-a965-7916353c9818,1635689826510,13.3964553,52.4802202,8.265617,-2.3430533,5.1486654,-8.440882,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,efac5bff-6cc4-43b5-8eb5-4a9e5cbbccb3,1635689826561,13.3964553,52.4802202,8.265617,-1.1821795,0.4717412,0.90760994,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,8659dbf3-6302-4b2d-8d9f-24257c6c77b1,1635689826628,13.3964553,52.4802202,8.265617,2.0356402,0.16935778,7.220173,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,8082808a-55e8-4891-bd38-74a8f8d187ba,1635689826694,13.3963303,52.4802285,8.438358,0.9352116,9.233498,0.1744051,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,c59b04c7-c5d1-452d-abd6-aa2582194586,1635689826743,13.3963303,52.4802285,8.438358,-0.41091096,-1.8288763,3.0458508,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,c6d53a95-4519-4935-b39c-8b001b1d0d62,1635689826795,13.3963303,52.4802285,8.438358,2.3726425,-2.4932249,-2.4756207,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,25441ff8-33e6-4a22-89ac-214c0499ea3f,1635689826860,13.3963303,52.4802285,8.438358,-0.3470829,-4.3150244,1.2246943,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,098193cb-1bde-4409-a660-289295b194e3,1635689826911,13.3963303,52.4802285,8.438358,-0.6420702,0.2154262,0.9071779,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,01f3ed28-9fd2-465e-b77e-1787b3becadc,1635689826961,13.3963303,52.4802285,8.438358,1.0564992,-1.7688786,-4.8851748,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,09bebedd-63f3-4f1f-8eff-e4bed8be6dde,1635689827028,13.3963303,52.4802285,8.438358,-0.33373374,3.14058,-7.513683,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,aa7d4bbd-352e-4a9b-a094-521b53d96fac,1635689827078,13.3963303,52.4802285,8.438358,1.7030493,-4.4343333,-6.519309,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,f15f4fcb-3c77-46aa-beb3-59454fef2a83,1635689827128,13.3963303,52.4802285,8.438358,-0.22117823,5.304446,-2.5883555,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,cbb883f5-5b89-4d04-a9ac-22a173ddfb88,1635689827179,13.3963303,52.4802285,8.438358,0.3413369,-3.7918656,-0.528265,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,ef67a127-cdb1-4e40-ab20-d1bd73bdfce0,1635689827244,13.3963303,52.4802285,8.438358,-2.8138905,0.27784038,1.7156925,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,bc080eab-56cd-4a6a-9e61-e6636f4464f8,1635689827294,13.3963303,52.4802285,8.438358,-0.4158676,4.5534534,-1.9993076,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,060493f9-aafb-40d4-a623-8a3d82971509,1635689827346,13.3963303,52.4802285,8.438358,1.0571802,-3.4972334,1.4339085,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,de56ddc5-57cd-4dcd-9162-8a101485e0c0,1635689827396,13.3963303,52.4802285,8.438358,-0.8430804,3.6113615,-3.7255425,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,4668dd30-5dc9-4693-87d3-c97ccaf0bc31,1635689827446,13.3963303,52.4802285,8.438358,0.35327375,-0.9765687,1.6394091,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,694f73e4-d76e-40a7-9c98-872fa988da31,1635689827511,13.3963303,52.4802285,8.438358,-1.142913,3.362452,1.4766312,on bike mount,cyclo cross,True,concrete plates,good
1a4a2dc0-d0e4-4c6a-947e-637fb1031c82,c391e56d-4cfb-497d-b4d5-3a0b89108749,fb606aed-35a1-46ae-8f3b-7b7685854ff8,1635689827562,13.3963303,52.4802285,8.438358,-2.4733238,2.7388,-1.9264932,on bike mount,cyclo cross,True,concrete plates,good
