bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,ba29dbb8-3a62-4844-95df-62e4291da0cb,1634557661678,13.4401042,52.4939589,4.112224,-0.269713,2.568769,-2.1162853,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,8124f96d-f82b-4e73-bcbe-67ac8d94134f,1634557661729,13.4401042,52.4939589,4.112224,-0.7958499,1.7867007,0.4124775,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,17f634d2-8181-45a8-8543-defa96d029a3,1634557661780,13.4401042,52.4939589,4.112224,1.9741423,1.1019516,-3.9472337,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,663afc0e-98b0-4900-8e5d-16b93e78e83f,1634557661846,13.4401042,52.4939589,4.112224,0.61268306,-2.705856,-0.6215105,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,5b0fbc36-e413-4396-8fde-42fc7db63c53,1634557661897,13.4401042,52.4939589,4.112224,0.66479903,0.24033737,-0.28709412,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,e2d4ac99-80db-4043-b7f8-7689cc2a321d,1634557661947,13.4401042,52.4939589,4.112224,-0.22618163,-0.84651613,0.87631893,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,9a5fd430-24a1-43b5-8510-cddbe2cd3945,1634557661997,13.4400515,52.4939292,4.1307244,1.1246737,-2.4716256,-0.3755045,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,12436fed-6419-4bae-94b4-a91169257d93,1634557662047,13.4400515,52.4939292,4.1307244,-0.75068676,-1.5052782,1.4506788,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,2fe72b33-b0e9-4b47-aa8a-a4103da70aa2,1634557662096,13.4400515,52.4939292,4.1307244,-0.31824857,-3.750598,4.352371,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,3c396d8f-017e-4637-a0ea-de5fc8e38903,1634557662146,13.4400515,52.4939292,4.1307244,0.5875089,-5.4639406,3.438138,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,ae8e97c1-65a5-43e7-b83a-96c464f19240,1634557662196,13.4400515,52.4939292,4.1307244,-0.30263665,-2.0874586,2.7045841,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,b4c24e4a-1529-4c9f-8acc-9954aa9d7f68,1634557662246,13.4400515,52.4939292,4.1307244,-0.36964178,-1.2386343,0.27761364,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,bcc88677-f5cd-4570-bc91-df7771a3e120,1634557662296,13.4400515,52.4939292,4.1307244,0.13190316,0.89842224,-0.0056381226,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,a7c2425e-37ea-4797-8f14-53ea3b7459f9,1634557662345,13.4400515,52.4939292,4.1307244,-0.0032273605,-1.6371713,-2.197679,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,8abd0d0c-b8d9-4044-b7ab-59740278bfa8,1634557662395,13.4400515,52.4939292,4.1307244,1.2557106,-0.56813073,1.2451382,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,22a7bdd9-513d-4319-b948-eb1cf4737a15,1634557662445,13.4400515,52.4939292,4.1307244,-0.71068573,0.7181139,-0.66909504,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,bad08b78-add8-4ca3-82be-31156280e09f,1634557662497,13.4400515,52.4939292,4.1307244,-0.3227892,1.7819569,1.4248457,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,0531e2f0-c708-4c7a-8956-7b732caa7f4d,1634557662563,13.4400515,52.4939292,4.1307244,-0.6830077,-2.7267485,0.47262,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,13932249-c3d1-47a7-a033-23b375511ae2,1634557662613,13.4400515,52.4939292,4.1307244,0.9732264,-1.1960692,0.5152111,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,701d7336-c842-416b-9bde-8c5fc5a296db,1634557662663,13.4400515,52.4939292,4.1307244,0.09837076,0.67177916,1.5413256,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,e9d1e040-4c38-40b6-88cf-0f288cac3b89,1634557662713,13.4400515,52.4939292,4.1307244,-0.7895347,2.6329026,-1.7860532,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,1b0cbe30-6edd-430d-9e01-9264263eac47,1634557662763,13.4400515,52.4939292,4.1307244,-0.52178276,-1.55531,1.8001003,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,8ddd8faf-7189-4670-b310-4ced930c3712,1634557662813,13.4400515,52.4939292,4.1307244,1.8333389,1.1660604,-0.2441225,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,eabaf843-31a4-449e-aedd-bef79d8fe505,1634557662864,13.4400515,52.4939292,4.1307244,-1.1083174,0.9326582,-2.3860974,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,79412670-42c4-4fea-be9c-54e068fc5f1f,1634557662913,13.4400515,52.4939292,4.1307244,-0.4512431,-1.3887795,0.58321476,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,42de4ed7-f386-4411-8b14-d859f3c291e7,1634557662963,13.4400003,52.4938936,4.1638947,1.2314872,0.9228871,-2.1502452,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,c42cab33-9112-45ef-bfaa-ff6539292724,1634557663014,13.4400003,52.4938936,4.1638947,0.09018056,-1.9991076,0.34139442,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,f6f50ba3-1631-4380-8f83-c29f71a7687f,1634557663064,13.4400003,52.4938936,4.1638947,-0.5558419,-0.9161613,0.7735224,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,137ed0d3-b2a2-47a5-916e-e59baabc6998,1634557663115,13.4400003,52.4938936,4.1638947,0.3400322,1.2275677,1.666007,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,fde5c9bc-82a3-47ba-90e7-198f040347ad,1634557663165,13.4400003,52.4938936,4.1638947,0.58060604,-0.9248295,0.9759445,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,a2acc31a-fcdc-4cb1-b05a-8ec2652f3adf,1634557663215,13.4400003,52.4938936,4.1638947,0.5578052,2.5396726,-3.5435052,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,1c52e707-e574-4b6a-85a9-2162bb66b02f,1634557663266,13.4400003,52.4938936,4.1638947,0.73065,1.4264741,1.2586489,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,d79fcb19-4dcb-4087-b9aa-ee9f27cd5dd8,1634557663315,13.4400003,52.4938936,4.1638947,0.3858332,0.8521972,-1.6209049,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,b4b458f2-9ec4-4617-9f06-242a106930c4,1634557663365,13.4400003,52.4938936,4.1638947,0.716727,1.5434008,-1.0471087,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,5144ae4f-adbc-4b8c-9a24-49c51307fd57,1634557663415,13.4400003,52.4938936,4.1638947,0.32639417,-1.6138641,-3.2478018,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,9d748d04-aaaf-496d-8dce-bb26b7491749,1634557663465,13.4400003,52.4938936,4.1638947,0.15194136,-0.48102164,-0.15843487,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,b49e8f2b-87ee-4e8d-9520-e00010c16912,1634557663515,13.4400003,52.4938936,4.1638947,-1.0300263,0.9317045,-0.005701065,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,884a15bb-e25a-40db-b99b-8ecdecd2f82b,1634557663566,13.4400003,52.4938936,4.1638947,0.115605175,-0.8116543,-0.76337624,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,400eb277-4105-4374-8c86-d276f7f28a4c,1634557663615,13.4400003,52.4938936,4.1638947,0.11476279,-0.5075929,-0.13636589,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,779cf932-42f1-43f3-9194-bdcd9cca10aa,1634557663667,13.4400003,52.4938936,4.1638947,-0.2690313,-0.40605903,0.69504166,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,4ee0a8f5-8c92-40ea-bfd6-38cd6f6c2b4a,1634557663733,13.4400003,52.4938936,4.1638947,-0.6324077,-2.1873078,2.6550608,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,601d6b3a-435d-4483-9777-34d6870659a9,1634557663782,13.4400003,52.4938936,4.1638947,0.435547,-0.5829406,-1.7090058,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,5fe0cf29-75fd-43db-9242-43a15364a06e,1634557663833,13.4400003,52.4938936,4.1638947,-0.46553665,0.9001534,-0.9886613,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,276b7411-6fa4-438a-8331-add8db2d62d1,1634557663883,13.4400003,52.4938936,4.1638947,-0.22804794,-1.1316688,-0.6032181,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,13952cd0-e15d-4b25-9a11-011aa28c0246,1634557663934,13.4400003,52.4938936,4.1638947,-0.42603502,-1.570665,2.4404993,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,23fd007c-bfaa-42f6-af7e-c089077f56be,1634557664001,13.4399497,52.4938539,4.200727,-0.048030555,-0.19395494,0.45975208,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,3b1c63cd-b52c-4bc4-9816-4913430c2261,1634557664051,13.4399497,52.4938539,4.200727,0.05220835,0.13717484,-1.4117522,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,bd3b7648-3a69-48ea-8fe9-8568370cf0f0,1634557664102,13.4399497,52.4938539,4.200727,0.5015217,0.4987707,2.2167044,on bike mount,cyclo cross,False,mixed,mixed
1b0c7018-d57b-4aa8-96f8-1e5daa18fc97,007b40be-1bf4-4de6-9d73-ba2ea7f5c9cb,d4422857-cb99-4f5f-addb-50973941a2aa,1634557664152,13.4399497,52.4938539,4.200727,-0.01652582,-0.4659772,-1.2441926,on bike mount,cyclo cross,False,mixed,mixed
