bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,1ebf3111-22ef-4cf8-bf41-1c7c2fefddf7,1627365382772,13.4176483,52.4930142,5.9964976,-1.7943046,0.14222574,-2.574592,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,e0f8f1dd-6ed8-430c-ba2f-d4f972512ab6,1627365382822,13.4176483,52.4930142,5.9964976,0.918205,10.6676235,-5.6326485,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,9fb5179c-661d-45be-a4dd-63dbecca2eb8,1627365382888,13.4176483,52.4930142,5.9964976,-0.5236805,-11.889284,-0.7412901,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,26ba1606-3a71-485b-94dd-6c1c00f2438f,1627365382939,13.4176483,52.4930142,5.9964976,-1.4728678,9.606609,-10.617651,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,47195aca-87c1-4a9a-aead-0867042fe2ac,1627365383005,13.4176483,52.4930142,5.9964976,4.364517,-15.618694,10.761406,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,e49e06d8-f0cf-4a40-bd27-177efef4a062,1627365383072,13.4176483,52.4930142,5.9964976,-5.963947,-3.5165632,-0.86181784,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,8ca05b46-13d2-4b88-8d72-c73c56a9fc6a,1627365383139,13.4176191,52.492962,5.796169,-0.110293865,7.9021015,-11.865092,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,22f3b705-66b7-45ef-9c91-294b1f0ca72e,1627365383189,13.4176191,52.492962,5.796169,2.324971,3.1823936,-7.3992987,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,663ceb09-8362-44cb-ae24-f8eddb3d327c,1627365383255,13.4176191,52.492962,5.796169,-0.9903131,3.0117583,6.443842,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,905dbcdf-7cdc-4ae6-8a4f-f824d714bc58,1627365383306,13.4176191,52.492962,5.796169,0.047441304,-23.636427,3.22046,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,928a08e9-93e0-462c-8e5b-b2a6eaa35fe5,1627365383372,13.4176191,52.492962,5.796169,-1.8014164,18.917158,-11.978655,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,9cc9f18f-2201-47b6-a6f4-cdd23ea570fb,1627365383439,13.4176191,52.492962,5.796169,2.3515306,16.550106,-20.824274,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,861523f0-3ff4-4a67-a1b8-2efd61578930,1627365383506,13.4176191,52.492962,5.796169,0.35302943,-17.140995,10.053124,on bike mount,cyclo cross,False,sett,intermediate
1b0e7618-3aea-48a5-a2be-f3e06599c750,bf6c7a94-7808-484e-b7df-840a25260e02,38150e13-c57c-40d2-ad22-3a732d01ff0b,1627365383556,13.4176191,52.492962,5.796169,-7.8286448,17.22816,1.4285812,on bike mount,cyclo cross,False,sett,intermediate
