bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,3a76da29-5532-4ef3-bdb6-bbe9e1f5b3a1,1633712122647,13.4176864,52.4930691,6.23575,-0.40305206,1.1571143,-15.514265,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,526ce099-7053-43f9-bdfa-912b78a59f76,1633712122697,13.4177374,52.4931265,6.4059677,6.697731,-21.959877,11.993717,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,e559a1e0-c89d-4050-918e-b51e2ab1cbf6,1633712122747,13.4177374,52.4931265,6.4059677,-2.9285238,0.16028547,15.934629,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,7464da5f-d028-4542-bcea-f244a491e9de,1633712122797,13.4177374,52.4931265,6.4059677,-2.2751076,-5.305275,16.249596,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,47b2a65e-bf0e-4fbc-860e-dc0eada7e888,1633712122866,13.4177374,52.4931265,6.4059677,1.9649252,14.839182,-8.911547,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,2cb083de-bc87-48d8-9a86-2df8883e3ba4,1633712122916,13.4177374,52.4931265,6.4059677,1.5759343,4.060156,1.3743229,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,e2e39327-007e-4773-ac78-0627ad8a3ef9,1633712122968,13.4177374,52.4931265,6.4059677,-2.1109443,-6.8677535,-8.344948,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,69ebb976-0f85-4b97-8544-444f249dc096,1633712123030,13.4177374,52.4931265,6.4059677,0.62701494,-21.290905,-2.1679993,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,6fe5fd6f-fbe2-4f79-ab91-646cbc9d50ee,1633712123083,13.4177374,52.4931265,6.4059677,-3.378103,4.679702,-1.9969087,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,4aba4dfa-0956-401d-a9f0-73ea4321118e,1633712123148,13.4177374,52.4931265,6.4059677,2.0708537,-13.844706,6.2948008,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,4be3e49d-4636-4cf6-88d3-93476ce24157,1633712123198,13.4177374,52.4931265,6.4059677,-0.97194123,1.6223364,-13.093794,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,c6e59da4-0f5e-4202-b433-99e8183e498b,1633712123250,13.4177374,52.4931265,6.4059677,2.0132427,-4.644969,10.357877,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,de4b7c5e-e2e9-4a7e-90d5-f33f6f9a6268,60bbf511-8f5f-430e-a957-d5e6212b4e84,1633712123301,13.4177374,52.4931265,6.4059677,1.4184295,-9.55192,-2.4830694,on bike mount,cyclo cross,True,sett,intermediate
