bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,85730b1e-3372-4c51-b6d6-f276e9795e81,1626969595298,13.652688,52.4632409,8.559832,2.249094,-0.47992206,-0.13127327,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,90c4a067-63cd-4c80-88f6-14eb397ad119,1626969595349,13.652688,52.4632409,8.559832,-1.1720074,1.5141106,-2.3277516,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,4a17cddd-7dbd-41f4-9db0-20ac009c1b0c,1626969595400,13.652688,52.4632409,8.559832,1.7237267,1.8375199,-11.717433,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,750822cf-3a45-4e45-a1e6-a6f417f317b1,1626969595450,13.652688,52.4632409,8.559832,-0.9501198,0.012634389,4.910261,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,473c0836-ac07-46f3-a4e3-52be8cf10a27,1626969595502,13.652688,52.4632409,8.559832,-0.63914704,-4.483066,-5.236564,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,77716287-173b-41ad-ba1a-6eb317ee80a6,1626969595553,13.652688,52.4632409,8.559832,0.677932,-1.4631193,-3.560123,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,f912d1a0-1d71-41da-a5e8-35b3f6e28c21,1626969595604,13.652688,52.4632409,8.559832,0.2921834,-2.7815232,-2.38444,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,cc137abb-b2ca-45c4-b1d2-2c8deee7722c,1626969595654,13.652688,52.4632409,8.559832,-2.0637035,-4.371966,-1.9337521,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,8d2e5432-b0a7-4e60-8c95-dcd59e2cca71,1626969595705,13.652688,52.4632409,8.559832,2.0011969,-2.9640737,-1.5875301,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,9e3cdabd-75bc-40ee-bc71-6ad70897058b,1626969595756,13.652688,52.4632409,8.559832,-3.5446014,4.1384544,-1.0057373,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,38721334-7b71-4e8e-97c1-7754ed84f6f4,1626969595807,13.652688,52.4632409,8.559832,-2.0047894,-2.9046435,-0.9648552,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,28fde47e-feb6-4094-ac18-d04c80b2a9cb,1626969595858,13.652688,52.4632409,8.559832,0.42036963,0.053967208,-1.427558,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,38a5aba3-c7ff-4e50-9b55-22cfa41bc854,1626969595908,13.652688,52.4632409,8.559832,-1.7536663,2.8190975,2.9341574,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,52669503-abbb-4f0f-a44b-511eb89e540e,1626969595959,13.652688,52.4632409,8.559832,0.32020843,-1.9277608,-2.9976864,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,d2d7fdf5-ebdc-489f-b623-1bbbe5153334,1626969596009,13.652688,52.4632409,8.559832,2.257076,-0.16162267,2.4893208,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,b8312470-c789-4906-a348-5e3411af164e,1626969596059,13.652688,52.4632409,8.559832,-3.8739216,0.8280386,2.9850855,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,cc3f8db2-97ad-4093-8ced-2ccb01089e83,1626969596110,13.652688,52.4632409,8.559832,0.119624734,-2.342715,-4.8660254,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,990125e9-4d82-420c-9403-0a5c6fcd877f,1626969596161,13.6525679,52.4632114,8.431102,1.1671698,2.341904,2.0261793,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,56debc6b-7003-4f00-9848-967032599342,1626969596211,13.6525679,52.4632114,8.431102,-4.31833,0.33434838,0.09969139,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,a877aec5-d8af-4f40-bb81-872f218e0985,1626969596261,13.6525679,52.4632114,8.431102,1.3684027,2.2898116,1.3929081,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,10653355-5570-495b-b0c8-3d90ad53b517,1626969596311,13.6525679,52.4632114,8.431102,-2.797364,2.864883,4.794321,on bike mount,road bicycle,False,concrete,good
1d463c4d-566f-4179-9835-efbc4d09405a,987193c9-131b-4e6d-a2d1-390ecf6ad6fa,a100525f-7c41-4c98-87ea-82b84f398899,1626969596363,13.6525679,52.4632114,8.431102,-0.6605829,-2.8997898,-1.5330591,on bike mount,road bicycle,False,concrete,good
