bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,45c7aa09-f0a2-406b-8964-dcf1b59e30e9,1633859849262,13.4332413,52.494716,5.854051,-0.41485536,-3.935369,-9.386266,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,f1ccd3bf-e73f-4604-8a47-c6b0001077a3,1633859849312,13.4332413,52.494716,5.854051,-3.439872,-1.9999416,10.060465,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,4cde5781-91b1-47ee-89ba-dcc19fe593f9,1633859849363,13.4332413,52.494716,5.854051,-1.447649,0.46982527,-13.207283,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,57eed9ce-29e1-4cb6-add2-17b7c1e0f837,1633859849430,13.4332413,52.494716,5.854051,-2.059255,12.978948,-13.533418,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,3f403b8a-4660-4314-b84c-277cea67bfde,1633859849480,13.4332413,52.494716,5.854051,1.3118097,3.9802833,-9.169185,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,d07617e7-a89d-40fd-b9cf-b7d9609bb034,1633859849546,13.4332413,52.494716,5.854051,-2.7509265,7.8217535,-2.9905767,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,e7fdbcf9-ab5f-4763-b1eb-35b36a06584f,1633859849596,13.4332413,52.494716,5.854051,-3.5995889,2.975007,-1.260149,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,a28b6580-8a91-40d1-9647-e8a38aadf996,1633859849647,13.4332413,52.494716,5.854051,4.9164257,17.59488,-20.608858,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,b908aaf5-8765-4baa-880d-35f3bae235c7,1633859849713,13.4332413,52.494716,5.854051,-4.149253,9.506733,16.6184,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,ee64b169-6317-4f0a-a499-8e364f1e4558,1633859849763,13.4332413,52.494716,5.854051,1.8873489,4.0185127,-19.742748,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,674c512e-4f06-4dc1-90cf-fc886e874a02,1633859849814,13.4332413,52.494716,5.854051,5.5330377,-29.646454,2.3146152,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,98d358ea-f2b6-4b74-847a-9dd80b45f73a,1633859849864,13.4332413,52.494716,5.854051,5.980785,19.498003,22.651867,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,fbd35580-37e8-4dbe-82c0-0a4f29b5167c,1633859849913,13.4333154,52.4946884,6.2872357,0.6493689,-14.803763,-14.602639,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,64cfe48c-9f67-49f6-9cea-7dc914691433,1633859849964,13.4333154,52.4946884,6.2872357,0.020790897,2.2715483,18.669683,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,cbc6df07-38b0-4bad-accb-5080d7c9bf2a,1633859850014,13.4333154,52.4946884,6.2872357,2.5880053,-1.4059114,32.17171,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,4ec69bc4-7c74-467d-a1a6-ad3f408e32bc,1633859850081,13.4333154,52.4946884,6.2872357,-2.6982348,28.794744,-3.8346157,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,eeea6e3b-4bfc-4096-a6f2-0b4fe03b31d7,1633859850148,13.4333154,52.4946884,6.2872357,-2.3892455,16.836288,-5.8806396,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,6f2e9673-02eb-4d94-9b01-70c06a76d721,1633859850198,13.4333154,52.4946884,6.2872357,-0.23433658,6.834524,7.5461864,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,c1b96271-598b-4271-b532-a2017e9a1332,1633859850264,13.4333154,52.4946884,6.2872357,2.6462038,-7.071783,15.131752,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,c6c19bcd-274e-4947-a5df-fd56bd3d6bee,1633859850315,13.4333154,52.4946884,6.2872357,0.43749052,-13.034817,10.359653,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,b8e6b379-570e-45a5-808a-a7291e8a788b,1633859850381,13.4333154,52.4946884,6.2872357,-4.046802,-16.549128,18.53738,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,a2f137ac-f664-4808-bef3-aba2422c28bb,1633859850431,13.4333154,52.4946884,6.2872357,4.713167,1.0167027,-2.005414,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,03e86180-9ab8-452b-938e-959d366a3ae8,1633859850482,13.4333154,52.4946884,6.2872357,1.3345729,8.325438,-3.2666593,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,51fb61db-3cf9-40f6-824f-2befe8f6920c,1633859850532,13.4333154,52.4946884,6.2872357,-2.7625685,18.308016,-17.079563,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,7e38b66e-1a18-4e5c-9419-aaafd5b1e364,1633859850598,13.4333154,52.4946884,6.2872357,1.4198623,7.296799,-13.45473,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,1e14a420-e552-4fee-80ef-e62d4bd5d6cf,1633859850649,13.4333154,52.4946884,6.2872357,5.8294544,-2.934227,-13.3538885,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,cbd08b0b-621e-4815-8d65-91903dfe9907,1633859850715,13.4333154,52.4946884,6.2872357,4.6393175,-6.3195453,-11.709662,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,e0df136a-d4b1-4860-9422-4038962babe4,2f5ce30e-9594-4e2c-852f-7cd346404735,1633859850766,13.4333154,52.4946884,6.2872357,0.8502923,3.8385181,9.017921,on bike mount,cyclo cross,True,sett,intermediate
