bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,4b0da401-ff9d-4f44-8127-c12185a57117,1633161817706,13.8573866,52.3978179,7.3969827,-0.49989098,-0.34496236,0.21167564,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,050162ed-c4e9-4a99-b4e5-d9c47cc4a3b2,1633161817755,13.8574959,52.3978453,7.4138184,2.166496,-0.67317414,2.3084307,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,281da08a-8d11-4660-82f6-7f62be5b392a,1633161817806,13.8574959,52.3978453,7.4138184,-0.18773884,2.386939,-5.579464,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,e0d7e5f4-2fbc-429d-a753-1547a2aeb32f,1633161818650,13.8574959,52.3978453,7.4138184,-0.18773884,2.386939,-5.579464,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,320332bd-789e-400a-9c18-2a888dd68d7a,1633161818699,13.8574959,52.3978453,7.4138184,1.8441632,-2.3067508,-0.8361721,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,b37e8f48-bc61-47d3-be46-09631ef5bff5,1633161818749,13.8576026,52.3978661,7.4074817,0.6185648,-0.6832788,0.35592556,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,f0f52191-f45d-41a2-abf7-6669d3e1d07b,1633161819648,13.8576026,52.3978661,7.4074817,0.6559898,0.7423203,0.6168871,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,b309f1ca-e751-43e5-8781-1bf807a0584d,1633161819701,13.8576026,52.3978661,7.4074817,-1.8388256,0.3554752,1.0241041,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,a6ad9685-b90d-4b76-a901-f266275a39da,1633161819752,13.8577107,52.397888,7.413243,-0.6791453,-0.43648767,-0.6185837,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,6448936a-da4b-44db-b993-076a2193f955,1633161819802,13.8577107,52.397888,7.413243,0.07476127,-0.3778615,-1.233357,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,d0d2b484-454e-4ef4-919f-9d9f66ffa635,1633161820647,13.8577107,52.397888,7.413243,0.07476127,-0.3778615,-1.233357,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,39ea2e85-acda-438e-bb98-6b883f8f4fa7,1633161820696,13.8577107,52.397888,7.413243,0.5929935,0.4278686,-1.553163,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,1c383c1f-6482-45e9-99d9-15d6361e4513,1633161820746,13.8578218,52.3979082,7.447631,0.8731882,-0.73021793,1.2956676,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,b31e32bc-448b-4af1-9f17-d83d60d55ac3,1633161820796,13.8578218,52.3979082,7.447631,-0.25006786,3.322925,-1.7575812,on bike mount,cyclo cross,True,asphalt,excellent
23ac90d7-210b-4f01-8724-7b78e5d11963,9f5263a0-607e-4485-b76c-e438f8dce7c4,e4fcd202-6b17-4bf7-b277-c0ce864a9857,1633161821652,13.8578218,52.3979082,7.447631,-0.25006786,3.322925,-1.7575812,on bike mount,cyclo cross,True,asphalt,excellent
