bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,81a183f5-e563-45c5-b2bf-dadd70ba8681,1634143809972,13.4067707,52.4725369,6.4999595,-0.6548975,-2.4235432,7.2276564,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,7870af9e-2bc6-478f-9a67-ed7968d7a93d,1634143810023,13.4067707,52.4725369,6.4999595,1.1239461,8.867332,-7.429336,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,4f48cd41-e016-426e-8176-49bccafa443f,1634143810088,13.4067707,52.4725369,6.4999595,-0.32223278,-2.0958471,-9.576572,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,31054f2b-43b5-4381-8612-b5ef646df48d,1634143810139,13.4067707,52.4725369,6.4999595,-0.034023434,6.2897024,2.2521658,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,22f495b0-c75c-4c87-9548-e46cb4be4d04,1634143810205,13.4067707,52.4725369,6.4999595,-1.3267714,4.274758,0.55229664,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,67a904d8-df05-416a-a40b-74f4c660b786,1634143810256,13.4067707,52.4725369,6.4999595,0.9717303,-2.3447547,-4.3510523,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,0ae9d14a-9689-4d76-a05b-5055c8fab43e,1634143810306,13.4067707,52.4725369,6.4999595,0.4231637,2.1692717,-1.6384802,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,970c96c2-26f2-47bd-8134-8dc45b6db7a5,1634143810357,13.4067707,52.4725369,6.4999595,-2.294251,-0.14564657,3.5672035,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,6be65bd0-ac41-4e0c-8e7f-190eb0f70fe7,1634143810406,13.4067707,52.4725369,6.4999595,0.19099352,-3.8318467,-2.7451344,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,5d17b8b6-5ed9-4030-bad7-7ce0d7167675,1634143810457,13.4067707,52.4725369,6.4999595,0.53616196,1.8968596,-0.51825714,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,2293a608-80d3-4f94-9dae-7b842bc72976,1634143810507,13.4068662,52.47254,6.6398664,-0.43227264,0.94462085,8.700451,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,a4231e04-ed4b-4303-a3ed-cb1a6e5dd5cc,1634143810556,13.4068662,52.47254,6.6398664,0.12456649,2.600277,-2.4935975,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,550c8d91-30f5-4d27-ac03-ba747dd98d99,1634143810607,13.4068662,52.47254,6.6398664,-0.20610532,-0.1106627,0.17345619,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,d0150d9b-c9e5-4f1f-8030-d6dee78a0537,1634143810658,13.4068662,52.47254,6.6398664,2.755553,1.9049997,0.50175285,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,b2dfb1ef-10ab-43ae-97b4-806eb5382831,1634143810709,13.4068662,52.47254,6.6398664,-0.6093056,-5.230877,-1.5150189,on bike mount,cyclo cross,True,paving stones,good
