bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,bc200ace-91ab-43f7-8d01-0334dd371ba9,1634109036539,13.4174327,52.4926068,5.6197424,-8.523408,12.015835,-2.8791254,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,3c3c8287-b015-46fb-92d5-93267540729c,1634109036589,13.4174327,52.4926068,5.6197424,4.4327126,-13.779833,7.9572077,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,88cd69f6-0f52-4c8c-ac93-241b44008130,1634109036639,13.4174327,52.4926068,5.6197424,-0.683932,4.978098,-10.326896,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,59869e3b-a34d-4678-b988-bdd6f2e64eab,1634109036690,13.4174327,52.4926068,5.6197424,-1.2201998,14.372239,-18.499317,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,c2d6e668-7047-4653-88b4-e3bc3016168e,1634109036740,13.4174327,52.4926068,5.6197424,-1.3988518,-4.359639,16.846893,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,21429d16-7275-4712-a060-2908bbfb854d,1634109036790,13.4174327,52.4926068,5.6197424,-0.93696105,-10.534755,-9.910331,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,f68e76a6-8192-44bd-afbd-3fd65dc47c56,1634109036840,13.4174327,52.4926068,5.6197424,-0.18859613,5.341218,6.337736,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,80ef07eb-2324-40f0-b64e-e092745c3b05,1634109036890,13.4174327,52.4926068,5.6197424,-4.802311,-8.627021,4.563835,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,98c73833-6c8a-499e-8d99-794ecb947586,1634109036940,13.4174327,52.4926068,5.6197424,5.9192443,-37.499306,56.107483,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,538ac249-1ee1-4a9e-8728-1fd9b63efdde,1634109036991,13.4174327,52.4926068,5.6197424,2.4198787,-8.217074,-14.938372,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,11341e36-bd28-422f-b81f-60372c897848,1634109037042,13.4174327,52.4926068,5.6197424,-1.7548892,-8.775053,7.618685,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,50f46dd0-234f-47fc-bb80-c53c46f6c1e6,1634109037092,13.4174327,52.4926068,5.6197424,1.4972664,9.076958,-12.849713,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,38875b6a-aee3-4bc5-86a1-91ed8faf2bcc,1634109037158,13.4174327,52.4926068,5.6197424,-8.278886,-17.031403,2.0123043,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,ccbec1ba-60ea-49eb-b923-4c3f9c266586,1634109037208,13.4174327,52.4926068,5.6197424,4.3086405,-6.1459885,7.312439,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,74c219d2-2758-4993-82c2-dd7b80ba1cf5,1634109037258,13.4174327,52.4926068,5.6197424,0.8819048,7.9094515,-0.9133725,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,63f812b8-b58b-4ed1-b380-395d1c72d90f,1634109037308,13.4174327,52.4926068,5.6197424,0.08984649,12.643982,-7.442801,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,bdc76bae-5234-4379-ae91-4ee48125c279,1634109037359,13.4174327,52.4926068,5.6197424,-3.310933,4.1949186,5.1432543,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,94909b13-ead3-4f80-bfd8-9622c56119cc,1634109037409,13.4174327,52.4926068,5.6197424,-5.462252,-5.9469814,-0.29752445,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,72d14a49-5990-44c8-8931-585deabde2a0,1634109037475,13.4174093,52.4925562,5.8269277,-1.1114435,22.589293,-3.3789506,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,162fbeb8-4924-4c2e-ba82-ed7cb49d374a,1634109037524,13.4174093,52.4925562,5.8269277,6.3520107,10.380539,7.9598093,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,b3f34d31-5018-4c0c-8de5-0ec0d0386a11,1634109037574,13.4174093,52.4925562,5.8269277,-0.8677107,5.235178,-1.3433456,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,cc164ec9-1387-47af-9681-47720a2ab538,1634109037624,13.4174093,52.4925562,5.8269277,1.4562788,0.09650326,-12.306362,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,35244c76-78fd-41b2-8a5c-0d324db5d732,1634109037674,13.4174093,52.4925562,5.8269277,-4.0652943,-3.703358,4.7578516,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,e879d326-3255-45a6-8b36-08f8a70af51c,1634109037725,13.4174093,52.4925562,5.8269277,-0.4137156,-0.13468552,1.9728537,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,aaebc6e6-283e-4606-8254-c3e8727af0c3,1634109037776,13.4174093,52.4925562,5.8269277,-0.640079,-1.2204013,2.554595,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,0559afc6-9984-4290-b83c-52c9b62750cb,1634109037826,13.4174093,52.4925562,5.8269277,-3.8910754,-7.3931413,7.914748,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,e7db40e5-42d8-48d6-9a61-2cbe8b12ba7d,1634109037877,13.4174093,52.4925562,5.8269277,0.48631275,-0.44647622,-1.7865949,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,f082f923-c62c-46b8-ac78-433d4c187aab,1634109037941,13.4174093,52.4925562,5.8269277,-0.84349334,7.467269,-10.993187,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,803f2eac-5aae-429e-86ba-ffd75813a420,1634109037992,13.4174093,52.4925562,5.8269277,-1.11377,-5.852418,-5.000819,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,e39e691a-d1d9-4dc4-89d0-0bd8f9525e28,1634109038042,13.4174093,52.4925562,5.8269277,0.48319244,-22.63829,8.931739,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,ee33dff7-178a-4a88-86da-1efdaec7b0e3,1634109038092,13.4174093,52.4925562,5.8269277,-5.788041,10.134121,-6.5169525,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,a3f2e496-d623-4b20-a135-300889569c4c,1634109038142,13.4174093,52.4925562,5.8269277,-4.177946,3.8624187,-5.3093753,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,beecdf22-5a76-47f8-a67a-87f43de29450,1634109038192,13.4174093,52.4925562,5.8269277,1.7196866,9.187526,-8.1195755,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,a1eee183-de56-4797-860a-47341958ff83,1634109038242,13.4174093,52.4925562,5.8269277,-1.2153702,-9.116039,10.016237,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,18143c23-a1c7-4c80-b7e6-8a6beafdb5a4,1634109038292,13.4174093,52.4925562,5.8269277,2.6358209,-0.71394587,-1.9673414,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,742cd453-5cc0-4b8b-b5c6-d515927ae144,1634109038342,13.4174093,52.4925562,5.8269277,1.8408704,-1.6350532,3.4337225,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,0f67b551-c38f-4ef5-96af-41c8860e61f2,1634109038392,13.4174093,52.4925562,5.8269277,-3.3643022,-15.760883,-0.32000923,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,9a1a2d1f-3970-41e9-a021-add96fe01a93,1634109038444,13.4173888,52.4925069,5.4594846,6.1097755,-19.441874,7.5157185,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,4128f19a-938a-4684-a9f0-ae0fa314cc6e,1634109038494,13.4173888,52.4925069,5.4594846,4.179102,-26.121033,11.313644,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,b07be1fb-f52c-4514-925e-5ce0f94518eb,1634109038544,13.4173888,52.4925069,5.4594846,3.1158981,-4.2207103,10.833234,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,3cead522-154f-4845-825c-0c859a82f771,1634109038595,13.4173888,52.4925069,5.4594846,5.2597337,13.419832,-6.0116115,on bike mount,cyclo cross,True,sett,intermediate
2a5edcc2-b1a2-420e-a2bd-929fee481bc8,ca549af0-c2e8-47b2-bdc0-d7f3edac62f5,96781101-ef30-4d32-9cb4-2dc733b999e3,1634109038645,13.4173888,52.4925069,5.4594846,-0.15268953,-6.6638956,8.333379,on bike mount,cyclo cross,True,sett,intermediate
