bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
2dd9a840-144f-4743-a408-20c9b4ef01da,7cfe971a-802c-48fa-8a41-95185512cf6d,0ac95b61-509d-4163-8cf1-802366e94647,1633162776928,0.0,0.0,0.0,-1.7937343,0.28870308,3.5351515,on bike mount,cyclo cross,False,asphalt,good
2dd9a840-144f-4743-a408-20c9b4ef01da,7cfe971a-802c-48fa-8a41-95185512cf6d,c3335068-3a18-4fc5-a9db-3ef54c107178,1633162776985,13.9491083,52.3885158,7.0215845,0.6290144,-2.1670065,5.0183125,on bike mount,cyclo cross,False,asphalt,good
2dd9a840-144f-4743-a408-20c9b4ef01da,7cfe971a-802c-48fa-8a41-95185512cf6d,c05a6ff9-8caf-4a42-bcf1-0a3ed25da89f,1633162777034,13.9491083,52.3885158,7.0215845,2.7399147,-2.4378502,1.7552872,on bike mount,cyclo cross,False,asphalt,good
2dd9a840-144f-4743-a408-20c9b4ef01da,7cfe971a-802c-48fa-8a41-95185512cf6d,4812a5e9-40ec-4c19-858d-5a0bf6c17076,1633162777085,13.9491083,52.3885158,7.0215845,3.830849,1.9503808,-2.9169116,on bike mount,cyclo cross,False,asphalt,good
2dd9a840-144f-4743-a408-20c9b4ef01da,7cfe971a-802c-48fa-8a41-95185512cf6d,3341d1f8-3a6d-4a78-9771-f5a1cb71074f,1633162777134,13.9491083,52.3885158,7.0215845,-0.22597349,-4.221711,0.043465614,on bike mount,cyclo cross,False,asphalt,good
2dd9a840-144f-4743-a408-20c9b4ef01da,7cfe971a-802c-48fa-8a41-95185512cf6d,639fedd7-1de2-4f58-9d0b-0cb288be8110,1633162777183,13.9491083,52.3885158,7.0215845,-1.9033215,-9.443407,4.5087004,on bike mount,cyclo cross,False,asphalt,good
2dd9a840-144f-4743-a408-20c9b4ef01da,7cfe971a-802c-48fa-8a41-95185512cf6d,f31cce9c-1fe9-43d4-b94d-c8c2e166e4f0,1633162777234,13.9491083,52.3885158,7.0215845,0.6495912,-1.4806466,5.2946386,on bike mount,cyclo cross,False,asphalt,good
2dd9a840-144f-4743-a408-20c9b4ef01da,7cfe971a-802c-48fa-8a41-95185512cf6d,373d41a5-1145-465a-89cb-440aa15aa172,1633162777282,13.9491083,52.3885158,7.0215845,2.4062538,-0.8849735,5.538023,on bike mount,cyclo cross,False,asphalt,good
2dd9a840-144f-4743-a408-20c9b4ef01da,7cfe971a-802c-48fa-8a41-95185512cf6d,624156c6-4f5f-4e0e-88b1-a5ad722981df,1633162777331,13.9491083,52.3885158,7.0215845,-1.0751102,-3.0121977,5.6090755,on bike mount,cyclo cross,False,asphalt,good
2dd9a840-144f-4743-a408-20c9b4ef01da,7cfe971a-802c-48fa-8a41-95185512cf6d,ac8443c7-c9f5-4920-a481-8ad46ea929d5,1633162777382,13.9491083,52.3885158,7.0215845,-2.104825,2.8280392,1.143816,on bike mount,cyclo cross,False,asphalt,good
