bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
2fa212f8-f3a2-471d-81ac-5feeeb675448,cc33a519-2ccd-49f3-bb57-025703259e06,529c934b-c757-486a-9890-f7454d9df19f,1644075823193,13.4319742,52.492891,3.1496758,0.7598841,-5.2747517,3.6662617,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,cc33a519-2ccd-49f3-bb57-025703259e06,a93b2fd0-d63c-4a93-8da8-bf970c522cf6,1644075823248,13.4319742,52.492891,3.1496758,2.7153056,9.903701,-7.8398027,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,cc33a519-2ccd-49f3-bb57-025703259e06,a8288b54-18c0-4ed4-86d7-94e341c1e2a4,1644075823305,13.4319742,52.492891,3.1496758,-2.173505,-7.7462935,6.00095,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,cc33a519-2ccd-49f3-bb57-025703259e06,c3d742bb-7106-43e6-b2ab-2e3d4a4800c4,1644075823358,13.4319742,52.492891,3.1496758,0.682124,-8.007761,3.029354,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,cc33a519-2ccd-49f3-bb57-025703259e06,dcc43579-52bd-4586-9e93-b05d8ae094f0,1644075823415,13.4319742,52.492891,3.1496758,-0.14904949,3.4105887,-3.8339586,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,cc33a519-2ccd-49f3-bb57-025703259e06,890309e9-a71b-488a-8115-5257eb515974,1644075823470,13.4319742,52.492891,3.1496758,-0.15815246,-1.3319869,-3.9752202,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,cc33a519-2ccd-49f3-bb57-025703259e06,ce7dfe12-183e-49d2-b9f4-54f2faa4676e,1644075823527,13.4320479,52.4928839,3.095911,1.4673681,-5.149098,6.085593,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,cc33a519-2ccd-49f3-bb57-025703259e06,eca1ff81-37ef-45b7-bec4-6386e65a0aab,1644075823581,13.4320479,52.4928839,3.095911,1.2753443,1.1129742,-4.4473543,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,cc33a519-2ccd-49f3-bb57-025703259e06,f1507a98-33ea-4c83-882b-98ada12c5bdb,1644075823637,13.4320479,52.4928839,3.095911,1.2396001,0.14489627,-2.1374893,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,cc33a519-2ccd-49f3-bb57-025703259e06,75c2705c-2a94-4570-ba8f-69aaf78899c7,1644075823692,13.4320479,52.4928839,3.095911,1.053396,5.021364,-3.2427754,on bike mount,cyclo cross,True,sett,intermediate
