bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,6da5b643-3d3d-4280-a3a6-5f13e3cae025,1633624580674,13.4138326,52.4767269,6.950225,-0.80257297,-0.66231275,0.11711216,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,65162aa4-67f8-4a2b-87f0-c85b11affb68,1633624580724,13.4138326,52.4767269,6.950225,0.5126537,-0.80593395,-0.9229574,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,3b9c3e20-8517-42db-bcf9-5d5798667dff,1633624580790,13.4138326,52.4767269,6.950225,0.00296551,-0.9069991,0.2572508,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,14aa92e7-d5f0-4e31-9f81-9b77ec28d4be,1633624580841,13.4138326,52.4767269,6.950225,-1.1238452,0.4516821,-2.1739902,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,2ad5bb26-bc41-44e2-979c-cf7b7b2ef800,1633624580906,13.4138326,52.4767269,6.950225,0.9746524,1.8303897,-0.89839077,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,8578c9a3-1a33-4c3b-928b-9d8055ae252f,1633624580957,13.4138326,52.4767269,6.950225,0.2697551,1.2200556,-0.79744625,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,ed66a9a3-3983-4c84-a209-7c6c3ced75dc,1633624581007,13.4138326,52.4767269,6.950225,-0.1807475,-6.380254,4.1856565,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,41481b6c-91d9-44d9-9d73-1fadd8a4af9a,1633624581057,13.4138326,52.4767269,6.950225,-0.3021833,1.5519767,-3.9360065,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,066ceec7-b8e3-4785-8d87-f1b5ce7242a8,1633624581108,13.4138326,52.4767269,6.950225,0.11643933,-4.178486,2.5301952,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,3eccfff7-35f4-4d00-b4f3-22f7f424c3b9,1633624581158,13.4138326,52.4767269,6.950225,-0.008863255,0.13255358,-0.30079842,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,5bcb51f9-b6ba-4e09-9a45-e1fa8e31b856,1633624581209,13.4138326,52.4767269,6.950225,-0.4311527,-2.385753,-3.4754505,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,282c4123-e01d-4d54-adc2-747a471cb343,1633624581275,13.4138326,52.4767269,6.950225,-0.7213823,-1.1856623,5.909543,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,32ef920f-c37c-4d59-8159-e6469ebcfd62,dd2f38d4-939c-4a3e-970e-0c0f1b755dfd,1633624581325,13.4138326,52.4767269,6.950225,-0.9011885,-1.7296216,-0.793705,on bike mount,cyclo cross,True,concrete plates,good
