bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,2166e813-4ad1-401f-836a-a87beffe6e21,1633098922190,13.4278857,52.4963288,6.1183944,-2.890497,-0.81103015,-2.3668451,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,f5055cc0-1dc9-4044-a78b-6dd1f0f8e0dd,1633098922240,13.4278857,52.4963288,6.1183944,-1.5013105,11.55865,-15.306103,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,b12183eb-1b7b-424f-8309-611c38b38859,1633098922291,13.4278857,52.4963288,6.1183944,2.2179015,3.2728405,-6.119814,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,5b5e5cdc-06b2-4eff-b0fd-8e111dcda8a6,1633098922341,13.4278857,52.4963288,6.1183944,-0.080724165,-5.3860526,-1.0152249,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,592a57b7-ec1d-4e27-9940-802e08ebaf5e,1633098922391,13.4278857,52.4963288,6.1183944,3.1525264,3.2427983,18.902555,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,a389cdfc-750b-45cd-8b37-bf1f5a07614e,1633098922441,13.4278857,52.4963288,6.1183944,0.108421564,13.263136,10.623341,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,95cb01c2-8d79-417d-b488-6539ca7d2255,1633098922508,13.4278857,52.4963288,6.1183944,11.232533,-8.578798,-10.941972,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,41c3b4dc-1a21-4819-94ed-cb5e369735b5,1633098922558,13.42797,52.4962942,6.3264875,-1.0686749,9.952791,-4.3224807,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,1e61c95d-8e7e-46f7-b30f-708bc8a283b4,1633098922608,13.42797,52.4962942,6.3264875,-0.22307488,-11.631604,5.4579277,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,c42fafe4-e010-4fd2-84a6-f99eb9a1be87,1633098922658,13.42797,52.4962942,6.3264875,-3.2243295,-0.41593266,14.406784,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,32d49dc3-ca4d-4e6f-9a71-feb021eef722,0ea21ea8-607d-4e21-8cdf-764b684528c6,1633098922708,13.42797,52.4962942,6.3264875,0.8814197,-8.479731,15.538412,on bike mount,cyclo cross,True,sett,intermediate
