bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,ad7c36f4-d54e-42e8-802e-c7898bacd08c,1665adec-b447-407d-a1bf-5c3a36ff7136,1633168348726,14.2709807,52.2970079,7.021055,-0.6518808,1.5411835,0.90702057,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,ad7c36f4-d54e-42e8-802e-c7898bacd08c,dcd087cc-456f-49c3-ad9e-3dd4b59b4783,1633168348776,14.2709807,52.2970079,7.021055,0.6099301,0.09337616,-0.7058797,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,ad7c36f4-d54e-42e8-802e-c7898bacd08c,c5160097-8cc1-4137-9d63-43e8646e3819,1633168348827,14.2709807,52.2970079,7.021055,-1.3614342,1.1376703,0.8180933,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,ad7c36f4-d54e-42e8-802e-c7898bacd08c,213cab02-d806-4b3d-a8b2-7a3dbbf20768,1633168348893,14.2709807,52.2970079,7.021055,-0.6902513,-1.9020092,1.7145109,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,ad7c36f4-d54e-42e8-802e-c7898bacd08c,4b541e25-897a-43cc-b6ae-70592cb72a4e,1633168348946,14.2709807,52.2970079,7.021055,0.13402578,-0.094890356,-0.12250137,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,ad7c36f4-d54e-42e8-802e-c7898bacd08c,48ee0b4a-b2b9-4895-9636-2609696bfed4,1633168349010,14.271081,52.297028,6.9952636,-0.8759176,-1.1659287,2.0295372,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,ad7c36f4-d54e-42e8-802e-c7898bacd08c,ba3b9797-94d6-4361-9e2f-2f235f74c6f3,1633168349060,14.271081,52.297028,6.9952636,-0.5873266,0.21968007,-2.067216,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,ad7c36f4-d54e-42e8-802e-c7898bacd08c,836fbec5-fed8-4fae-9411-34cb9a0b9004,1633168349110,14.271081,52.297028,6.9952636,0.9983283,0.54633594,-1.2514262,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,ad7c36f4-d54e-42e8-802e-c7898bacd08c,22d35bc7-9aaa-4f96-87d9-a89c362fb857,1633168349160,14.271081,52.297028,6.9952636,0.68325263,-1.013857,-0.6100588,on bike mount,cyclo cross,True,asphalt,excellent
40b1faa6-1ba9-4218-b2b9-0e4979a6b88a,ad7c36f4-d54e-42e8-802e-c7898bacd08c,3e0e5c89-33ef-4b17-aee4-624c091efa32,1633168349226,14.271081,52.297028,6.9952636,0.25592232,0.8364825,-4.1921883,on bike mount,cyclo cross,True,asphalt,excellent
