bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
435ed585-a5af-4478-b250-df7187c001e1,3658fc07-d97f-44e8-ba96-21ac26d652bc,d8802784-ef67-4b83-a5db-89056575be49,1633254020010,14.5180178,52.1554294,9.119625,0.81999445,-0.42543435,1.2536526,on bike mount,cyclo cross,True,asphalt,excellent
435ed585-a5af-4478-b250-df7187c001e1,3658fc07-d97f-44e8-ba96-21ac26d652bc,3b6279ff-2b08-467b-9094-6ef280931d93,1633254020099,14.5180178,52.1554294,9.119625,-0.09492121,1.4184701,-2.9437132,on bike mount,cyclo cross,True,asphalt,excellent
435ed585-a5af-4478-b250-df7187c001e1,3658fc07-d97f-44e8-ba96-21ac26d652bc,a099fdd1-d710-4b30-8db0-a926e98d7213,1633254020159,14.5179311,52.1554993,9.206185,-0.63921547,0.27434754,-1.490457,on bike mount,cyclo cross,True,asphalt,excellent
435ed585-a5af-4478-b250-df7187c001e1,3658fc07-d97f-44e8-ba96-21ac26d652bc,e30fa155-fa94-4081-96c2-74406ab8d277,1633254020226,14.5179311,52.1554993,9.206185,-0.105797924,-1.4141085,1.988697,on bike mount,cyclo cross,True,asphalt,excellent
435ed585-a5af-4478-b250-df7187c001e1,3658fc07-d97f-44e8-ba96-21ac26d652bc,e870501a-4b76-434d-b047-f17e9af9ba80,1633254020276,14.5179311,52.1554993,9.206185,-0.12200188,-0.7934319,-4.509676,on bike mount,cyclo cross,True,asphalt,excellent
435ed585-a5af-4478-b250-df7187c001e1,3658fc07-d97f-44e8-ba96-21ac26d652bc,ea7bc4d8-daea-459d-8cdd-1114cba70bbd,1633254020326,14.5179311,52.1554993,9.206185,-0.74391437,1.0267789,-0.8895683,on bike mount,cyclo cross,True,asphalt,excellent
435ed585-a5af-4478-b250-df7187c001e1,3658fc07-d97f-44e8-ba96-21ac26d652bc,92d59c75-90d4-4b7a-b8e2-34d143589b93,1633254020393,14.5179311,52.1554993,9.206185,0.58701026,-1.4209105,0.34243965,on bike mount,cyclo cross,True,asphalt,excellent
435ed585-a5af-4478-b250-df7187c001e1,3658fc07-d97f-44e8-ba96-21ac26d652bc,80f6c56d-3277-423d-9891-a34fc6b9310e,1633254020460,14.5179311,52.1554993,9.206185,0.44269967,-0.110108376,-2.1327333,on bike mount,cyclo cross,True,asphalt,excellent
435ed585-a5af-4478-b250-df7187c001e1,3658fc07-d97f-44e8-ba96-21ac26d652bc,ae2bc464-5e00-4e80-9679-0a9d9849f33c,1633254020526,14.5179311,52.1554993,9.206185,0.29492083,0.37879968,-0.40583515,on bike mount,cyclo cross,True,asphalt,excellent
435ed585-a5af-4478-b250-df7187c001e1,3658fc07-d97f-44e8-ba96-21ac26d652bc,dfedfc4e-e1c1-444b-a4cd-1061c24c16fb,1633254020593,14.5179311,52.1554993,9.206185,-0.23546354,-1.1763531,-0.74665546,on bike mount,cyclo cross,True,asphalt,excellent
