bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
483ee7a5-1d9c-4e43-b635-efe680ae580a,882db56d-8f3c-423a-a705-110545ae0f05,19506d3a-a352-4c31-8f74-8503d4174a0e,1643974527807,13.406081,52.4725321,5.8723006,-1.8344779,-4.9720693,4.6365223,on bike mount,cyclo cross,True,paving stones,good
483ee7a5-1d9c-4e43-b635-efe680ae580a,882db56d-8f3c-423a-a705-110545ae0f05,3a82ff44-22cb-4af8-b4ff-669f70cea201,1643974527871,13.406081,52.4725321,5.8723006,0.19666433,0.7694807,4.1948977,on bike mount,cyclo cross,True,paving stones,good
483ee7a5-1d9c-4e43-b635-efe680ae580a,882db56d-8f3c-423a-a705-110545ae0f05,64fd4d71-5529-4ee7-a9ef-c8f5ccc3800a,1643974527924,13.406081,52.4725321,5.8723006,-0.7300627,0.60626245,7.9799614,on bike mount,cyclo cross,True,paving stones,good
483ee7a5-1d9c-4e43-b635-efe680ae580a,882db56d-8f3c-423a-a705-110545ae0f05,75d996ab-58b4-40d8-aa39-484273bdc639,1643974527974,13.406081,52.4725321,5.8723006,0.81127334,-0.94285464,-1.0302649,on bike mount,cyclo cross,True,paving stones,good
483ee7a5-1d9c-4e43-b635-efe680ae580a,882db56d-8f3c-423a-a705-110545ae0f05,79f0b5ca-4bed-42e4-9973-7af1d295cf39,1643974528032,13.406081,52.4725321,5.8723006,1.1785939,1.2931533,-4.247801,on bike mount,cyclo cross,True,paving stones,good
483ee7a5-1d9c-4e43-b635-efe680ae580a,882db56d-8f3c-423a-a705-110545ae0f05,1cdacb6d-2a93-4f2d-a20c-e215be714f31,1643974528083,13.406081,52.4725321,5.8723006,0.33423597,-2.9090135,2.2733135,on bike mount,cyclo cross,True,paving stones,good
483ee7a5-1d9c-4e43-b635-efe680ae580a,882db56d-8f3c-423a-a705-110545ae0f05,49a6d714-b42f-4291-8194-54fd86736e37,1643974528136,13.406081,52.4725321,5.8723006,-2.5453787,-2.644229,6.1718454,on bike mount,cyclo cross,True,paving stones,good
483ee7a5-1d9c-4e43-b635-efe680ae580a,882db56d-8f3c-423a-a705-110545ae0f05,c3c28786-d2ff-4cd7-98b9-2236f608005f,1643974528204,13.406081,52.4725321,5.8723006,-0.9256171,4.3475127,-4.3521156,on bike mount,cyclo cross,True,paving stones,good
483ee7a5-1d9c-4e43-b635-efe680ae580a,882db56d-8f3c-423a-a705-110545ae0f05,95d8abba-6c83-466e-a463-df3a0bea4067,1643974528267,13.406081,52.4725321,5.8723006,-3.2412863,1.2591653,12.0357,on bike mount,cyclo cross,True,paving stones,good
483ee7a5-1d9c-4e43-b635-efe680ae580a,882db56d-8f3c-423a-a705-110545ae0f05,5a5a5c93-a925-46f8-a25e-72a83fb7c5da,1643974528346,13.406081,52.4725321,5.8723006,-2.5067282,1.0172548,-3.8111386,on bike mount,cyclo cross,True,paving stones,good
