bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,d195cf10-596a-4209-9a4b-194a46a8aabe,1636123967002,13.4153453,52.4838135,5.890736,-0.1402247,-1.4642962,-0.396904,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,f2d8c92a-1fd7-429b-b4ae-6cd3bf328e74,1636123967056,13.4153453,52.4838135,5.890736,-0.22135997,1.7075195,-1.0019875,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,39d4126a-0439-4973-86ff-668bd849a202,1636123967120,13.4153453,52.4838135,5.890736,-1.5810857,-2.1449203,4.9884863,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,1c1371a0-192b-499c-98d0-9dcbdc0b07db,1636123967170,13.4153453,52.4838135,5.890736,1.2908447,-2.5821404,-3.913168,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,d5e1343f-d728-49a9-81db-39e6f09d4d45,1636123967219,13.4153453,52.4838135,5.890736,0.045218974,-3.5287712,3.4962606,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,7a3ed632-2586-46c2-aa36-a5b49c506467,1636123967270,13.4153453,52.4838135,5.890736,-1.6087627,3.4150095,-0.8681507,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,02ff8161-8aac-4fb6-bfe2-ac35b1722f57,1636123967321,13.4153453,52.4838135,5.890736,-0.4167536,-0.025820494,3.1263466,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,a398ecc4-10ef-4062-a9fe-9ec97fb36cae,1636123967371,13.4153453,52.4838135,5.890736,-1.4625752,-3.9738464,-6.684727,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,5acad175-ba82-4f4b-b3b1-d1e34767c5f4,1636123967437,13.4153453,52.4838135,5.890736,0.33127236,2.7223082,-8.126896,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,b5164d55-f607-4d14-ab88-e3d2d9f9dd66,1636123967504,13.4153682,52.4837558,6.0257416,1.2139833,-2.9720325,1.0923052,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,cff52096-30a1-43b8-b4f5-fd30ea91e641,1636123967556,13.4153682,52.4837558,6.0257416,-2.2034495,1.9154325,-1.5246286,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,9da59067-83e1-445c-8d02-3069da984084,1636123967606,13.4153682,52.4837558,6.0257416,-4.391088,-3.6695678,3.5602064,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,622ce788-f88a-4967-a6b9-cc4c10e1ea36,1636123967656,13.4153682,52.4837558,6.0257416,1.0213228,3.1062312,1.1045046,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,c0b62571-adec-41da-ad32-4e93cff68a5e,1636123967706,13.4153682,52.4837558,6.0257416,-0.17963338,0.8080218,1.3976736,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,1b0bfa57-463c-4d5a-a235-d6c9f869b645,1636123967756,13.4153682,52.4837558,6.0257416,-0.07883924,1.2605219,-2.5811267,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,c9fd6329-92ed-4803-a909-d4100d503098,1636123967805,13.4153682,52.4837558,6.0257416,0.39520216,-1.695978,-1.2202425,on bike mount,cyclo cross,False,asphalt,excellent
4ba5c4a3-bc3d-4a6f-b779-c9af44eaf9a1,2606c593-fc14-4c03-bdb3-200b24a99736,ce01ee7a-1fc0-48a3-a0e4-dbbf73e0938a,1636123967855,13.4153682,52.4837558,6.0257416,-0.62772727,0.41914153,-0.7693825,on bike mount,cyclo cross,False,asphalt,excellent
