bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,64a471b2-2b93-4884-871a-e21911696c15,1644073506900,13.433924,52.4945018,5.5305877,2.2392085,-8.208884,-2.3400965,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,42d42b24-99c0-4141-a33f-bf0b69ed054a,1644073506955,13.433924,52.4945018,5.5305877,0.80170447,2.1749935,-4.0101833,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,1ad1241e-5b51-4d79-b441-20a50f9e3dc8,1644073507011,13.433924,52.4945018,5.5305877,-3.4000218,-5.7987394,7.317707,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,4f8eb68d-1de7-46da-9dcc-1e98d5b03689,1644073507066,13.433924,52.4945018,5.5305877,2.149353,2.9490857,-14.933353,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,d25baf3a-472c-4571-92f4-a5a84ebe73df,1644073507121,13.433924,52.4945018,5.5305877,3.2543278,0.44548988,4.0173216,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,b3eb25db-7f10-4472-a025-f6357cff8247,1644073507177,13.433924,52.4945018,5.5305877,-4.4428434,2.2464037,1.0889378,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,39ea08c7-a0eb-4fb6-9a89-a16051d2c566,1644073507232,13.433924,52.4945018,5.5305877,-0.041889925,-8.629035,-3.462542,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,de5db5a0-66db-405f-a0b7-7b1b94566964,1644073507289,13.433924,52.4945018,5.5305877,0.9768481,-14.222439,15.94632,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,ef178068-7177-44df-89e1-60bfb7594414,1644073507344,13.433924,52.4945018,5.5305877,-1.1317437,3.0574613,-0.8746939,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,bd3e4e11-72b0-4d1f-9e28-21f7642ff1f5,1644073507402,13.433924,52.4945018,5.5305877,-1.4687815,-8.466368,12.538621,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,59349047-5241-4176-9339-b8a7d0b0af8b,1644073507455,13.433924,52.4945018,5.5305877,-0.27896693,8.099768,-9.379225,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,4daeae57-0e7f-4898-9011-defbacf7a861,1644073507510,13.4338455,52.4945216,5.680671,1.8753939,-2.3650393,-0.8367171,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,d0273752-a2cb-4d6c-8a80-d46506e6b10f,1644073507565,13.4338455,52.4945216,5.680671,-1.0432764,-0.49037504,-3.8931553,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,c63d7d6e-fde2-43c2-9e06-bdf234cbbcd6,1644073507621,13.4338455,52.4945216,5.680671,2.266077,-5.2403545,-6.5399137,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,f3dd3198-2bd3-43ce-aeb8-932cd5aec6f1,1644073507677,13.4338455,52.4945216,5.680671,0.11344358,1.8412943,2.8729286,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,bac1b921-358d-4115-be09-b4732bf85183,1644073507733,13.4338455,52.4945216,5.680671,0.805107,-5.0384626,3.5950613,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,fef6f205-08b0-414f-b2e3-9cbde0e06fdf,1644073507789,13.4338455,52.4945216,5.680671,-0.61732143,-7.08278,11.033283,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,4ee211a8-5f05-433d-9628-d773ab4a7067,1644073507844,13.4338455,52.4945216,5.680671,-3.9325457,4.7493486,-4.437275,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,83bdfa68-add6-4b20-9b90-0e4b7a131131,1644073507899,13.4338455,52.4945216,5.680671,0.10611756,-5.80313,4.26264,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,16b802ba-8952-4de5-bca7-06c941bf6bd2,1644073507954,13.4338455,52.4945216,5.680671,0.689584,0.03772211,-8.016229,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,012fba3b-ddb1-42f7-8f9f-0c1f746f7e5a,1644073508030,13.4338455,52.4945216,5.680671,1.4185966,-3.9371564,0.8689966,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,4e0f92a2-6b16-4302-a8f7-f503c8d3c949,1644073508088,13.4338455,52.4945216,5.680671,3.950521,3.9024491,4.314556,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,2188c89e-cf87-44f8-9041-9e0969f5867b,1644073508143,13.4338455,52.4945216,5.680671,-0.09591067,-2.834679,5.8352337,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,a6f78d6e-e83b-48f4-9395-79259cc73b74,1644073508200,13.4338455,52.4945216,5.680671,-0.29862192,-3.9659314,-1.3409328,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,1bf354d4-2ebe-4f0a-835a-a393430ecbf3,1644073508256,13.4338455,52.4945216,5.680671,0.20897187,0.059035778,-8.034646,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,dff45a13-cf1c-4911-9068-fe109f4d0ab3,1644073508311,13.4338455,52.4945216,5.680671,2.1868548,2.7465906,1.5489941,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,c21bdcdf-dc2f-4b47-a20c-934b355f2cdd,1644073508366,13.4338455,52.4945216,5.680671,-0.93960303,1.8724566,-1.6080627,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,df1bad75-f367-444c-95c2-9e85bef303d6,66e062a3-2521-4507-a46e-b0806b430494,1644073508421,13.4338455,52.4945216,5.680671,-0.7527377,-3.5875483,-0.6434469,on bike mount,cyclo cross,True,sett,intermediate
