bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,5132622b-b9ca-436d-bb7e-747466b0be8e,1627365784410,13.4090233,52.4821447,0.010407074,-0.029697716,0.036743402,-0.013151169,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,6965961e-1d61-4c01-a70b-acba0d171f97,1627365784460,13.4090233,52.4821447,0.010407074,-0.049353063,-0.048579693,0.031812668,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,ada238e2-9b22-4f3d-9d9d-78fe0b6e7f1a,1627365784510,13.4090233,52.4821447,0.010407074,-0.045357704,-0.054423094,0.031882286,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,fa6c4007-cec1-4ad3-9ada-4cdb80a64100,1627365784560,13.4090233,52.4821447,0.010407074,-0.01969868,-0.06444073,-0.010204315,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,4348294e-9268-487f-98ab-a0f49cbdf092,1627365784610,13.4090233,52.4821447,0.010407074,-0.14837962,-0.029064417,0.09717178,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,a8f9d533-57b0-4878-9e2c-1ed44a3c4f44,1627365784660,13.4090233,52.4821447,0.010407074,-0.0046911836,-0.03460431,0.03168106,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,1c8d53e6-ab72-4a20-8c5a-098a492ec26b,1627365784710,13.4090233,52.4821447,0.010407074,0.0792104,-0.06895566,0.0163908,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,e5eccc57-8f05-4e16-8403-28eecd5ab683,1627365784760,13.4090233,52.4821447,0.010407074,-0.11604595,0.0009174347,0.027737617,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,22b99595-a5a9-43a5-805e-207daf3586e9,1627365784810,13.4090233,52.4821447,0.010407074,-0.10524851,0.013416052,0.016221046,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,b8a02f81-4cdd-4091-ac19-6face31d7d2f,1627365784860,13.4090233,52.4821447,0.010407074,0.0028505325,-0.045835733,0.02135086,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,2e9fe039-b4e6-40da-b1fd-5ddcf3d93bf4,1627365784910,13.4090233,52.4821447,0.010407074,-0.043224216,-0.0058391094,0.03131485,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,66f6c35e-d4c3-4ee3-85d7-8532271ec3a6,1627365784960,13.4090233,52.4821447,0.010407074,0.06459975,-0.026785135,0.00032520294,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,be7d0b5d-1a18-43cc-adde-e176d5346580,1627365785010,13.4090233,52.4821447,0.010407074,0.059064627,-0.008179903,0.0153923035,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,8e01036a-6b32-4015-8419-b189fa714128,1627365785060,13.4090233,52.4821447,0.010407074,-0.029434144,0.023305655,-0.015442848,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,42ffa280-0d4f-4dac-a3ed-fecaed70232f,1627365785110,13.4090233,52.4821447,0.006200207,0.0806824,0.012646198,0.015675545,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,7d9b9b2b-d1ff-4b24-9790-a0a839e603e9,1627365785160,13.4090233,52.4821447,0.006200207,-0.028977871,-0.0031704903,0.018844604,on bike mount,cyclo cross,False,asphalt,excellent
521f7052-88c1-49eb-a1e8-99f60b6f9e02,5e9004f5-6636-4014-8418-139dbdaca7d5,1127750b-16d4-4263-bea2-dca6925d3827,1627365785210,13.4090233,52.4821447,0.006200207,-0.055944145,-0.006490946,0.011279106,on bike mount,cyclo cross,False,asphalt,excellent
