bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,d750453a-1e54-409d-9200-12b87726d53d,1644072574328,13.4386725,52.4930951,5.9250646,4.361869,-8.93987,-8.926481,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,0cd4cc4a-774e-4d5d-8f3b-8240a1f308f1,1644072574382,13.4386725,52.4930951,5.9250646,3.2983994,-7.9977317,4.3476973,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,c5014162-7d0a-43da-a0b1-979298006254,1644072574437,13.4386725,52.4930951,5.9250646,-1.5146118,-0.8535898,4.6327314,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,012f5281-8f95-471c-83a3-8afcc2d882d7,1644072574492,13.4387561,52.4930736,5.7743015,2.921082,-3.4406304,4.695134,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,67fb385d-97ce-4681-87a1-6e857cbeb544,1644072574547,13.4387561,52.4930736,5.7743015,1.3184495,1.6637311,-3.6190653,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,ccf765e3-5f08-496b-8348-84b3a337bd4b,1644072574602,13.4387561,52.4930736,5.7743015,0.5357257,6.8577538,-3.5405407,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,0706ab19-d5bd-4b92-bc6d-5dbc47263518,1644072574660,13.4387561,52.4930736,5.7743015,-3.4813244,-2.5222309,7.32203,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,f7fb299d-1e53-416d-897c-32e506b09d5a,1644072574714,13.4387561,52.4930736,5.7743015,0.17152008,-3.6706603,1.7718382,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,554c6093-a192-486c-9da8-80ed8a0f0e2b,1644072574770,13.4387561,52.4930736,5.7743015,0.55901605,1.6561842,4.5700493,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,e1e88cfc-d1e2-4c10-a32e-45c7fc587f56,1644072574825,13.4387561,52.4930736,5.7743015,0.65417117,3.0742874,3.0572882,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,738cfc37-b8da-47eb-bc07-2de888f46c84,1644072574881,13.4387561,52.4930736,5.7743015,-1.9251286,0.28494453,-3.9696934,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,064f95ff-ea84-42e4-a52a-2e75b39e68dd,1644072574937,13.4387561,52.4930736,5.7743015,-1.8903611,-2.952445,10.572508,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,555079e2-faee-4741-b05b-3b2d89b8a667,1644072574992,13.4387561,52.4930736,5.7743015,0.7427969,-6.287963,13.398271,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,19d75f39-a597-4fb7-8445-452eab21f3db,1644072575047,13.4387561,52.4930736,5.7743015,2.3232949,-4.957052,3.8629093,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,3c193a2f-236a-404d-8387-5ea973ac0a57,1644072575104,13.4387561,52.4930736,5.7743015,2.2558296,4.6287613,4.208744,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,19546560-ae35-4abd-aab1-118476957b6f,1644072575158,13.4387561,52.4930736,5.7743015,-0.67463744,4.6554546,-8.399032,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,33507e7d-f343-4751-96c0-cd8acedb3aa6,1644072575213,13.4387561,52.4930736,5.7743015,-4.523654,-5.881489,5.6373825,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,3c23da42-4aaf-4de1-94fd-2570ccef96f0,1644072575270,13.4387561,52.4930736,5.7743015,-0.7686182,-12.352464,13.9074135,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,63810dd6-6cf1-4f9d-95fd-085fb65ad56d,1644072575327,13.4387561,52.4930736,5.7743015,4.0981193,-1.6154442,4.0153275,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,8dddfbc1-8bdc-444e-b4a9-450d6cd1795d,1644072575380,13.4387561,52.4930736,5.7743015,-0.9072739,3.3963237,-4.2889347,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,c8f9a665-1126-4186-8c35-e8f736707908,1644072575436,13.4387561,52.4930736,5.7743015,-1.1598095,-4.5260324,3.9062538,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,f4110529-145d-4c44-8a48-c2d5096a7b0e,1644072575491,13.4388404,52.4930545,5.5621176,-0.49051285,-9.935774,5.418704,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,9de1bd1e-57b8-4cb8-9565-27fa761e88e0,1644072575546,13.4388404,52.4930545,5.5621176,2.221283,-7.042498,6.344927,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,af67c7cc-a308-4702-80f6-0f4121201233,1644072575602,13.4388404,52.4930545,5.5621176,-1.0630877,4.5887704,-7.516136,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,34c1fb2b-90b6-4641-82ad-7b045e1be7e2,1644072575658,13.4388404,52.4930545,5.5621176,2.4285288,1.699842,-9.317097,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,be8ba076-92d9-4a5d-9064-543478bfeb6f,1644072575713,13.4388404,52.4930545,5.5621176,-3.43738,-5.791733,4.2296963,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,f1f5ceb0-61a2-469d-b05b-23bbedfbdbb9,1644072575769,13.4388404,52.4930545,5.5621176,0.31519175,-9.731666,15.654037,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,50be34fe-f45b-4055-8bf8-48d2d6b0a1fc,1644072575825,13.4388404,52.4930545,5.5621176,1.6319833,8.199474,-8.142292,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,f936b182-4e11-4bf2-afa5-c7c774c3b2da,1644072575880,13.4388404,52.4930545,5.5621176,-1.0674115,2.6508255,-5.132254,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,ccdf70de-69b4-43da-b234-aad9f9684f8b,1644072575935,13.4388404,52.4930545,5.5621176,-1.5485429,-0.0960474,-3.3979669,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,04befa54-4adf-408c-be13-bc3b05e00cab,1644072575990,13.4388404,52.4930545,5.5621176,1.8018885,-7.143979,3.2110376,on bike mount,cyclo cross,True,sett,intermediate
57676c5a-d8bc-477b-9afe-cd54e0534cbf,6f6e8f78-6129-400b-9439-98699213b28d,05df57bc-811d-4812-adc1-d9a3fe271add,1644072576053,13.4388404,52.4930545,5.5621176,0.4262222,-2.686174,-2.5161524,on bike mount,cyclo cross,True,sett,intermediate
