bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,2b095852-5279-465f-807f-51eaf1e87834,1633859699911,13.4241397,52.4967827,3.1437654,-3.229815,-2.2748072,-6.35732,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,81d717ae-83e2-4897-b492-ec1aaa776acd,1633859699962,13.4241397,52.4967827,3.1437654,-3.3334055,3.6367812,-0.45275688,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,c97b4e67-d2ee-4d92-ad33-58150d1c9cae,1633859700012,13.4241397,52.4967827,3.1437654,-4.931211,13.229018,-9.112845,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,eed82299-7a19-4c7e-8cc6-d96ecd1fe2e2,1633859700062,13.4241397,52.4967827,3.1437654,2.4148128,0.007876873,-4.9018173,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,9e1148c0-fd51-41ab-a46b-46759c91f3f6,1633859700112,13.4241397,52.4967827,3.1437654,0.47081348,7.2245855,0.5900593,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,10c4f24d-d39a-48e5-8301-77350e74731e,1633859700162,13.4241397,52.4967827,3.1437654,1.3909328,-3.6026516,19.8597,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,be1e96d1-7197-4d9c-8442-2dd16c307a81,1633859700212,13.4241397,52.4967827,3.1437654,0.62617606,4.045141,-1.2241573,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,1212aa02-78f7-4ab9-a365-cc1f23884e24,1633859700262,13.4241397,52.4967827,3.1437654,-4.2572455,6.258356,-1.5464382,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,f9feee02-0295-4a20-940b-b506dc192fee,1633859700313,13.4241397,52.4967827,3.1437654,1.894617,-12.598581,7.7758093,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,38380501-b427-4483-a9e4-ce42659014ea,1633859700364,13.4241397,52.4967827,3.1437654,0.43380824,-8.765461,-0.8058257,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,7763bdc4-a702-45df-9335-cac24ca9f83e,1633859700414,13.4241625,52.4968391,3.4196868,-3.6565201,11.020264,-17.19663,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,af713844-4809-4204-ad6e-392d2f637cd3,1633859700464,13.4241625,52.4968391,3.4196868,0.7879547,-2.784826,5.588415,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,58fedfbe-0079-4b22-95cd-4e380e3498b8,1633859700514,13.4241625,52.4968391,3.4196868,-3.2186837,12.443816,-16.398064,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,e05845b9-179a-4d69-af5e-1a257b2cbee7,1633859700564,13.4241625,52.4968391,3.4196868,0.8104181,5.4824514,-24.845665,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,0573853d-a79d-430a-9a4d-f9dd4aeb173c,1633859700615,13.4241625,52.4968391,3.4196868,2.1544724,6.2159863,-5.239379,on bike mount,cyclo cross,True,sett,intermediate
5beb59a5-0c77-4641-8fa5-ef3b4ecc6d01,495b6ade-7d06-4f12-87a1-0cf199f13ef4,5458f824-e3c0-458b-9fc4-e6e84a2def95,1633859700666,13.4241625,52.4968391,3.4196868,-7.191899,-17.952438,1.3448973,on bike mount,cyclo cross,True,sett,intermediate
