bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,c8f45a59-4fca-49a5-ad55-b5a9ae2c414e,1644236762411,13.354804,52.5102586,4.6884866,1.173301,-1.0764214,-7.3722944,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,327683db-7d6a-4160-b2a8-729b7f33b31a,1644236762471,13.3548375,52.5102711,4.7235518,-0.87467265,2.1348677,7.0741234,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,58cb0d40-6fb6-4ad6-befc-b5b0f23f30a7,1644236762522,13.3548375,52.5102711,4.7235518,-0.16474822,-1.314307,2.2670135,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,895ac28a-dbe5-44d5-ba41-3ba3be7d50ef,1644236762578,13.3548375,52.5102711,4.7235518,-0.9546163,1.0451369,14.391739,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,aba5f28a-767e-4ad3-ac58-f47eba0bb227,1644236762634,13.3548375,52.5102711,4.7235518,0.7183523,1.6985116,-0.4160204,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,9912fc3b-4344-49bf-8841-6fb94b769dfc,1644236762690,13.3548375,52.5102711,4.7235518,0.12611994,-4.1646233,-10.352891,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,972dfa30-c052-4a20-92c7-4c184e77b704,1644236762745,13.3548375,52.5102711,4.7235518,-0.719666,-0.89621115,13.997511,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,b09e1200-4ef1-469f-8b16-6137bf3edccb,1644236762802,13.3548375,52.5102711,4.7235518,-2.139153,5.8418903,0.31421852,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,02b49ff3-655c-4eda-90b8-53a2734355a8,1644236762855,13.3548375,52.5102711,4.7235518,-1.0665447,7.999578,-4.1567116,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,b4d42c5e-d73c-44fc-812a-0dbe31f34cae,1644236762913,13.3548375,52.5102711,4.7235518,0.73928714,1.3398304,-1.6536398,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,5f87d246-aa53-43cc-a0b7-d604b4249bf5,1644236762968,13.3548375,52.5102711,4.7235518,-1.676193,1.1641073,7.20092,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,35381bb4-7d86-4f75-8aaa-d9046d96d3d9,1644236763023,13.3548784,52.5102842,4.8007216,-1.419173,-6.6279635,2.5445528,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,d7280fb3-1878-4b29-95df-14accaa390a2,1644236763079,13.3548784,52.5102842,4.8007216,1.8879013,5.279956,-4.345133,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,50d50aec-c386-4786-b22b-05b7743c8cd1,1644236763133,13.3548784,52.5102842,4.8007216,-1.2651689,2.8709998,-1.0998383,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,bb81785e-a638-40ce-be40-aeb635106174,1644236763191,13.3548784,52.5102842,4.8007216,-0.12367295,-2.947192,2.5066605,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,12e8b718-c7b6-428d-8626-b953f0f7a7d4,1644236763245,13.3548784,52.5102842,4.8007216,-1.331321,1.5722156,-4.831853,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,7fe44483-059d-4cf2-8d25-4a29c382055a,1644236763301,13.3548784,52.5102842,4.8007216,0.050710484,-5.0756807,13.065809,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,02b03dc3-a9a1-4ca9-9549-d9b672bb4d77,1644236763357,13.3548784,52.5102842,4.8007216,-1.4104562,-6.640352,2.9520006,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,75aa81bf-b3e5-46a6-b7bc-61dcb505dddc,1644236763412,13.3548784,52.5102842,4.8007216,0.9601992,0.27811384,3.1388159,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,022920dd-ac35-4052-b449-3d518332d9b9,1644236763467,13.3548784,52.5102842,4.8007216,1.0228862,-2.1981468,-10.304135,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,6d26952b-5063-41bc-8e71-c44f5c3de641,1644236763527,13.3549165,52.5102963,4.835241,-3.985283,-4.1744704,8.243974,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,86031740-8667-41b7-9e10-b51408a8e040,1644236763578,13.3549165,52.5102963,4.835241,0.58319294,1.3031096,-6.5750747,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,2abe1047-e857-45f8-9f05-3386b8c76ceb,1644236763633,13.3549165,52.5102963,4.835241,-0.040970325,4.7101846,-0.3524418,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,e2daff4d-4a13-4543-ab91-c246fddb2113,1644236763690,13.3549165,52.5102963,4.835241,-2.727868,-1.5752873,2.637228,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,3a8ff449-0cea-4c50-ab94-cd24da6afe3c,1644236763747,13.3549165,52.5102963,4.835241,-1.3465348,-2.1589708,-4.7092323,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,bc7632e7-5dcd-48fb-8517-59588957ef94,1644236763802,13.3549165,52.5102963,4.835241,-0.67145073,3.6075544,4.5244083,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,ce5922f6-e2c3-42b7-a126-ebeae0bc81bf,1644236763856,13.3549165,52.5102963,4.835241,-1.059448,-7.056017,4.917412,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,2af99989-46e8-4331-a461-5e6c06c5f1d5,1644236763912,13.3549165,52.5102963,4.835241,-1.3788084,3.7082505,8.527327,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,cab2e0e1-ae88-4a2f-9c68-def5972b6ba3,1644236763968,13.3549165,52.5102963,4.835241,1.1089628,7.79094,-5.6260233,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,c382606a-1cc5-44f0-aff2-4090ccae564d,1644236764024,13.3549165,52.5102963,4.835241,1.4900545,-0.5572734,0.10049057,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,44af2724-261c-4c36-961f-ed49df803a83,1644236764079,13.3549165,52.5102963,4.835241,0.25120044,-0.36789155,-6.314988,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,d7252109-83d5-4c23-aafe-e2b393dcde93,1644236764135,13.3549165,52.5102963,4.835241,0.015106512,0.6741283,-2.456046,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,312a7c1b-9dc8-4abb-8232-510ef2f93368,1644236764190,13.3549165,52.5102963,4.835241,-1.1944991,2.9240642,5.873185,on bike mount,cyclo cross,True,fine gravel,good
5fcb171f-5280-4094-8dbf-a3a65b71f71a,fd356b6b-5779-4d60-ae87-e1c64316177b,d0a49e2c-ebfb-4682-acc8-a84f64c8323f,1644236764245,13.3549165,52.5102963,4.835241,0.4649212,0.36492014,2.122775,on bike mount,cyclo cross,True,fine gravel,good
