bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,4f0c81cf-d7ef-43f9-ba75-acaf40b23727,9983c8e7-2a4e-43ac-b531-64ad018d2299,1636128124619,13.410987,52.4726238,4.7599263,9.413456,-8.502773,18.430237,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,4f0c81cf-d7ef-43f9-ba75-acaf40b23727,65b4bc16-91c9-426c-aa45-75e3f5ac9b72,1636128124670,13.410987,52.4726238,4.7599263,0.74145675,1.2797446,0.09211826,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,4f0c81cf-d7ef-43f9-ba75-acaf40b23727,c4afd341-a739-426a-b448-c4fa3c8a0aeb,1636128124721,13.410987,52.4726238,4.7599263,1.133029,-4.6955347,3.087532,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,4f0c81cf-d7ef-43f9-ba75-acaf40b23727,adbba6df-1e7f-4350-92d1-6c403d2b7b6e,1636128124771,13.410987,52.4726238,4.7599263,0.0025629997,2.6374865,-3.4463181,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,4f0c81cf-d7ef-43f9-ba75-acaf40b23727,45b513e2-f962-43b3-81c6-f8dfa6bdd3b0,1636128124822,13.410987,52.4726238,4.7599263,-1.7692716,1.3840132,-4.6901407,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,4f0c81cf-d7ef-43f9-ba75-acaf40b23727,79a21fba-1ea0-4623-89ca-794df95dc215,1636128124872,13.410987,52.4726238,4.7599263,-0.09715971,-4.960058,0.22746754,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,4f0c81cf-d7ef-43f9-ba75-acaf40b23727,f8afcfe6-1f9f-4ec0-a49f-c0a1b006c1b1,1636128124922,13.410987,52.4726238,4.7599263,-1.463054,-0.6284001,-0.49464798,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,4f0c81cf-d7ef-43f9-ba75-acaf40b23727,eb5c7375-88d2-4b86-9c92-0f380507ff14,1636128124972,13.410987,52.4726238,4.7599263,-0.5070901,-1.2999741,2.2351332,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,4f0c81cf-d7ef-43f9-ba75-acaf40b23727,7369b70a-02b4-4341-be6e-029fcba14eee,1636128125022,13.410987,52.4726238,4.7599263,0.10987684,0.6832619,-1.1674724,on bike mount,cyclo cross,False,paving stones,good
62a53e09-18bb-4e0f-8fb1-dd617ffb9e2b,4f0c81cf-d7ef-43f9-ba75-acaf40b23727,eafad490-f1d5-42e5-96c2-de593d5b0ab6,1636128125071,13.410987,52.4726238,4.7599263,-0.830572,0.34330392,-0.62329197,on bike mount,cyclo cross,False,paving stones,good
