bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,5f9cc680-3551-4a9a-999d-abe5cac75776,1644074290358,13.4333363,52.4946846,5.4660673,-2.2054653,2.772418,4.6926765,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,478d46c9-855f-4e3e-9ed1-3d7cece43c76,1644074290415,13.4333363,52.4946846,5.4660673,3.1085536,-27.659145,41.23384,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,e29ad3f1-67e9-4642-b417-5f86361c4881,1644074290471,13.4333363,52.4946846,5.4660673,-3.7299776,10.612268,-5.5939493,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,ae241f58-e5ef-495f-aec4-1e8ec6129387,1644074290526,13.4332588,52.4947055,5.193435,9.08893,-2.3128097,12.163448,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,bcc3db54-a621-4489-807d-403cb3efbc7f,1644074290581,13.4332588,52.4947055,5.193435,0.21839914,1.7782984,-18.233738,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,0f5f9a1a-5ce0-4735-9dea-42192d87d211,1644074290636,13.4332588,52.4947055,5.193435,-2.8620386,1.6817117,2.8408804,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,e6d040ca-87a1-430e-8a18-8f4ef3ba5b07,1644074290692,13.4332588,52.4947055,5.193435,1.642236,2.5408173,-7.595856,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,fba9cab7-5edc-4907-aa2e-683671238b72,1644074290747,13.4332588,52.4947055,5.193435,1.1396743,2.6353827,8.111985,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,3022477b-ecdc-4326-a084-5e09916328da,1644074290804,13.4332588,52.4947055,5.193435,-0.473993,0.7120819,2.0831747,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,83291c14-614d-4a96-b44f-058f2ea02c34,1644074290860,13.4332588,52.4947055,5.193435,2.501722,-6.5936427,4.8642464,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,b62b91ea-c67c-40aa-9db9-d125abc932f5,1644074290915,13.4332588,52.4947055,5.193435,0.58576566,-0.14716148,2.2182732,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,034e613a-e082-40e1-b8ad-5987b53aa5f5,1644074290970,13.4332588,52.4947055,5.193435,1.1720943,4.502463,-6.718979,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,44f01b85-0e0f-4238-87d1-7e18398a948d,1644074291025,13.4332588,52.4947055,5.193435,0.091036916,-4.269052,2.6574688,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,e441a224-cddf-4c8d-9522-4f546330687a,1644074291081,13.4332588,52.4947055,5.193435,-0.91678643,-0.19055414,9.721298,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,9fb06af9-fc00-4cb9-bf20-d8326ace884e,1644074291138,13.4332588,52.4947055,5.193435,-1.705668,-3.9073524,8.547423,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,5aa51e2d-46c0-4778-bc83-13670d95b5e0,1644074291191,13.4332588,52.4947055,5.193435,-2.8649044,-2.4067054,-2.2315526,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,b4a6ef40-93cb-4c01-b223-f859778b3538,1644074291248,13.4332588,52.4947055,5.193435,1.057803,-7.489981,9.866644,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,e0298003-832a-4a3b-bd5e-f31c48523cb2,1644074291304,13.4332588,52.4947055,5.193435,-1.6822543,-2.7573373,4.9766207,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,9511e664-7821-4426-bbde-9a7d270cb632,1644074291358,13.4332588,52.4947055,5.193435,-1.9194561,2.373691,-11.306906,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,ed01d2b4-e158-4b4f-8493-3c07e359c8f1,1644074291414,13.4332588,52.4947055,5.193435,0.99137425,-9.100284,8.992254,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,342ed090-6377-4033-a0e0-1436bdac97ba,1644074291470,13.4332588,52.4947055,5.193435,1.062448,-13.036418,17.285078,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,57745f5b-b9cc-431f-9739-7c7033f02794,1644074291525,13.4331853,52.4947252,4.3097887,-2.519066,1.7544489,-17.533602,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,3c6508bf-8e3d-415e-a638-1b3940bd2c2b,1644074291581,13.4331853,52.4947252,4.3097887,0.12994356,-7.43673,17.189487,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,2b026d08-eaa7-4094-94b7-830ff53364cc,1644074291637,13.4331853,52.4947252,4.3097887,-5.4772415,-5.1477766,-14.068365,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,3d951743-c2fb-4c85-a062-fa2d6d3019f1,1644074291693,13.4331853,52.4947252,4.3097887,-8.419382,-30.079468,-6.6870522,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,bd63dac0-0194-4c69-a927-66a2a429209f,1644074291748,13.4331853,52.4947252,4.3097887,1.1927217,-7.023868,-7.315039,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,0297c189-da06-4265-b8df-60a9c346f185,1644074291803,13.4331853,52.4947252,4.3097887,0.3301803,17.260511,3.0036755,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,32410bc6-d2ee-4c6b-b2b7-f84b006de644,1644074291858,13.4331853,52.4947252,4.3097887,-2.056598,9.352995,-12.1006775,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,e44fd027-a840-411b-96dd-43c138654683,1644074291915,13.4331853,52.4947252,4.3097887,10.340471,-7.6695056,12.50071,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,be744c6c-e10a-47ae-be5c-975a6f99f906,70b8eb35-0559-4342-9721-e6dc17a58bf1,1644074291970,13.4331853,52.4947252,4.3097887,0.9725237,-10.187352,-0.41639137,on bike mount,cyclo cross,True,sett,intermediate
