bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6be55b62-4ee4-4906-ae82-44c93c4e6abe,c2411345-7a3b-4a9e-8db4-ad7d33d2484f,0542d007-1912-4f22-9ec7-3623e47e91e0,1633174287873,14.4967262,52.1681524,5.1717787,-0.45096183,0.7026262,-0.14477253,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,c2411345-7a3b-4a9e-8db4-ad7d33d2484f,36e40923-f095-4e35-9d72-c8e8785f44a7,1633174287925,14.4967262,52.1681524,5.1717787,1.435717,1.836885,0.36954308,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,c2411345-7a3b-4a9e-8db4-ad7d33d2484f,5d0ac765-d6fa-4298-b9a7-d968686e7f3b,1633174287975,14.4967895,52.1681022,5.224703,-2.8528047,2.1639152,-2.6712976,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,c2411345-7a3b-4a9e-8db4-ad7d33d2484f,9971833c-a66b-41b7-8c8d-51aaee43b616,1633174288040,14.4967895,52.1681022,5.224703,-0.19741628,0.057765484,0.21512032,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,c2411345-7a3b-4a9e-8db4-ad7d33d2484f,d6bb3cdc-519c-424e-96f1-d78a1491b09c,1633174288090,14.4967895,52.1681022,5.224703,-1.400951,0.95248747,2.3427868,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,c2411345-7a3b-4a9e-8db4-ad7d33d2484f,3f526df7-33e0-4070-87a9-ec40549cc789,1633174288141,14.4967895,52.1681022,5.224703,0.041421123,0.022399187,1.7753735,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,c2411345-7a3b-4a9e-8db4-ad7d33d2484f,40fc977e-01e3-4fc2-9685-efcf9f8ab26c,1633174288191,14.4967895,52.1681022,5.224703,1.125622,0.5278928,0.24643421,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,c2411345-7a3b-4a9e-8db4-ad7d33d2484f,af2fb9c8-e773-40fc-8404-b091fd761896,1633174288242,14.4967895,52.1681022,5.224703,-1.8856223,1.6710234,-1.4574394,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,c2411345-7a3b-4a9e-8db4-ad7d33d2484f,afaef224-81e7-4e8f-a985-c3d65483200a,1633174288293,14.4967895,52.1681022,5.224703,0.28858253,-1.7572806,-0.46275997,on bike mount,cyclo cross,True,asphalt,excellent
6be55b62-4ee4-4906-ae82-44c93c4e6abe,c2411345-7a3b-4a9e-8db4-ad7d33d2484f,e2293e60-6f94-4fcf-8bba-fba8ebb9a0d5,1633174288358,14.4967895,52.1681022,5.224703,0.45369244,1.9198546,-0.56798744,on bike mount,cyclo cross,True,asphalt,excellent
