bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,092ed565-2bda-435d-8c83-682fd14404ac,1644074729661,13.4355364,52.4917564,2.1452649,-0.6195047,1.7922609,-0.3197298,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,ce03e9e4-e371-4075-a7d7-08c555c810d0,1644074729715,13.4355364,52.4917564,2.1452649,-0.6976264,-1.7537493,-2.3468604,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,53bd61e1-a24f-47ca-94a1-fa3ca0c1e443,1644074729770,13.4355364,52.4917564,2.1452649,0.85879415,0.19138098,-1.7089343,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,41a8219d-162a-4849-ad94-1f6999a8f59d,1644074729825,13.4355364,52.4917564,2.1452649,-0.45892802,-2.9259279,-1.7088938,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,09bc8316-4f93-4a05-9503-aab830655e12,1644074729881,13.4355364,52.4917564,2.1452649,0.07342006,-1.3703285,-0.8074446,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,d940451c-929d-4f1f-aa12-fc3364640b35,1644074729936,13.4355364,52.4917564,2.1452649,0.93666804,-1.6690196,-1.0778441,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,9bdae09a-faa6-4d3e-8aad-a30fecc8dfc9,1644074729992,13.4355364,52.4917564,2.1452649,-0.33226508,-3.2243865,0.402071,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,25f18c29-2c8b-4e19-9932-2e8da07fbba6,1644074730048,13.4355364,52.4917564,2.1452649,-0.93145454,-1.9972228,1.6757908,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,1d600769-0b89-4d49-9b88-43a6d3cf9cdd,1644074730103,13.4355364,52.4917564,2.1452649,0.39374682,-0.10316372,-1.0731325,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,c5d08b6b-0f89-466d-a05c-3b39cc181878,1644074730159,13.4355364,52.4917564,2.1452649,-0.38908726,-0.92191195,1.0146399,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,ba67d2cb-6f04-49e5-963f-17a53e2451ee,1644074730215,13.4355364,52.4917564,2.1452649,0.21208721,-1.4692307,0.2609024,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,296a7232-6c9c-435d-b0bb-5aa4fcc1b40e,1644074730270,13.4355364,52.4917564,2.1452649,0.06912523,-0.7161379,0.25123787,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,db4dd140-406c-46a9-920f-ae6310de7091,1644074730325,13.4355364,52.4917564,2.1452649,0.07507245,-1.2926372,0.7378216,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,f076a1a6-232a-442c-b1ac-9417f73b8c44,1644074730381,13.4355364,52.4917564,2.1452649,-0.3841017,-1.3518236,0.51650906,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,71262bd7-fda0-4c00-9730-ab94a47c49ee,1644074730438,13.4355364,52.4917564,2.1452649,-0.17212442,-1.878058,0.31025505,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,ecbf2a9e-8a58-4ee2-87bc-20da493a8525,1644074730494,13.4355364,52.4917564,2.1452649,-0.25111556,-1.8906567,0.73481655,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,e2604f30-30e7-4c63-99c7-873c1eded310,1644074730548,13.4355621,52.4917462,1.8436031,0.31812346,0.11512947,0.17581558,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,adeeeec5-74e8-4d99-872c-82aef3caaf1a,1644074730603,13.4355621,52.4917462,1.8436031,-0.03418611,0.46476698,-0.82542133,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,fed4793f-dffc-457b-a54f-ad6cdf5f2270,1644074730661,13.4355621,52.4917462,1.8436031,1.2896236,-1.2341679,-0.062898636,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,7d7c04f8-4806-4240-876e-65700d45ef79,1644074730715,13.4355621,52.4917462,1.8436031,0.56815124,-0.7810216,1.5175581,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,1ede8026-7d76-4668-98ce-132a37cc0144,1644074730769,13.4355621,52.4917462,1.8436031,0.12533341,0.3341658,-0.80831146,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,f2a79ba3-43bf-4e9f-8936-e876d5d0b126,1644074730825,13.4355621,52.4917462,1.8436031,-0.31904447,1.0452125,-0.3887987,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,99de8dae-f250-4777-a434-295685b0510e,1644074730882,13.4355621,52.4917462,1.8436031,0.31782886,0.02866888,-0.010182381,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,bfc29fcb-1734-4246-8ad5-ca9b4757e454,f8624ce7-8c89-4ba8-afcb-1ff515d29491,1644074730937,13.4355621,52.4917462,1.8436031,-1.1178881,0.08046794,0.07803249,on bike mount,cyclo cross,True,sett,intermediate
