bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,7203518b-2145-465e-8014-b994ec148813,1633161302350,13.8247302,52.4028441,6.9826617,-0.10411553,-0.33970165,-1.9975667,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,b2426e2d-c35d-4704-8935-72be3c02ea22,1633161302417,13.8247302,52.4028441,6.9826617,0.3938999,-1.8300849,-0.5429783,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,fce918c3-8c25-429f-8706-ee7ae5f5bed5,1633161302467,13.8247302,52.4028441,6.9826617,-0.29166555,-0.9825103,-0.40426064,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,8f4e673d-e2e2-49eb-9011-2874e5f357af,1633161302534,13.8247302,52.4028441,6.9826617,0.37111038,-0.24439979,0.37733746,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,ea6043d3-03d8-41b7-a707-0372dc8d4e98,1633161302600,13.8247302,52.4028441,6.9826617,0.85684836,-0.05979371,0.3530941,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,8a5a9bae-3149-4428-857a-e37a02316ce4,1633161302667,13.8247295,52.4027797,7.126297,-0.44718057,0.087245226,-0.4789009,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,1e56514c-d9b7-48a2-81f4-d2b3c84cc6f2,1633161302734,13.8247295,52.4027797,7.126297,-0.55979836,0.4052708,-0.3429165,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,23d77480-4210-4d2a-94a4-3eeca8a83db4,1633161302801,13.8247295,52.4027797,7.126297,0.288926,0.5928745,2.750842,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,e4e33373-f615-4425-9dda-69f1c78621e4,1633161302868,13.8247295,52.4027797,7.126297,0.094463885,-3.1880484,2.5900698,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,1f800b8f-ba04-476e-b360-ab363aa85b90,1633161302935,13.8247295,52.4027797,7.126297,0.55940515,0.85141563,-2.1648612,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,50713c8d-719b-421b-8e22-e4d79dfc5d35,1633161303002,13.8247295,52.4027797,7.126297,-0.89404017,-0.90623903,0.76602745,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,95b78a90-9573-4e13-b5ed-18fc16ebdad6,1633161303068,13.8247295,52.4027797,7.126297,-0.44676766,0.060474873,2.2638798,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,1b916031-71c0-4cfb-9213-f3ca85787dd3,1633161303135,13.8247295,52.4027797,7.126297,0.010142469,0.7335348,-0.12576866,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,465d116c-aa62-4589-97b9-cf62906d1e56,1633161303202,13.8247295,52.4027797,7.126297,-0.07664433,0.5897162,-1.6298485,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,947802fe-c775-4207-bb24-b971cedbaf71,1633161303269,13.8247295,52.4027797,7.126297,0.07686048,-0.68717647,-0.636281,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,a382b0c1-c3b4-415d-9a47-44fb98e43f3c,1633161303336,13.8247295,52.4027797,7.126297,0.9332745,-1.3404372,1.5735254,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,7db8045f-a2b3-4290-bdd1-6413920092d4,1633161303403,13.8247295,52.4027797,7.126297,0.26276344,0.19175148,1.479394,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,0e512189-5636-44f5-a70f-a425b465ce9f,1633161303453,13.8247295,52.4027797,7.126297,-0.117317885,0.96156406,-0.5658312,on bike mount,cyclo cross,True,asphalt,excellent
6e734f5c-ea1f-4194-b666-1907dbe97233,8849368c-1502-4446-82cf-7233c6894235,99330265-8d9d-4506-8ee9-a01dbbe981fa,1633161303520,13.8247295,52.4027797,7.126297,0.17609785,0.40673232,-0.920372,on bike mount,cyclo cross,True,asphalt,excellent
