bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,16d765ac-6a54-440d-8bfc-67a5d6f28dc8,1634371890998,13.3684727,52.5108428,5.5838594,1.4940972,-6.712008,2.8977776,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,03c37fe7-c913-419f-8180-98bdc5e94c75,1634371891048,13.3684727,52.5108428,5.5838594,0.0048432946,0.39242196,-4.8126445,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,dba39685-4182-41c1-a793-ecc8ae1262cd,1634371891098,13.3684727,52.5108428,5.5838594,-2.6913397,0.5746331,2.8649378,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,750d15a2-b187-4666-8b2c-db58f48698de,1634371891149,13.3684727,52.5108428,5.5838594,-1.3415731,-0.2357378,0.69911003,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,9ba99ba1-70e5-4715-8c3c-be348581fc36,1634371891215,13.3684727,52.5108428,5.5838594,0.29655802,-2.3728323,-3.251892,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,e6e07cea-562d-4d3e-93ce-a825896cf38a,1634371891266,13.3684727,52.5108428,5.5838594,-2.1346214,5.059642,-3.0537567,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,e9de912d-1714-4cac-bc55-5ad5c67fda8d,1634371891333,13.3684727,52.5108428,5.5838594,-1.2886927,-2.1794584,0.8114996,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,44af6ced-b313-47bb-ae7f-0da34e226a39,1634371891400,13.3684727,52.5108428,5.5838594,0.27525628,1.6286688,6.9846725,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,d19ee1a1-6dc3-40b2-ae04-f8bb743fa513,1634371891451,13.3684727,52.5108428,5.5838594,-0.48461133,-8.18851,-0.64421654,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,4878fdef-84d8-4bf2-8b81-c987058ee57d,1634371891517,13.3684727,52.5108428,5.5838594,1.1240104,-5.8611593,-3.7046685,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,341c368a-5e2f-4e6c-9a70-d0086470fe16,1634371891583,13.3684727,52.5108428,5.5838594,-2.782456,6.42202,-11.012297,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,2a5952f8-6fac-4ac9-8011-2fc53df922ca,1634371891634,13.3684727,52.5108428,5.5838594,-4.40598,5.4494514,1.8640518,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,0cd97a33-946e-4181-a6b4-b75d82767566,1634371891700,13.3684727,52.5108428,5.5838594,0.73410964,2.9874582,-4.145096,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,8c3aa888-fc87-4283-9428-5295869cee8b,1634371891750,13.3684727,52.5108428,5.5838594,-2.7575328,-0.8712559,-1.209147,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,cd88d752-385c-427a-948f-b8783bea904d,1634371891816,13.3684727,52.5108428,5.5838594,-1.2321129,-1.0226879,-6.678371,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,99626770-5e76-4611-a36e-ca1cecb003c1,1634371891867,13.3684727,52.5108428,5.5838594,-0.83529586,-10.095808,2.7345753,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,f043d8eb-84d4-4084-a172-036ae57361b5,1634371891917,13.3684727,52.5108428,5.5838594,2.5225048,2.6013546,-1.6853161,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,1d73004b-e6f3-4de1-8b95-f039e49cd511,1634371891984,13.3683984,52.5108351,5.180977,-0.67210484,-3.175629,-1.4396915,on bike mount,cyclo cross,True,fine gravel,good
6f60bc71-38d8-455e-be7a-0aafb8ed3bee,9f9f0b9c-4d53-4b9a-bf71-fd7a021642f2,d36d3554-df8a-420e-a18d-6390e26631c8,1634371892034,13.3683984,52.5108351,5.180977,-5.30079,5.0051804,-2.7021399,on bike mount,cyclo cross,True,fine gravel,good
