bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
721a6d77-2f80-4736-a5bc-161e4f7ee520,106a78bf-bae8-468f-88e2-b714802abff0,4aadfd4e-0a07-4b29-b124-64b1d0a83104,1627405289197,13.4191794,52.4949069,6.613176,-0.50344884,-15.058702,7.275793,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,106a78bf-bae8-468f-88e2-b714802abff0,3c458bf9-dc8d-4863-a3b3-b0a2f5303491,1627405289264,13.4191794,52.4949069,6.613176,-4.538697,10.757713,-3.6340504,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,106a78bf-bae8-468f-88e2-b714802abff0,6c35715e-cc7d-4ddc-806f-bc48b3dac456,1627405289331,13.4191794,52.4949069,6.613176,5.319089,19.345707,-14.465292,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,106a78bf-bae8-468f-88e2-b714802abff0,a88d5e66-e89a-42ee-9d1d-2721b6e8be13,1627405289397,13.4191794,52.4949069,6.613176,1.0946602,3.963996,2.316616,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,106a78bf-bae8-468f-88e2-b714802abff0,6a12af06-4dd2-436a-8c96-709dea254322,1627405289448,13.4191794,52.4949069,6.613176,-1.1929748,-2.9390206,9.564723,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,106a78bf-bae8-468f-88e2-b714802abff0,d9ed6411-11d8-4bbf-b200-ddd41f6501f2,1627405289514,13.4191794,52.4949069,6.613176,-0.083957076,3.488018,-9.323797,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,106a78bf-bae8-468f-88e2-b714802abff0,f35a1486-f97a-4828-93d3-189f74826a9f,1627405289581,13.4191794,52.4949069,6.613176,-1.1388669,-1.5719006,-3.9394577,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,106a78bf-bae8-468f-88e2-b714802abff0,09183b17-fbb8-4db4-9188-1f0833745c73,1627405289648,13.4191794,52.4949069,6.613176,-4.0327272,9.231342,-0.82438207,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,106a78bf-bae8-468f-88e2-b714802abff0,969df05b-f735-46c1-8c32-dddfa15fe489,1627405289715,13.4191794,52.4949069,6.613176,-4.1101613,-16.996374,10.940762,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,106a78bf-bae8-468f-88e2-b714802abff0,7bef56a5-a7e0-4efd-97f8-4f3a60e1464a,1627405289765,13.4191794,52.4949069,6.613176,-4.799876,1.4700708,15.49217,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,c9fc484d-c042-4e52-b29c-f67ef30281f1,1627405284843,13.4189948,52.4946582,5.6175923,1.9333956,8.167961,1.7577162,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,c463b08f-b3ac-463a-91a1-d50fcdfc577f,1627405284923,13.4189948,52.4946582,5.6175923,-3.2578979,3.430119,15.051435,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,11b5b9e1-e35e-428e-9abc-8be983934dce,1627405284975,13.4189948,52.4946582,5.6175923,-3.411273,-6.6447477,12.582403,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,5881d611-48ea-4a10-8124-a5ca19f131af,1627405285042,13.4189948,52.4946582,5.6175923,-0.8082402,9.888374,22.660236,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,ac98273b-537b-4e03-b4de-11e7c6127dbe,1627405285109,13.4189948,52.4946582,5.6175923,-1.4396462,11.500046,-25.080566,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,0042e323-bd56-43cd-8e16-31a06c91df72,1627405285175,13.4190375,52.4947135,5.718228,-1.9817,8.989762,-4.8030243,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,d4af71ca-4495-4417-be53-9348a80fa74f,1627405285242,13.4190375,52.4947135,5.718228,4.5887585,-26.897453,19.088388,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,5c37d8ac-8262-4687-b9ab-7d4d291026ec,1627405285309,13.4190375,52.4947135,5.718228,-2.027652,16.86705,-16.040962,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,cc8376ec-0135-4bd7-84e1-e1f0ca5b8db3,1627405285376,13.4190375,52.4947135,5.718228,2.501869,0.14776373,-6.5043416,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,8d10e638-0871-481d-b5de-7907cdea9837,1627405285442,13.4190375,52.4947135,5.718228,1.5768065,-29.015602,27.822023,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,4fcfaedb-498f-4938-b71e-1c754a07befb,1627405285492,13.4190375,52.4947135,5.718228,2.8889909,2.9159474,3.8999062,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,4183d762-7947-49d0-8d98-69ff92f9a869,1627405285542,13.4190375,52.4947135,5.718228,-3.1620743,5.4902005,11.180315,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,696377a2-9eda-4eb1-a5b3-666d6c5e92cc,1627405285593,13.4190375,52.4947135,5.718228,-0.13913804,0.754828,1.8814745,on bike mount,cyclo cross,False,sett,intermediate
721a6d77-2f80-4736-a5bc-161e4f7ee520,a7934337-5799-40b1-8727-0c06f5d02b5b,5957b9be-e080-4ba5-9534-2f0843b1b3b2,1627405285643,13.4190375,52.4947135,5.718228,5.7980804,-16.207891,-13.44711,on bike mount,cyclo cross,False,sett,intermediate
