bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
72840ad5-63bc-4763-9020-b13b8453a47a,f9b1960a-80f3-4b3b-91c0-fb76d70980ae,d78c7a7b-3fa5-46c1-a1da-9227090ea1ac,1643886674355,13.4163784,52.4911042,2.5923562,1.1074868,-2.9642186,1.5067797,on bike mount,cyclo cross,True,mixed,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,f9b1960a-80f3-4b3b-91c0-fb76d70980ae,b02de3be-0d29-4b8f-86f3-01d149927564,1643886674411,13.4163784,52.4911042,2.5923562,1.0846021,-1.2568473,2.039524,on bike mount,cyclo cross,True,mixed,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,f9b1960a-80f3-4b3b-91c0-fb76d70980ae,d6258023-4988-44aa-9ef8-ec201f341e61,1643886674466,13.4163784,52.4911042,2.5923562,-0.8677218,-2.3271801,-1.0622821,on bike mount,cyclo cross,True,mixed,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,f9b1960a-80f3-4b3b-91c0-fb76d70980ae,455761da-fa11-42ae-a0de-e645ce838d4e,1643886674521,13.4163784,52.4911042,2.5923562,-0.1594702,-0.40959954,0.9176302,on bike mount,cyclo cross,True,mixed,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,f9b1960a-80f3-4b3b-91c0-fb76d70980ae,4ce75e87-1e7d-4fa7-ada1-c59fd74eb8c5,1643886674577,13.4163784,52.4911042,2.5923562,-0.5993705,-1.2770201,-0.0886364,on bike mount,cyclo cross,True,mixed,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,f9b1960a-80f3-4b3b-91c0-fb76d70980ae,b09f4f10-3875-44e0-b8c3-ff997fc9bcdf,1643886674634,13.416356,52.491083,2.4330773,-0.8949344,-0.42847753,-0.31147766,on bike mount,cyclo cross,True,mixed,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,f9b1960a-80f3-4b3b-91c0-fb76d70980ae,c8a2e26d-3e77-43f7-88ce-1794c2184b9b,1643886674689,13.416356,52.491083,2.4330773,-0.31612372,-0.66196585,-0.4597988,on bike mount,cyclo cross,True,mixed,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,f9b1960a-80f3-4b3b-91c0-fb76d70980ae,beb7ec35-4c54-473b-98b2-f1cbcca903b1,1643886674743,13.416356,52.491083,2.4330773,-0.53390515,-1.2189623,0.87063503,on bike mount,cyclo cross,True,mixed,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,f9b1960a-80f3-4b3b-91c0-fb76d70980ae,ad108fd8-2e7e-45cf-8846-ec3f7e08c71e,1643886674801,13.416356,52.491083,2.4330773,0.12871051,-0.81295085,-0.08461571,on bike mount,cyclo cross,True,mixed,intermediate
72840ad5-63bc-4763-9020-b13b8453a47a,f9b1960a-80f3-4b3b-91c0-fb76d70980ae,404a8995-b6c2-422c-b75a-374c4d876dda,1643886674855,13.416356,52.491083,2.4330773,-0.7495439,-1.0523539,0.09804535,on bike mount,cyclo cross,True,mixed,intermediate
