bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,baa247df-6e4a-4e8c-9982-f95cccf591a0,1633165245304,14.0960817,52.353646,8.227276,-0.37798917,1.0076668,0.25769806,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,60271221-59ab-4d47-95dc-3a8d9604905c,1633165245353,14.0960817,52.353646,8.227276,0.9603921,1.629498,-7.2219963,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,b21074da-b7e1-4f4d-8a0c-6c9ea23c19a7,1633165245404,14.0960817,52.353646,8.227276,1.5287235,-1.9108474,2.972063,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,d39e1eaa-cc72-4cdc-b63a-250d5cb970f7,1633165245454,14.0960817,52.353646,8.227276,-1.1156539,-0.65145016,-0.001748085,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,2f8643f6-c8dc-4271-a17d-fc7dd964cd04,1633165245505,14.0960817,52.353646,8.227276,-0.5570774,3.0659447,-0.2441845,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,f4089c1b-bc47-4db4-a814-dc986798c7d8,1633165245555,14.0960817,52.353646,8.227276,0.91215515,-0.18347692,-2.0833764,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,80599d9a-faf5-40f4-840c-abf5fa78da56,1633165245606,14.0960817,52.353646,8.227276,0.6251845,3.561823,2.9505463,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,cfcedad8-e926-457a-89da-d44bf3b50c68,1633165245654,14.0961954,52.3536246,7.893898,-2.2323532,-0.417248,0.87648773,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,0323263d-9e2e-454f-91a1-c5a53658ccfe,1633165245705,14.0961954,52.3536246,7.893898,0.03171414,0.18847203,-1.5171623,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,2cde77ce-b492-4726-b4b3-6a21edd6ea04,1633165245756,14.0961954,52.3536246,7.893898,0.44004327,-1.1159337,-1.4831815,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,ad07c300-dafd-44c0-bab8-a8eceece9c7e,1633165245807,14.0961954,52.3536246,7.893898,0.54951465,1.6794105,0.8355236,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,38775f49-f00e-4512-a0f8-2d5f03554e4e,1633165245856,14.0961954,52.3536246,7.893898,0.20982699,-2.012654,1.3487501,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,9d2f48d8-40e9-46bb-ab82-904f3922b36a,1633165245905,14.0961954,52.3536246,7.893898,0.6463697,0.53173137,-0.03168392,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,23443a83-2734-411f-8eee-9982e64c2213,1633165245955,14.0961954,52.3536246,7.893898,-0.25403535,0.45526576,-2.6947837,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,1fe59979-bd26-498d-bd28-7cde835e1f0e,1633165246005,14.0961954,52.3536246,7.893898,2.560526,0.7593217,-2.0480967,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,99d15e8e-74e6-4253-a7c1-d9f1b5335186,1633165246055,14.0961954,52.3536246,7.893898,-1.8076129,-0.34807062,-0.012773514,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,626d0e64-3104-4779-bc46-52b8fa65b5ed,1633165246104,14.0961954,52.3536246,7.893898,-0.6419699,-0.142313,1.104228,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,a71b7b00-6f52-4a75-9d3b-1b511a78af79,1633165246153,14.0961954,52.3536246,7.893898,0.8860111,0.1891141,-0.56042004,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,0b4a4118-b535-46e9-9d50-3c63dd400a56,1633165246203,14.0961954,52.3536246,7.893898,-0.73852056,1.7529955,-3.7942626,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,4f446433-e723-4550-ab17-e801ddc6a172,1633165246254,14.0961954,52.3536246,7.893898,0.49413523,-0.022542238,2.0388927,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,eec9a399-c06f-4757-bbd8-425c41d04289,1633165246304,14.0961954,52.3536246,7.893898,-0.43147135,-1.0334826,-2.5014591,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,28983cd1-fcf3-4e7f-a78c-acd9529dad75,1633165246353,14.0961954,52.3536246,7.893898,-1.5362296,3.4990401,-1.2018247,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,9ebe3264-dbd1-4499-91dd-92cf541fc783,1633165246404,14.0961954,52.3536246,7.893898,0.26760876,-0.4679544,0.68770885,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,5cb9680d-3cfa-4043-b62c-659eeb46606b,1633165246453,14.0961954,52.3536246,7.893898,-0.896368,1.6589589,-2.2417092,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,0804bc39-874b-4f15-80bf-6cef0b2f990d,1633165246502,14.0961954,52.3536246,7.893898,-1.0338812,-3.3862128,2.9212961,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,631185d5-0319-4de1-84e8-dc156e9d114d,1633165246553,14.0961954,52.3536246,7.893898,-0.070713624,0.27006984,-1.3688173,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,96dcc21f-c3d7-49e7-8964-3fc8d7035c03,1633165246603,14.0961954,52.3536246,7.893898,-1.2474267,-0.5141027,2.3011045,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,05a51cf3-1c96-48b6-852d-fb6ce7e3f6f8,1633165246653,14.0963071,52.3536027,8.108939,0.8418645,1.3356113,-1.2875166,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,e45af31a-0966-41ce-8225-07adcca07abb,1633165246704,14.0963071,52.3536027,8.108939,2.8009393,-0.29048467,-1.5933251,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,171bb813-8540-4a11-87d4-7cfa18689adc,1633165246755,14.0963071,52.3536027,8.108939,-0.56375223,0.6844907,-0.15478992,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,60f0cbc9-36bb-4d64-9992-3639582a67ad,1633165246806,14.0963071,52.3536027,8.108939,0.14447105,-1.176738,-1.9890537,on bike mount,cyclo cross,False,asphalt,excellent
737bf298-fc9f-4c5d-a018-7e86d780b049,9e12d846-713d-407b-8d47-0780b09eb1f3,590dc2c9-5536-4a06-83f4-63efccfea453,1633165246856,14.0963071,52.3536027,8.108939,-0.32521403,-0.015562296,2.2781572,on bike mount,cyclo cross,False,asphalt,excellent
