bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
768543b5-6c7f-4de3-ac4c-5b219cdaeb8a,ff359b76-967f-44a1-81d8-3e9e9971e387,7e5d0ba6-c9c6-4745-a060-f40f4bb0c53a,1643974431608,13.4131633,52.4728654,1.8452307,2.6280482,0.9798465,1.4983635,on bike mount,cyclo cross,True,paving stones,good
768543b5-6c7f-4de3-ac4c-5b219cdaeb8a,ff359b76-967f-44a1-81d8-3e9e9971e387,93f4700b-61ae-47f9-a256-d81fb486d02b,1643974431663,13.4131633,52.4728654,1.8452307,0.7665107,2.7521596,0.94513416,on bike mount,cyclo cross,True,paving stones,good
768543b5-6c7f-4de3-ac4c-5b219cdaeb8a,ff359b76-967f-44a1-81d8-3e9e9971e387,40d8c81f-0b68-4272-a639-96a95ad120bd,1643974431720,13.4131633,52.4728654,1.8452307,1.9734358,-0.11352062,1.9974537,on bike mount,cyclo cross,True,paving stones,good
768543b5-6c7f-4de3-ac4c-5b219cdaeb8a,ff359b76-967f-44a1-81d8-3e9e9971e387,344d67fe-1fdb-4e74-a1ee-d8ee7c1d0e5e,1643974431773,13.4131633,52.4728654,1.8452307,0.6005157,1.270328,-1.4288902,on bike mount,cyclo cross,True,paving stones,good
768543b5-6c7f-4de3-ac4c-5b219cdaeb8a,ff359b76-967f-44a1-81d8-3e9e9971e387,65e4a581-6e33-4d77-a415-80bccb8f9158,1643974431831,13.4131659,52.4728773,1.7584085,3.0474188,0.5085046,-0.69903374,on bike mount,cyclo cross,True,paving stones,good
768543b5-6c7f-4de3-ac4c-5b219cdaeb8a,ff359b76-967f-44a1-81d8-3e9e9971e387,eacc4c88-ed64-462d-a255-557e7c65094c,1643974431884,13.4131659,52.4728773,1.7584085,2.7944503,0.61989737,-1.55376,on bike mount,cyclo cross,True,paving stones,good
768543b5-6c7f-4de3-ac4c-5b219cdaeb8a,ff359b76-967f-44a1-81d8-3e9e9971e387,f65b5dec-baff-4ca6-80ab-74a64dc2fb06,1643974431939,13.4131659,52.4728773,1.7584085,0.60192025,0.5849235,-0.8308706,on bike mount,cyclo cross,True,paving stones,good
768543b5-6c7f-4de3-ac4c-5b219cdaeb8a,ff359b76-967f-44a1-81d8-3e9e9971e387,5e354594-1ff4-4373-bb61-e33512a88c75,1643974431996,13.4131659,52.4728773,1.7584085,-0.7024691,-2.3360162,-1.1818199,on bike mount,cyclo cross,True,paving stones,good
768543b5-6c7f-4de3-ac4c-5b219cdaeb8a,ff359b76-967f-44a1-81d8-3e9e9971e387,9e24739d-f5fb-43c5-abcf-1a9a731e016c,1643974432051,13.4131659,52.4728773,1.7584085,0.64320195,-0.7727198,0.3701315,on bike mount,cyclo cross,True,paving stones,good
768543b5-6c7f-4de3-ac4c-5b219cdaeb8a,ff359b76-967f-44a1-81d8-3e9e9971e387,9cf671ac-ac55-4b77-8eb3-3fe89ac8c8d7,1643974432107,13.4131659,52.4728773,1.7584085,2.622505,0.96633387,-0.24231815,on bike mount,cyclo cross,True,paving stones,good
