bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,a55efc8c-4e7e-476a-b932-657837283d26,1633531237733,13.4358929,52.4939301,6.1592903,3.782611,-12.471741,7.318939,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,b09f4a30-2578-43cc-b86b-b4a53323c430,1633531237783,13.4358929,52.4939301,6.1592903,0.48146772,-1.5452166,3.7308283,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,25d9f0b8-343d-4793-b800-a12e0d664316,1633531237848,13.4358929,52.4939301,6.1592903,2.6819649,-10.416177,1.3609648,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,2ac3d52b-67f6-4cd9-bcb8-e3df6788cfa9,1633531237898,13.4358929,52.4939301,6.1592903,7.52569,13.812933,-4.4809217,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,cc80d0d4-f783-4d38-a2ac-bd2ef01caa2f,1633531237948,13.4358929,52.4939301,6.1592903,-1.5755239,-12.124032,36.44995,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,58694c85-5522-46ef-8bf8-23aad25dd26a,1633531237999,13.4358929,52.4939301,6.1592903,1.1260955,-11.5278635,-19.764027,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,5ac0db81-32b1-4a66-9c27-3c4e70480491,1633531238050,13.4358929,52.4939301,6.1592903,2.446302,11.725021,-12.539767,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,29ebaaf0-d640-45cb-aa1e-5eb5c226bb66,1633531238116,13.4358929,52.4939301,6.1592903,-2.6201606,-1.5633879,-13.485481,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,df967388-ac51-4f45-a77f-dbbdaee6218a,1633531238167,13.4358929,52.4939301,6.1592903,1.3101369,12.396755,-20.099598,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,2eb9522c-d1ea-4637-981b-4a4f3a0679a1,1633531238218,13.4358929,52.4939301,6.1592903,-3.405803,-14.291477,3.3511362,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,7db32f3f-fd14-43a4-ae8c-1ce5e0b54ea8,1633531238283,13.4358929,52.4939301,6.1592903,4.2291784,1.2043972,5.428549,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,20486713-4752-4fa0-8f78-5c14a01a1ef0,1633531238334,13.4358929,52.4939301,6.1592903,0.34502816,-31.408684,23.976545,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,90c90bd9-40cc-40d3-96f5-a11de8f67df5,1633531238385,13.4358929,52.4939301,6.1592903,7.6866446,10.501727,-30.530037,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,58022895-a500-4535-b42c-05735611a782,1633531238452,13.4358929,52.4939301,6.1592903,2.6435971,-16.579134,-2.784132,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,d21c9791-6866-4643-bec5-a14b283cbe0f,1633531238516,13.4358178,52.4939538,5.5557694,-0.5249841,-7.713762,21.41709,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,de7a22e4-1433-4c7e-87fb-a6bcb7ea141e,1633531238568,13.4358178,52.4939538,5.5557694,2.6981254,3.9262686,-13.447853,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,eb8a5e88-eadc-4782-971a-60ceaab30bab,1633531238618,13.4358178,52.4939538,5.5557694,-13.213983,11.828455,-11.873652,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,112509ac-0f94-4782-8f19-39d1e7db638a,1633531238668,13.4358178,52.4939538,5.5557694,0.40729296,-3.739966,38.702637,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,c314300b-329f-432f-a760-9ea70f1c60c7,1633531238718,13.4358178,52.4939538,5.5557694,-3.174535,-3.9069567,-10.679642,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,d07e478c-9f31-4288-a8b3-51077f54b363,1633531238768,13.4358178,52.4939538,5.5557694,-12.280227,12.284102,10.27631,on bike mount,cyclo cross,True,sett,intermediate
79d31a65-7652-4724-9f49-1eb9cc52a63b,e62a362b-3c8f-4ec8-87ad-4b2a1a0fe768,209e9cb9-cd77-496d-8e5e-9587417d20e7,1633531238818,13.4358178,52.4939538,5.5557694,-4.0347548,-3.824192,30.573387,on bike mount,cyclo cross,True,sett,intermediate
