bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,aeac41fe-f05c-4dfd-b0d7-43739fd72075,1634144151343,13.4158555,52.4810202,5.6387486,0.5791659,0.7392125,-0.22258568,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,803a2d99-eb73-4ca1-99d0-4bfeb756b647,1634144151393,13.4158555,52.4810202,5.6387486,0.66546214,-0.62587667,-1.1302052,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,ca5e25a6-ac56-4d9a-9947-962deadd7971,1634144151443,13.4158555,52.4810202,5.6387486,-1.2059557,1.6558795,-0.7966528,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,633232bd-f9f1-4619-90af-42df0418c3e7,1634144151510,13.4158889,52.4810753,5.946391,-0.75758,0.24556684,-1.8214021,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,62fec6ff-8a05-43fa-bbca-a588d78c2436,1634144151576,13.4158889,52.4810753,5.946391,-0.33733207,0.40049767,0.141078,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,e90a0e38-c289-49e3-b423-27d0a3696b22,1634144151626,13.4158889,52.4810753,5.946391,-0.16783658,-1.7436197,0.10741806,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,5c32501e-d37e-431c-9cac-b3ff18e560d0,1634144151677,13.4158889,52.4810753,5.946391,-1.1576669,0.7156396,1.0259066,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,4ba3646d-dd46-41aa-85ab-23273c4328a3,1634144151728,13.4158889,52.4810753,5.946391,1.3919096,0.65467596,-0.22260666,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,211b16ed-37ca-4855-8886-2cf97004ab2f,1634144151777,13.4158889,52.4810753,5.946391,9.516662,6.580815,-15.595046,on bike mount,cyclo cross,True,asphalt,excellent
7a85d4cb-8724-4919-87a2-0ea5500f083b,d1ae142d-53b4-49ce-b540-2ae991f680e0,a2d4c9c6-1ee0-486b-b071-69c7a3fa513f,1634144151827,13.4158889,52.4810753,5.946391,3.689004,-3.7444134,1.7443638,on bike mount,cyclo cross,True,asphalt,excellent
