bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,7f960c87-e22c-4b41-9dec-52093a4b8ae4,1635690877826,13.3909012,52.4717424,7.122205,0.2223301,-2.966427,-3.939824,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,40f877ae-dfa2-4dbc-a620-3c0106f67af0,1635690877893,13.3909012,52.4717424,7.122205,1.1696548,0.9586258,0.8795738,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,33d2d6ed-8345-454a-a893-d88f0abedf96,1635690877960,13.3909012,52.4717424,7.122205,0.65843344,-3.6677299,-1.9822803,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,4073b09a-b545-471a-b50a-27776c164e50,1635690878025,13.3909012,52.4717424,7.122205,2.0545397,1.969789,3.1125078,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,4eda0c1e-937d-4d06-b003-5ff66ee84a67,1635690878076,13.3909012,52.4717424,7.122205,0.39656693,1.4163022,-1.4057326,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,ce09ab93-a124-4ee6-865a-98e63b93dabd,1635690878127,13.3909012,52.4717424,7.122205,-0.16423798,-2.6469333,-0.71528244,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,075ac5f0-ae92-4cb5-b76b-13bd0d1f0a5a,1635690878177,13.3909012,52.4717424,7.122205,-0.30367106,-0.54286957,-2.0709229,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,1496167c-4f0c-4595-bffe-fc5be292422d,1635690878227,13.3909012,52.4717424,7.122205,-0.014917076,1.6592917,0.4162035,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,6d1cde3f-c533-484f-99a5-4497f9abc42c,1635690878277,13.3909012,52.4717424,7.122205,0.16391927,1.049171,0.5833826,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,7265f5b6-f035-4f3d-8eeb-21036eeabbd5,1635690878327,13.3909012,52.4717424,7.122205,1.558022,0.70579314,-4.045395,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,e6f8b787-cafd-456d-a954-b226ca2604da,1635690878377,13.3909012,52.4717424,7.122205,-0.63935673,0.009834051,-0.93646526,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,29460a68-c51b-4480-b845-865ed910944f,1635690878445,13.3909012,52.4717424,7.122205,-0.026938498,-3.9806793,-0.25463486,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,99ac9040-9bc1-4ea6-a9a6-5ab0719bb6a6,1635690878495,13.3909012,52.4717424,7.122205,-2.4928384,-7.4130144,3.3302937,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,2fc081bc-895a-4ab4-a650-6058aa55949e,1635690878560,13.3909012,52.4717424,7.122205,-0.31190217,0.6770401,-1.3188438,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,b2be0f8c-4332-4ea5-b651-a64b06f512cd,1635690878610,13.3909012,52.4717424,7.122205,1.5744554,-0.41302252,-1.2240701,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,f0ee60ea-da9d-40a3-89b2-6a2af39bc413,1635690878663,13.3909012,52.4717424,7.122205,0.29930627,-0.20355201,-6.2755976,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,93a43e42-bde8-4e20-be5c-356d855a786d,1635690878727,13.3908548,52.4717996,7.188922,1.6767693,1.1035771,-3.8186698,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,6bfef38c-85fa-4526-87e2-fc3ca46e2cef,1635690878777,13.3908548,52.4717996,7.188922,-0.10368526,0.5234647,-0.61267376,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,9dd227d9-aeba-44c5-a0e7-5b4b5b2d980f,1635690878827,13.3908548,52.4717996,7.188922,-0.06423724,-0.23591042,0.47655773,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,16386ce8-4af3-434a-9751-4efbbae3ece2,54bf98d0-cd39-4015-b426-1d5776ee02cd,1635690878877,13.3908548,52.4717996,7.188922,0.24314049,-0.5758877,-3.940187,on bike mount,cyclo cross,True,concrete plates,good
