bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,21d85fe4-1d3b-4377-b51d-8d3893705b7c,1633166252287,14.153568,52.350714,6.4207435,0.27995706,2.7150254,0.6691475,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,1a6ef476-6983-47d5-8476-ba36dddf5091,1633166252338,14.153568,52.350714,6.4207435,0.5546286,-1.1507761,-1.550252,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,c9ec9438-372e-4212-b452-9ab4e7f0fa34,1633166252389,14.153568,52.350714,6.4207435,-1.0049928,1.0223091,1.223238,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,76c5651f-54b5-44e1-bc4c-e06927e99267,1633166252439,14.153568,52.350714,6.4207435,-0.06833416,-1.4091322,-2.195777,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,6138d9a3-6ef8-48c4-95bf-d548df30bf4b,1633166252489,14.153568,52.350714,6.4207435,0.027630169,0.6828599,-1.8111329,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,a17bc944-cd79-4866-9379-af6ca084f7b3,1633166252540,14.153568,52.350714,6.4207435,-0.48162392,-1.1618228,1.3789539,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,3e07c5a7-555d-48a7-8f12-ffc959817b7f,1633166252591,14.153568,52.350714,6.4207435,-0.056089934,-0.9685528,-0.3549986,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,34a11e9f-5c2e-40b1-83ac-154422317bab,1633166252642,14.153568,52.350714,6.4207435,-1.0405889,1.3476298,2.5872345,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,dee9a749-bfba-4338-b69d-ac314867325b,1633166252693,14.153568,52.350714,6.4207435,-0.6905151,-2.7724023,-1.5360556,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,fe323ebf-26f1-4b5a-a5cb-19379dca9f91,1633166252744,14.153568,52.350714,6.4207435,-0.29441455,1.0810244,-1.1745524,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,0920e3c2-8a4a-43e0-94d4-6bbd29d89b9b,1633166252795,14.153568,52.350714,6.4207435,-0.62198544,-0.17995644,-0.531229,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,83b89d8d-bdb2-4556-98a0-bcba0d9ec668,1633166252845,14.153568,52.350714,6.4207435,0.59509146,0.59898186,0.38567448,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,82b2f621-ebb3-4bc9-bb15-221bd111265a,1633166252895,14.153568,52.350714,6.4207435,0.942517,0.41298366,1.5854101,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,f8e755f9-64be-4245-a50f-afc594f59738,1633166252944,14.153568,52.350714,6.4207435,-1.2398002,0.54030323,3.3071241,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,9e8b5bd9-7a82-42cb-ad97-ce9555c4b806,1b25a402-4685-42c7-a710-6a1b768e0d2e,1633166252993,14.153568,52.350714,6.4207435,0.011836112,2.3663754,0.50529194,on bike mount,cyclo cross,False,asphalt,excellent
