bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,b034ede1-e4fd-4a14-bee5-9f8f0cafdac1,1636128550132,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,6b29dbc0-4052-448c-8ca9-de9cd94180b4,1636128550181,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,92922eb4-ee79-42e4-8b7c-261f0060c5e3,1636128550231,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,ea2116c1-cd2a-4cb5-8d17-43055b4fad0b,1636128550281,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,e2046ca5-28f6-4f6e-a3e3-43bf49a07b5c,1636128550332,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,4b85209a-7a15-4123-a1ae-48dccfa02808,1636128550382,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,1118b8e1-34ac-489f-a0fa-4cae06342cc0,1636128550432,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,01f2bbcd-d024-414e-a574-d91341ab7f7b,1636128550483,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,efcc7405-f15d-4669-b6f3-5071b9ab4dd6,1636128550533,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,75662725-1635-4768-9aa6-4580fe85e189,1636128550583,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,7e451adf-5997-4130-8879-3e9699a36fe6,1636128550632,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,30599885-76a4-40c1-98f6-070faffcb79c,1636128550682,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,8fee2492-6b2a-4f60-a5f4-580353403513,1636128550731,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,9da4828f-cd20-4d47-96e5-4586403c49f4,1636128550782,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,e0d1f597-4787-41d1-964f-d1d9ffe022d3,1636128550832,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,4e4dde4d-a291-4202-b5d1-4886129a2ef2,1636128550883,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,74dc9540-61f2-44bb-9aa9-021a8008d68d,1636128550934,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,6c5e2ec1-f1f7-445d-bac8-0a9b61443f5c,1636128550985,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,1d2b4842-fd7a-47a1-b53c-aa5dd20f1bab,1636128551036,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,9fb8d5fe-3c37-4b55-b663-5f70ee21fddd,1636128551086,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,9c59def8-3f90-441b-947e-0a5cc5b0c0a1,1636128551137,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,026f56b2-f142-4675-9d32-4dbe9f0e4efe,1636128551187,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,fe3bac94-4691-429b-a37b-455f37b04fd2,1636128551237,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,6394544d-d72f-4b79-bd87-cf0574f0ec86,1636128551288,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,469b4d5f-27be-4e18-82d6-4f2c4dfcb217,1636128551337,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,53e8606e-d0b8-4b62-bad5-6a9da9137df0,1636128551388,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,5ba74945-8460-451b-9d45-7128e0ab2ba9,1636128551437,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,c1efb6af-dcfe-4128-bbd5-e58a61a2863a,1636128551486,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,ada65f7e-2363-4aa4-8dfe-a416d981f9a1,1636128551536,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,45e0c9d0-d852-4a1c-998a-9897698a3443,1636128551587,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
825c072a-f9d2-42ce-80fc-fa74b3c32267,7f60c009-3242-4278-9e1d-56dca155d7c2,b9773dd6-0bf5-4aaf-a770-cf973a6eb775,1636128551638,13.4201136,52.4768933,0.29353198,-0.009890199,0.022828579,0.17883587,on bike mount,cyclo cross,False,mixed,mixed
